condition,video_id,url,required_last_frame,path,ok,fps,frames,reaches_annotation,size_mb
cerebralpalsy,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,2974,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/cerebralpalsy/DlPDuHBAP7A.mp4,True,29.97002997002997,3572,True,5.511548
cerebralpalsy,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,3891,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/cerebralpalsy/wRntYsztIEY.mp4,True,30.0,4193,True,6.235969
myopathic,05oyBOE_0UE,https://www.youtube.com/watch?v=05oyBOE_0UE,4213,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/myopathic/05oyBOE_0UE.mp4,True,29.97002997002997,5981,True,9.774748
myopathic,4Yiqk-ud8rI,https://www.youtube.com/watch?v=4Yiqk-ud8rI,649,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/myopathic/4Yiqk-ud8rI.mp4,True,30.0,1509,True,2.644798
myopathic,5qM6wxZ_dNs,https://www.youtube.com/watch?v=5qM6wxZ_dNs,1709,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/myopathic/5qM6wxZ_dNs.mp4,True,30.0,1906,True,3.376793
myopathic,7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM,828,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/myopathic/7Ft1bUTzxkM.mp4,True,23.976023976023978,835,True,1.680514
myopathic,8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0,1022,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/myopathic/8NlJgIySMG0.mp4,True,30.0,1022,True,1.011996
myopathic,8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY,493,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/myopathic/8PPLTf0fZsY.mp4,True,30.0,506,True,0.705329
myopathic,9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs,2321,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/myopathic/9qg-3smwLcs.mp4,True,29.97002997002997,2421,True,5.934015
myopathic,HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg,677,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/myopathic/HDkWDe6FZDg.mp4,True,30.0,922,True,1.222094
myopathic,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,2648,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/myopathic/R8LRCiTvUz8.mp4,True,29.97002997002997,2650,True,5.23156
myopathic,jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo,1108,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/myopathic/jzJIpY6vRLo.mp4,True,30.0,1299,True,2.592329
normal,3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE,16302,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/normal/3KnFt8bH3tE.mp4,True,29.97002997002997,16345,True,19.926123
parkinsons,B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8,2746,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/parkinsons/B5hrxKe2nP8.mp4,True,30.0,6176,True,5.509544
parkinsons,_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM,1886,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/parkinsons/_Wn9oYGpRdM.mp4,True,29.97002997002997,4040,True,6.301412
stroke,5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs,4332,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/stroke/5gpoegYv1hs.mp4,True,23.976023976023978,4473,True,9.042858
stroke,8mTHlAIdea0,https://www.youtube.com/watch?v=8mTHlAIdea0,1979,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/stroke/8mTHlAIdea0.mp4,True,29.97002997002997,2875,True,5.994075
stroke,9VzOTO0nV8U,https://www.youtube.com/watch?v=9VzOTO0nV8U,166,/Users/pmui/vaults/worldmodels/gait/skeleton-jepa/gavd4/youtube/stroke/9VzOTO0nV8U.mp4,True,29.97,628,True,1.804868
