method,split,seed,extractor,evidence_status,metric,value
coordinate,development,17,hrnet_w32,automated-source-screen,visible_nle,0.012085565152064508
coordinate,development,17,rtmpose_m,automated-source-screen,visible_nle,0.011198786551214963
coordinate,development,17,vitpose_base,automated-source-screen,visible_nle,0.014715632006768758
coordinate,development,29,hrnet_w32,automated-source-screen,visible_nle,0.012109352121732449
coordinate,development,29,rtmpose_m,automated-source-screen,visible_nle,0.011221264086919718
coordinate,development,29,vitpose_base,automated-source-screen,visible_nle,0.014691108218822295
coordinate,development,43,hrnet_w32,automated-source-screen,visible_nle,0.012137433662369513
coordinate,development,43,rtmpose_m,automated-source-screen,visible_nle,0.011184763677001731
coordinate,development,43,vitpose_base,automated-source-screen,visible_nle,0.014736082028409469
direct,development,17,hrnet_w32,automated-source-screen,visible_nle,0.011256866561260149
direct,development,17,rtmpose_m,automated-source-screen,visible_nle,0.010287355897557795
direct,development,17,vitpose_base,automated-source-screen,visible_nle,0.013529047075862001
direct,development,29,hrnet_w32,automated-source-screen,visible_nle,0.010747954797081677
direct,development,29,rtmpose_m,automated-source-screen,visible_nle,0.009899697897081918
direct,development,29,vitpose_base,automated-source-screen,visible_nle,0.013261691907834803
direct,development,43,hrnet_w32,automated-source-screen,visible_nle,0.010542842318860747
direct,development,43,rtmpose_m,automated-source-screen,visible_nle,0.010056576794349096
direct,development,43,vitpose_base,automated-source-screen,visible_nle,0.013179368281493345
filter0,development,17,hrnet_w32,automated-source-screen,visible_nle,0.020696477973387493
filter0,development,17,rtmpose_m,automated-source-screen,visible_nle,0.019378440797994227
filter0,development,17,vitpose_base,automated-source-screen,visible_nle,0.023274734340568693
filter0,development,29,hrnet_w32,automated-source-screen,visible_nle,0.020696477973387542
filter0,development,29,rtmpose_m,automated-source-screen,visible_nle,0.01937844079799427
filter0,development,29,vitpose_base,automated-source-screen,visible_nle,0.023274734340568745
filter0,development,43,hrnet_w32,automated-source-screen,visible_nle,0.020696477973387542
filter0,development,43,rtmpose_m,automated-source-screen,visible_nle,0.01937844079799427
filter0,development,43,vitpose_base,automated-source-screen,visible_nle,0.023274734340568745
filter1,development,17,hrnet_w32,automated-source-screen,visible_nle,0.020436079499304816
filter1,development,17,rtmpose_m,automated-source-screen,visible_nle,0.019289585840449656
filter1,development,17,vitpose_base,automated-source-screen,visible_nle,0.023229819674309725
filter1,development,29,hrnet_w32,automated-source-screen,visible_nle,0.020436079499304864
filter1,development,29,rtmpose_m,automated-source-screen,visible_nle,0.0192895858404497
filter1,development,29,vitpose_base,automated-source-screen,visible_nle,0.023229819674309777
filter1,development,43,hrnet_w32,automated-source-screen,visible_nle,0.020436079499304864
filter1,development,43,rtmpose_m,automated-source-screen,visible_nle,0.0192895858404497
filter1,development,43,vitpose_base,automated-source-screen,visible_nle,0.023229819674309777
filter2,development,17,hrnet_w32,automated-source-screen,visible_nle,0.020409009609572627
filter2,development,17,rtmpose_m,automated-source-screen,visible_nle,0.01930463817781997
filter2,development,17,vitpose_base,automated-source-screen,visible_nle,0.02327394514542823
filter2,development,29,hrnet_w32,automated-source-screen,visible_nle,0.020409009609572672
filter2,development,29,rtmpose_m,automated-source-screen,visible_nle,0.019304638177820018
filter2,development,29,vitpose_base,automated-source-screen,visible_nle,0.023273945145428278
filter2,development,43,hrnet_w32,automated-source-screen,visible_nle,0.020409009609572672
filter2,development,43,rtmpose_m,automated-source-screen,visible_nle,0.019304638177820018
filter2,development,43,vitpose_base,automated-source-screen,visible_nle,0.023273945145428278
initialized,development,17,hrnet_w32,automated-source-screen,visible_nle,0.012007578109004633
initialized,development,17,rtmpose_m,automated-source-screen,visible_nle,0.010985049790854389
initialized,development,17,vitpose_base,automated-source-screen,visible_nle,0.014906450084107016
initialized,development,29,hrnet_w32,automated-source-screen,visible_nle,0.011924432655005571
initialized,development,29,rtmpose_m,automated-source-screen,visible_nle,0.011020970162926113
initialized,development,29,vitpose_base,automated-source-screen,visible_nle,0.01479941520073253
initialized,development,43,hrnet_w32,automated-source-screen,visible_nle,0.011982301725568831
initialized,development,43,rtmpose_m,automated-source-screen,visible_nle,0.011096868675731753
initialized,development,43,vitpose_base,automated-source-screen,visible_nle,0.014683239496687027
joint_affine,development,17,hrnet_w32,automated-source-screen,visible_nle,0.012124313295031077
joint_affine,development,17,rtmpose_m,automated-source-screen,visible_nle,0.01118825924485597
joint_affine,development,17,vitpose_base,automated-source-screen,visible_nle,0.014786755690683162
joint_affine,development,29,hrnet_w32,automated-source-screen,visible_nle,0.012124313295031077
joint_affine,development,29,rtmpose_m,automated-source-screen,visible_nle,0.01118825924485597
