method,split,seed,extractor,evidence_status,person_id,visible_nle,lower_limb_nle,missing_rate,displacement_nle,ankle_separation_mae,amplitude_error,amplitude_ratio,event_timing_mae_s,p95_nle,synthetic_all_nle,synthetic_occluded_nle
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub053,0.010023726648820093,0.01803572850696735,0.0,0.00698064925269485,,,,,0.022669772574319718,0.014544523724035844,
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub054,0.010308598311727125,,0.0,0.009089440673715225,,,,,0.0219284384279233,0.016532964112466107,0.02493794373554723
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub070,0.016212714578364557,0.030073410002104686,0.0,0.015067916429487899,,,,,0.047295226387922905,0.024373478633132155,0.037278382677806705
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub072,0.02084731974661821,0.028307296535098884,0.0,0.012992957891687574,,,,,0.04597738812527588,0.02673174675011648,
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub075,0.0105849429643417,0.015383059649346088,0.0,0.010222401780738955,,,,,0.02731000204704366,0.016610722747495525,0.024030045999303657
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub086,0.009209360834437089,,0.0,0.008068720764952157,,,,,0.020677294634266707,0.016919848110267244,0.028000346869766175
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub098,0.008455553337057262,0.014418067799158274,0.0,0.007045884856188394,,,,,0.018147474616955827,0.011285093914653719,
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub106,0.011042304795150025,0.023156274152347375,0.0,0.008050123139582982,,,,,0.028283288240388088,0.016531118566629248,
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub053,0.009705758955426087,0.01617188669401689,0.0,0.0047368426777506245,,,,,0.02100080925528005,0.013409819413165406,
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub054,0.009597007137305987,,0.0,0.006692014394490725,,,,,0.02067017663831592,0.014094835434514445,0.022407386468231733
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub070,0.011221015380491818,0.020250727825310167,0.0,0.009489048004529037,,,,,0.027169561572916313,0.016505796268023183,0.031761096835664616
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub072,0.021765751243989856,0.019905321666452914,0.0,0.01374591094399688,,,,,0.05826300742352017,0.02590579368557683,
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub075,0.009546309720300062,0.013304664351124693,0.0,0.008735730325270656,,,,,0.02620156478685303,0.0144357207005159,0.022319040383106257
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub086,0.008958354166065063,,0.0,0.006520254235987032,,,,,0.02108700401469176,0.0136948433276862,0.023479453344686183
