method,split,seed,extractor,evidence_status,metric,value,condition
coordinate,development,17,hrnet_w32,automated-source-screen,visible_nle,0.011430346664925019,blur
coordinate,development,17,rtmpose_m,automated-source-screen,visible_nle,0.01049589684589549,blur
coordinate,development,17,vitpose_base,automated-source-screen,visible_nle,0.018826779568190895,blur
coordinate,development,29,hrnet_w32,automated-source-screen,visible_nle,0.011374738746183033,blur
coordinate,development,29,rtmpose_m,automated-source-screen,visible_nle,0.0104197157914607,blur
coordinate,development,29,vitpose_base,automated-source-screen,visible_nle,0.018723066581031143,blur
coordinate,development,43,hrnet_w32,automated-source-screen,visible_nle,0.011494005550491213,blur
coordinate,development,43,rtmpose_m,automated-source-screen,visible_nle,0.010403811716504494,blur
coordinate,development,43,vitpose_base,automated-source-screen,visible_nle,0.018852443924290356,blur
direct,development,17,hrnet_w32,automated-source-screen,visible_nle,0.00970344871891399,blur
direct,development,17,rtmpose_m,automated-source-screen,visible_nle,0.008920759596067796,blur
direct,development,17,vitpose_base,automated-source-screen,visible_nle,0.01583693884553901,blur
direct,development,29,hrnet_w32,automated-source-screen,visible_nle,0.009097945309260074,blur
direct,development,29,rtmpose_m,automated-source-screen,visible_nle,0.008539101785416163,blur
direct,development,29,vitpose_base,automated-source-screen,visible_nle,0.015466577243036976,blur
direct,development,43,hrnet_w32,automated-source-screen,visible_nle,0.009108693572132832,blur
direct,development,43,rtmpose_m,automated-source-screen,visible_nle,0.008644012940780696,blur
direct,development,43,vitpose_base,automated-source-screen,visible_nle,0.01620186862588515,blur
filter0,development,17,hrnet_w32,automated-source-screen,visible_nle,0.02088259093420114,blur
filter0,development,17,rtmpose_m,automated-source-screen,visible_nle,0.019462531321334874,blur
filter0,development,17,vitpose_base,automated-source-screen,visible_nle,0.027952412334275197,blur
filter0,development,29,hrnet_w32,automated-source-screen,visible_nle,0.0208825909342012,blur
filter0,development,29,rtmpose_m,automated-source-screen,visible_nle,0.01946253132133492,blur
filter0,development,29,vitpose_base,automated-source-screen,visible_nle,0.02795241233427524,blur
filter0,development,43,hrnet_w32,automated-source-screen,visible_nle,0.0208825909342012,blur
filter0,development,43,rtmpose_m,automated-source-screen,visible_nle,0.01946253132133492,blur
filter0,development,43,vitpose_base,automated-source-screen,visible_nle,0.02795241233427524,blur
filter1,development,17,hrnet_w32,automated-source-screen,visible_nle,0.020733792606916875,blur
filter1,development,17,rtmpose_m,automated-source-screen,visible_nle,0.01942674273347443,blur
filter1,development,17,vitpose_base,automated-source-screen,visible_nle,0.027866732291414877,blur
filter1,development,29,hrnet_w32,automated-source-screen,visible_nle,0.020733792606916924,blur
filter1,development,29,rtmpose_m,automated-source-screen,visible_nle,0.019426742733474486,blur
filter1,development,29,vitpose_base,automated-source-screen,visible_nle,0.027866732291414936,blur
filter1,development,43,hrnet_w32,automated-source-screen,visible_nle,0.020733792606916924,blur
filter1,development,43,rtmpose_m,automated-source-screen,visible_nle,0.019426742733474486,blur
filter1,development,43,vitpose_base,automated-source-screen,visible_nle,0.027866732291414936,blur
filter2,development,17,hrnet_w32,automated-source-screen,visible_nle,0.020779625632143153,blur
filter2,development,17,rtmpose_m,automated-source-screen,visible_nle,0.019492884779361595,blur
filter2,development,17,vitpose_base,automated-source-screen,visible_nle,0.027914402194925796,blur
filter2,development,29,hrnet_w32,automated-source-screen,visible_nle,0.02077962563214319,blur
filter2,development,29,rtmpose_m,automated-source-screen,visible_nle,0.019492884779361643,blur
filter2,development,29,vitpose_base,automated-source-screen,visible_nle,0.027914402194925848,blur
filter2,development,43,hrnet_w32,automated-source-screen,visible_nle,0.02077962563214319,blur
filter2,development,43,rtmpose_m,automated-source-screen,visible_nle,0.019492884779361643,blur
filter2,development,43,vitpose_base,automated-source-screen,visible_nle,0.027914402194925848,blur
initialized,development,17,hrnet_w32,automated-source-screen,visible_nle,0.01130816157503067,blur
initialized,development,17,rtmpose_m,automated-source-screen,visible_nle,0.01010961005813426,blur
initialized,development,17,vitpose_base,automated-source-screen,visible_nle,0.01896905374629365,blur
initialized,development,29,hrnet_w32,automated-source-screen,visible_nle,0.01126816419272126,blur
initialized,development,29,rtmpose_m,automated-source-screen,visible_nle,0.010139044349767473,blur
initialized,development,29,vitpose_base,automated-source-screen,visible_nle,0.01903692372323098,blur
initialized,development,43,hrnet_w32,automated-source-screen,visible_nle,0.01119621199409393,blur
initialized,development,43,rtmpose_m,automated-source-screen,visible_nle,0.010253424386021847,blur
initialized,development,43,vitpose_base,automated-source-screen,visible_nle,0.018811737513070935,blur
joint_affine,development,17,hrnet_w32,automated-source-screen,visible_nle,0.01186020185207039,blur
joint_affine,development,17,rtmpose_m,automated-source-screen,visible_nle,0.010545221724663866,blur
joint_affine,development,17,vitpose_base,automated-source-screen,visible_nle,0.019260241925090855,blur
joint_affine,development,29,hrnet_w32,automated-source-screen,visible_nle,0.01186020185207039,blur
joint_affine,development,29,rtmpose_m,automated-source-screen,visible_nle,0.010545221724663866,blur
joint_affine,development,29,vitpose_base,automated-source-screen,visible_nle,0.019260241925090855,blur
joint_affine,development,43,hrnet_w32,automated-source-screen,visible_nle,0.01186020185207039,blur
joint_affine,development,43,rtmpose_m,automated-source-screen,visible_nle,0.010545221724663866,blur
joint_affine,development,43,vitpose_base,automated-source-screen,visible_nle,0.019260241925090855,blur
joint_offset,development,17,hrnet_w32,automated-source-screen,visible_nle,0.011813774202114522,blur
joint_offset,development,17,rtmpose_m,automated-source-screen,visible_nle,0.0104849356786222,blur
joint_offset,development,17,vitpose_base,automated-source-screen,visible_nle,0.019437261839489416,blur
joint_offset,development,29,hrnet_w32,automated-source-screen,visible_nle,0.011813774202114522,blur
joint_offset,development,29,rtmpose_m,automated-source-screen,visible_nle,0.0104849356786222,blur
joint_offset,development,29,vitpose_base,automated-source-screen,visible_nle,0.019437261839489416,blur
joint_offset,development,43,hrnet_w32,automated-source-screen,visible_nle,0.011813774202114522,blur
joint_offset,development,43,rtmpose_m,automated-source-screen,visible_nle,0.0104849356786222,blur
joint_offset,development,43,vitpose_base,automated-source-screen,visible_nle,0.019437261839489416,blur
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,visible_nle,0.01124608924016101,blur
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,visible_nle,0.009801063415785304,blur
ordinary_jepa,development,17,vitpose_base,automated-source-screen,visible_nle,0.019036813509488423,blur
ordinary_jepa,development,29,hrnet_w32,automated-source-screen,visible_nle,0.011389343992146235,blur
ordinary_jepa,development,29,rtmpose_m,automated-source-screen,visible_nle,0.00996054943989411,blur
ordinary_jepa,development,29,vitpose_base,automated-source-screen,visible_nle,0.01904548413690302,blur
ordinary_jepa,development,43,hrnet_w32,automated-source-screen,visible_nle,0.011401249642580805,blur
ordinary_jepa,development,43,rtmpose_m,automated-source-screen,visible_nle,0.00990258326970958,blur
ordinary_jepa,development,43,vitpose_base,automated-source-screen,visible_nle,0.019504929778213984,blur
paired_jepa,development,17,hrnet_w32,automated-source-screen,visible_nle,0.011413054499437919,blur
paired_jepa,development,17,rtmpose_m,automated-source-screen,visible_nle,0.010047076513396825,blur
paired_jepa,development,17,vitpose_base,automated-source-screen,visible_nle,0.018898526681779645,blur
paired_jepa,development,29,hrnet_w32,automated-source-screen,visible_nle,0.011326324603578682,blur
paired_jepa,development,29,rtmpose_m,automated-source-screen,visible_nle,0.009928001876131208,blur
paired_jepa,development,29,vitpose_base,automated-source-screen,visible_nle,0.019001642057260675,blur
paired_jepa,development,43,hrnet_w32,automated-source-screen,visible_nle,0.011435273291676689,blur
paired_jepa,development,43,rtmpose_m,automated-source-screen,visible_nle,0.010109230885526958,blur
paired_jepa,development,43,vitpose_base,automated-source-screen,visible_nle,0.01935021700715712,blur
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,visible_nle,0.011420678271280531,blur
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,visible_nle,0.010056210852511554,blur
shuffled_jepa,development,17,vitpose_base,automated-source-screen,visible_nle,0.01893628894994922,blur
