seed,arm,updates,seconds,status,online_feature_std,online_effective_rank
17,coordinate,4000,52.20793906971812,complete,0.7004186511039734,21.73033905029297
17,direct,4000,59.21743680816144,complete,0.8650957942008972,51.10783386230469
17,initialized,2000,11.001531866844743,complete,0.6114453673362732,24.82709312438965
17,ordinary_jepa,4000,91.36344749107955,complete,0.90402352809906,33.46323776245117
17,paired_jepa,4000,111.8958082916215,complete,0.8737043142318726,31.01354217529297
17,shuffled_jepa,4000,111.6560523272492,complete,0.8746156096458435,31.11802673339844
17,smoothnet,4000,15.971971100196242,complete,,
17,static,4000,13.727528172079474,complete,,
29,smoothnet,4000,15.450256315991282,complete,,
29,direct,4000,65.56044986704364,complete,0.8301829695701599,49.84718322753906
29,static,4000,13.843652016017586,complete,,
29,initialized,2000,11.386364651378244,complete,0.6013699769973755,24.463010787963867
29,coordinate,4000,45.38674863986671,complete,0.654334545135498,22.339435577392578
29,ordinary_jepa,4000,97.52176618995145,complete,0.7822257876396179,31.169878005981445
29,paired_jepa,4000,98.29069108702242,complete,0.8569259643554688,30.71024513244629
29,shuffled_jepa,4000,98.64527893578634,complete,0.8490602970123291,30.707639694213867
43,smoothnet,4000,15.662900805938989,complete,,
43,direct,4000,51.989119208883494,complete,0.8183385133743286,48.43212890625
43,static,4000,13.619224929716438,complete,,
43,initialized,2000,11.052337352652103,complete,0.6147496700286865,24.509035110473633
43,coordinate,4000,53.63092009117827,complete,0.7431862354278564,21.440744400024414
43,ordinary_jepa,4000,131.5856534917839,complete,0.8386238813400269,29.388734817504883
43,paired_jepa,4000,113.09142099879682,complete,0.8699571490287781,28.112211227416992
43,shuffled_jepa,4000,146.90220039291307,complete,0.8675605654716492,28.159914016723633
