metric,extractor,candidate,comparator,reduction_percent,ci95_low,ci95_high,people_improved,people,seed_count,bootstrap_draws,uncertainty
visible_nle,hrnet_w32,direct,unchanged,47.57938408803366,40.178167360985505,55.0957119121245,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,hrnet_w32,direct,joint_affine,10.516818876822153,7.3513764432573065,14.64838698510934,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,hrnet_w32,direct,static,6.980787682186063,4.443203711034183,10.484457762709276,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,hrnet_w32,direct,filter2,46.841020542978896,38.97104999327055,54.721717093056625,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,hrnet_w32,direct,paired_jepa,9.737139082347957,6.51211167209439,13.917474094071903,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,hrnet_w32,paired_jepa,coordinate,0.7530372999865698,0.40585263227844726,1.1139079398198914,7,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,hrnet_w32,paired_jepa,initialized,-0.40218587538880524,-1.0322626614688746,0.04799259726334659,3,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,hrnet_w32,paired_jepa,ordinary_jepa,0.17308360083131413,-0.3567132085400271,0.7291944371499159,3,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,hrnet_w32,paired_jepa,shuffled_jepa,-0.033723836017029996,-0.06127925094006059,-0.006734803022467872,2,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,rtmpose_m,direct,unchanged,47.977186083139124,40.327896032819744,55.4091245443098,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,rtmpose_m,direct,joint_affine,9.894738978589135,6.9969788276106115,13.439705728685977,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,rtmpose_m,direct,static,3.653445402593314,2.208759089461765,5.454109041547173,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,rtmpose_m,direct,filter2,47.778300201904976,39.58663802282752,55.525144395087466,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,rtmpose_m,direct,paired_jepa,8.918587946444113,5.970579933486652,12.533759832516822,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,rtmpose_m,paired_jepa,coordinate,1.189597188148117,0.595162345174205,1.8354081819939472,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,rtmpose_m,paired_jepa,initialized,-0.30862490760945605,-2.10068406059829,1.2371737253908943,4,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,rtmpose_m,paired_jepa,ordinary_jepa,-0.7100301892704053,-2.3734555091833753,0.4566389859195108,3,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,rtmpose_m,paired_jepa,shuffled_jepa,-0.06869692733373345,-0.20571029430606236,0.044899256468688975,3,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,vitpose_base,direct,unchanged,42.756085231986575,34.591223025381,50.99489281824996,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
visible_nle,vitpose_base,direct,joint_affine,9.896603642464296,7.626757336586865,12.713495715699674,8,8,3,50000,pointwise person bootstrap after averaging three fitted seeds; no multiplicity or training-selection adjustment
