method,extractor,metric,mean,min,max
coordinate,hrnet_w32,amplitude_error,,,
coordinate,hrnet_w32,amplitude_ratio,,,
coordinate,hrnet_w32,ankle_separation_mae,,,
coordinate,hrnet_w32,displacement_nle,0.00973028373060609,0.009689761848631004,0.00978016252282037
coordinate,hrnet_w32,event_timing_mae_s,,,
coordinate,hrnet_w32,lower_limb_nle,,,
coordinate,hrnet_w32,missing_rate,0.0,0.0,0.0
coordinate,hrnet_w32,p95_nle,0.02913362481712606,0.02901917118486342,0.029345592634752754
coordinate,hrnet_w32,synthetic_all_nle,0.018001818913807185,0.01794118706984954,0.018039935403982396
coordinate,hrnet_w32,synthetic_occluded_nle,,,
coordinate,hrnet_w32,visible_nle,0.012110783645388824,0.012085565152064508,0.012137433662369513
coordinate,rtmpose_m,amplitude_error,,,
coordinate,rtmpose_m,amplitude_ratio,,,
coordinate,rtmpose_m,ankle_separation_mae,,,
coordinate,rtmpose_m,displacement_nle,0.007555007436475611,0.007526755915260056,0.007584348863289162
coordinate,rtmpose_m,event_timing_mae_s,,,
coordinate,rtmpose_m,lower_limb_nle,,,
coordinate,rtmpose_m,missing_rate,0.0,0.0,0.0
coordinate,rtmpose_m,p95_nle,0.02723571557132912,0.027087126351523903,0.02732599333247803
coordinate,rtmpose_m,synthetic_all_nle,0.01551946788871006,0.015479240699274276,0.015567882481578891
coordinate,rtmpose_m,synthetic_occluded_nle,,,
coordinate,rtmpose_m,visible_nle,0.011201604771712137,0.011184763677001731,0.011221264086919718
coordinate,vitpose_base,amplitude_error,,,
coordinate,vitpose_base,amplitude_ratio,,,
coordinate,vitpose_base,ankle_separation_mae,,,
coordinate,vitpose_base,displacement_nle,0.008094770710208836,0.008041758589996187,0.008125467004798576
coordinate,vitpose_base,event_timing_mae_s,,,
coordinate,vitpose_base,lower_limb_nle,,,
coordinate,vitpose_base,missing_rate,0.0,0.0,0.0
coordinate,vitpose_base,p95_nle,0.0344579185026949,0.03439544414586501,0.03456707871166296
coordinate,vitpose_base,synthetic_all_nle,0.02160158141265137,0.02158078891648639,0.02161713856211303
coordinate,vitpose_base,synthetic_occluded_nle,,,
coordinate,vitpose_base,visible_nle,0.01471427408466684,0.014691108218822295,0.014736082028409469
direct,hrnet_w32,amplitude_error,,,
direct,hrnet_w32,amplitude_ratio,,,
direct,hrnet_w32,ankle_separation_mae,,,
direct,hrnet_w32,displacement_nle,0.008947469455679487,0.008904502623828551,0.008980574149826734
direct,hrnet_w32,event_timing_mae_s,,,
direct,hrnet_w32,lower_limb_nle,,,
direct,hrnet_w32,missing_rate,0.0,0.0,0.0
direct,hrnet_w32,p95_nle,0.025779919546734285,0.024489402238774362,0.026933084532986814
direct,hrnet_w32,synthetic_all_nle,0.015219223408036995,0.01458693889690051,0.016012403090396664
direct,hrnet_w32,synthetic_occluded_nle,,,
direct,hrnet_w32,visible_nle,0.010849221225734193,0.010542842318860747,0.011256866561260149
direct,rtmpose_m,amplitude_error,,,
