seed,method,extractor,endpoint,scale_policy,records,reference_eligible,reference_ineligible,original_supported,complete_predictions,incomplete_predictions,count_mismatch_records,reference_events,matched_events,missed_events,known_extra_events,extra_count_unknown_records,event_recall,known_event_precision,conditional_timing_mae_s
17,coordinate,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,0,128,0,128,580,541,39,1025.0,0,0.9327586206896552,0.3454661558109834,0.035711645101663546
17,coordinate,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,143,15,205.0,0,0.9050632911392406,0.4109195402298851,0.03720279720279718
17,coordinate,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,6,128,0,122,580,516,64,758.0,0,0.8896551724137931,0.4050235478806907,0.03875968992248059
17,coordinate,rtmpose_m,visible,frame_reference,128,32,96,0,32,0,32,158,136,22,126.0,0,0.8607594936708861,0.5190839694656488,0.04058823529411767
17,coordinate,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,6,128,0,122,580,519,61,781.0,0,0.8948275862068965,0.3992307692307692,0.035915221579961465
17,coordinate,vitpose_base,visible,frame_reference,128,32,96,1,32,0,31,158,140,18,144.0,0,0.8860759493670886,0.49295774647887325,0.031714285714285737
17,direct,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,0,128,0,128,580,541,39,913.0,0,0.9327586206896552,0.37207702888583216,0.03608133086876148
17,direct,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,152,6,210.0,0,0.9620253164556962,0.4198895027624309,0.03263157894736835
17,direct,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,8,128,0,120,580,510,70,556.0,0,0.8793103448275862,0.47842401500938087,0.03364705882352943
17,direct,rtmpose_m,visible,frame_reference,128,32,96,2,32,0,30,158,148,10,111.0,0,0.9367088607594937,0.5714285714285714,0.03000000000000001
17,direct,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,9,128,0,119,580,518,62,560.0,0,0.8931034482758621,0.4805194805194805,0.030888030888030854
17,direct,vitpose_base,visible,frame_reference,128,32,96,3,32,0,29,158,147,11,107.0,0,0.930379746835443,0.5787401574803149,0.026394557823129307
17,filter0,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,8,128,0,120,580,547,33,744.0,0,0.9431034482758621,0.42370255615801705,0.03480804387568546
17,filter0,hrnet_w32,visible,frame_reference,128,32,96,1,32,0,31,158,148,10,185.0,0,0.9367088607594937,0.4444444444444444,0.03270270270270256
17,filter0,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,16,128,0,112,580,513,67,484.0,0,0.8844827586206897,0.5145436308926781,0.03602339181286542
17,filter0,rtmpose_m,visible,frame_reference,128,32,96,1,32,0,31,158,149,9,101.0,0,0.9430379746835443,0.596,0.027919463087248304
17,filter0,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,19,128,0,109,580,504,76,506.0,0,0.8689655172413793,0.499009900990099,0.034682539682539634
17,filter0,vitpose_base,visible,frame_reference,128,32,96,4,32,0,28,158,146,12,84.0,0,0.9240506329113924,0.6347826086956522,0.024931506849315062
17,filter1,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,23,128,0,105,580,462,118,312.0,0,0.7965517241379311,0.5968992248062015,0.04190476190476187
17,filter1,hrnet_w32,visible,frame_reference,128,32,96,5,32,0,27,158,141,17,71.0,0,0.8924050632911392,0.6650943396226415,0.03602836879432612
17,filter1,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,21,128,0,107,580,411,169,190.0,0,0.7086206896551724,0.6838602329450915,0.034257907542579055
17,filter1,rtmpose_m,visible,frame_reference,128,32,96,10,32,0,22,158,129,29,23.0,0,0.8164556962025317,0.8486842105263158,0.031007751937984433
17,filter1,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,17,128,0,111,580,407,173,232.0,0,0.7017241379310345,0.6369327073552425,0.03577395577395578
17,filter1,vitpose_base,visible,frame_reference,128,32,96,18,32,0,14,158,131,27,27.0,0,0.8291139240506329,0.8291139240506329,0.029312977099236654
17,filter2,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,30,128,0,98,580,378,202,174.0,0,0.6517241379310345,0.6847826086956522,0.03989417989417988
17,filter2,hrnet_w32,visible,frame_reference,128,32,96,7,32,0,25,158,121,37,25.0,0,0.7658227848101266,0.8287671232876712,0.03471074380165286
17,filter2,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,26,128,0,102,580,365,215,124.0,0,0.6293103448275862,0.7464212678936605,0.035397260273972615
17,filter2,rtmpose_m,visible,frame_reference,128,32,96,6,32,0,26,158,116,42,7.0,0,0.7341772151898734,0.943089430894309,0.03275862068965508
17,filter2,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,22,128,0,106,580,349,231,147.0,0,0.6017241379310345,0.7036290322580645,0.036446991404011454
17,filter2,vitpose_base,visible,frame_reference,128,32,96,15,32,0,17,158,115,43,16.0,0,0.7278481012658228,0.8778625954198473,0.024695652173913042
17,initialized,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,3,128,0,125,580,548,32,805.0,0,0.9448275862068966,0.4050258684405026,0.033503649635036416
17,initialized,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,152,6,182.0,0,0.9620253164556962,0.4550898203592814,0.03184210526315783
17,initialized,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,13,128,0,115,580,512,68,468.0,0,0.8827586206896552,0.5224489795918368,0.03585937499999997
17,initialized,rtmpose_m,visible,frame_reference,128,32,96,4,32,0,28,158,144,14,86.0,0,0.9113924050632911,0.6260869565217392,0.0313888888888888
17,initialized,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,16,128,0,112,580,505,75,487.0,0,0.8706896551724138,0.5090725806451613,0.032792079207920766
17,initialized,vitpose_base,visible,frame_reference,128,32,96,5,32,0,27,158,143,15,82.0,0,0.9050632911392406,0.6355555555555555,0.022657342657342653
17,joint_affine,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,9,128,0,119,580,546,34,807.0,0,0.9413793103448276,0.4035476718403548,0.034945054945054836
17,joint_affine,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,150,8,204.0,0,0.9493670886075949,0.423728813559322,0.029866666666666576
17,joint_affine,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,15,127,1,112,580,510,70,475.0,1,0.8793103448275862,0.5177664974619289,0.03568627450980382
17,joint_affine,rtmpose_m,visible,frame_reference,128,32,96,5,32,0,27,158,142,16,92.0,0,0.8987341772151899,0.6068376068376068,0.02929577464788726
17,joint_affine,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,23,128,0,105,580,505,75,509.0,0,0.8706896551724138,0.4980276134122288,0.03271287128712868
17,joint_affine,vitpose_base,visible,frame_reference,128,32,96,6,32,0,26,158,144,14,81.0,0,0.9113924050632911,0.64,0.02361111111111107
17,joint_offset,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,7,128,0,121,580,544,36,750.0,0,0.9379310344827586,0.42040185471406494,0.03544117647058814
17,joint_offset,hrnet_w32,visible,frame_reference,128,32,96,1,32,0,31,158,148,10,170.0,0,0.9367088607594937,0.46540880503144655,0.03540540540540532
17,joint_offset,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,16,127,1,111,580,509,71,483.0,1,0.8775862068965518,0.5131048387096774,0.034656188605107975
17,joint_offset,rtmpose_m,visible,frame_reference,128,32,96,2,32,0,30,158,146,12,92.0,0,0.9240506329113924,0.6134453781512605,0.02876712328767119
17,joint_offset,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,19,128,0,109,580,504,76,506.0,0,0.8689655172413793,0.499009900990099,0.034682539682539634
17,joint_offset,vitpose_base,visible,frame_reference,128,32,96,3,32,0,29,158,144,14,84.0,0,0.9113924050632911,0.631578947368421,0.024722222222222215
17,ordinary_jepa,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,1,128,0,127,580,544,36,808.0,0,0.9379310344827586,0.40236686390532544,0.03374999999999994
17,ordinary_jepa,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,151,7,189.0,0,0.9556962025316456,0.4441176470588235,0.02463576158940383
17,ordinary_jepa,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,14,128,0,114,580,502,78,469.0,0,0.8655172413793103,0.5169927909371782,0.035298804780876436
17,ordinary_jepa,rtmpose_m,visible,frame_reference,128,32,96,1,32,0,31,158,147,11,100.0,0,0.930379746835443,0.5951417004048583,0.0310204081632652
17,ordinary_jepa,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,16,128,0,112,580,506,74,521.0,0,0.8724137931034482,0.49269717624148,0.03383399209486164
17,ordinary_jepa,vitpose_base,visible,frame_reference,128,32,96,4,32,0,28,158,146,12,91.0,0,0.9240506329113924,0.6160337552742616,0.02493150684931508
17,paired_jepa,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,1,128,0,127,580,542,38,816.0,0,0.9344827586206896,0.39911634756995584,0.03365313653136526
