relative_path,source_dataset,parent_path,subject_id_candidate,motion_id,sha256,npz_keys,num_frames,pose_width,trans_frames,trans_width,mocap_framerate,gender,status,error
ACCAD/Female1General_c3d/A1 - Stand_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A1 - Stand,ca90cc075c1182b91c0840c3285f5088c943bff21bf9fba3d6076c69a4c79208,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",360,156,360,3,120.0,female,ok,
ACCAD/Female1General_c3d/A10 - lie to crouch_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A10 - lie to crouch,8c914e35c0dc25f2233e159a6df8844f9ded4e918943c7e29553e2946a1e3c9d,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",524,156,524,3,120.0,female,ok,
ACCAD/Female1General_c3d/A11 - crawl forward_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A11 - crawl forward,3a0da55b8c14c931a13adf3df6cef9ddb7a8c7b5e9e04f3bc0f240590fd63f61,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",2399,156,2399,3,120.0,female,ok,
ACCAD/Female1General_c3d/A12 - crawl backwards_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A12 - crawl backwards,f019200c187dc6805e8f466c38a9ce7e32fcad07ace634962748d71e358327ca,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",2647,156,2647,3,120.0,female,ok,
ACCAD/Female1General_c3d/A14 - stand to skip_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A14 - stand to skip,dcf5df3382315f5e180bea4baec4a76a0ffe718840f6952e6c52dc1a3a98743b,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",618,156,618,3,120.0,female,ok,
ACCAD/Female1General_c3d/A15 - skip to stand_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A15 - skip to stand,772b0b8d508a9f89c81f40ec85899ec3dd1de16644e73c1bca9e959a5d3a6a58,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",511,156,511,3,120.0,female,ok,
ACCAD/Female1General_c3d/A2 - Sway t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A2 - Sway t2,c1d7aecfb2a1567ae19d9cbc3d00625dfa60b1da76dd5910971eebbd6adfc0a1,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1914,156,1914,3,120.0,female,ok,
ACCAD/Female1General_c3d/A2 - Sway_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A2 - Sway,1804e0dd6bfd8fffb2bc56600940d414fee711f8bed3188cabadad3360d351aa,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1443,156,1443,3,120.0,female,ok,
ACCAD/Female1General_c3d/A3 - Swing t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A3 - Swing t2,25e6d327f0301d586260fd19a36ac6b0ff9aa835c4cf235844713b7f84461f07,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",977,156,977,3,120.0,female,ok,
ACCAD/Female1General_c3d/A3 - Swing_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A3 - Swing,1a1dc080a75ed012e480d3b591599386a215067dd967c1b51e4f295a8aa1cb49,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1741,156,1741,3,120.0,female,ok,
ACCAD/Female1General_c3d/A4 - look_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A4 - look,1021039efc43b057abd1903785454e8bc1505d76505dc1ca4353bf5f312004ec,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",2553,156,2553,3,120.0,female,ok,
ACCAD/Female1General_c3d/A5 - pick up box_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A5 - pick up box,11017c2dbe2799a41d04be3afe51e520565766805d97f340e84e89ae5e639345,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",754,156,754,3,120.0,female,ok,
ACCAD/Female1General_c3d/A6 - lift box_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A6 - lift box,e57346745dd22273ed9cafbcf02718a94613a2efe84c42dee7720182e7ca3700,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1006,156,1006,3,120.0,female,ok,
ACCAD/Female1General_c3d/A6- lift box t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A6- lift box t2,5a8b71aae593027fc39c454d121724b565c224946dfe0b3f5e873e920630bad8,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",849,156,849,3,120.0,female,ok,
ACCAD/Female1General_c3d/A7 - crouch_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A7 - crouch,5139418679e58d913935bac1a563042b13e3c65830ab3875389ccc42d109b1ad,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",608,156,608,3,120.0,female,ok,
ACCAD/Female1General_c3d/A8 - crouch to lie_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A8 - crouch to lie,34caae19106844db24408b0105d14928f87a709009431c8b2329cdd1beb218d5,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",773,156,773,3,120.0,female,ok,
ACCAD/Female1General_c3d/A9 - lie t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,ACCAD::Female1General_c3d,A9 - lie t2,ec856e113c4cda4f9e392dc9875e10a179696c759169878bb5b7c8c0bfa04aee,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",946,156,946,3,120.0,female,ok,
ACCAD/Female1Gestures_c3d/D1 - Urban 1_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,ACCAD::Female1Gestures_c3d,D1 - Urban 1,841792d19407066986c6c17d0a633f2874a90c53e1ef85932e8f5a29bc05d22e,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1843,156,1843,3,120.0,female,ok,
ACCAD/Female1Gestures_c3d/D2 - Wait 1_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,ACCAD::Female1Gestures_c3d,D2 - Wait 1,e607808b869a1b1c2cd15c6e6958b6a24c0811ba4f06ba0f931fac92c0848deb,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",4624,156,4624,3,120.0,female,ok,
ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,ACCAD::Female1Gestures_c3d,D3 - Conversation Gestures,7a3b1d0adc7dbbd261dc43c671a1cbd626e3b17d3c578f36996877bc5c56029d,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",6086,156,6086,3,120.0,female,ok,
ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,ACCAD::Female1Gestures_c3d,D5 - Random Stuff 2,2fde2b02b0e5d967fdeccb629427e51df2cbdd3623cc548904720a52480562c1,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1996,156,1996,3,120.0,female,ok,
