relative_path,tensor_relative_path,source_dataset,subject_id_candidate,identity,split,motion_id,gender,native_fps,native_frames,canonical_fps,canonical_frames,source_sha256,source_sha256_verified,body_model_sha256,dmpl_model_sha256,schema,coordinate_frame,valid_fraction,forward_method,travel_displacement_m,travel_path_length_m,travel_straightness,travel_linearity,lateral_hip_alignment,leg_length_m,conversion_fingerprint,status,error
ACCAD/Female1General_c3d/A1 - Stand_poses.npz,ACCAD/Female1General_c3d/A1 - Stand_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A1 - Stand,female,120.0,360,30.0,90,ca90cc075c1182b91c0840c3285f5088c943bff21bf9fba3d6076c69a4c79208,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.012541116849551063,0.05955882440428098,0.21056689709694187,0.946938117748863,1.0,0.749918520450592,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A10 - lie to crouch_poses.npz,ACCAD/Female1General_c3d/A10 - lie to crouch_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A10 - lie to crouch,female,120.0,524,30.0,131,8c914e35c0dc25f2233e159a6df8844f9ded4e918943c7e29553e2946a1e3c9d,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,0.4685821749048498,0.6449698120188772,0.7265179953742319,0.9988320409174791,-0.9991594204965261,0.753246545791626,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A11 - crawl forward_poses.npz,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A11 - crawl forward,female,120.0,2399,30.0,600,3a0da55b8c14c931a13adf3df6cef9ddb7a8c7b5e9e04f3bc0f240590fd63f61,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,2.6967145290066425,3.572547593078818,0.7548435559629918,0.9964354782745879,0.9992570823558702,0.7804239392280579,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A12 - crawl backwards_poses.npz,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A12 - crawl backwards,female,120.0,2647,30.0,662,f019200c187dc6805e8f466c38a9ce7e32fcad07ace634962748d71e358327ca,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,3.065522705503987,4.511836003385799,0.6794401886955862,0.9979888969224979,-0.9974921023247214,0.7815332412719727,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A14 - stand to skip_poses.npz,ACCAD/Female1General_c3d/A14 - stand to skip_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A14 - stand to skip,female,120.0,618,30.0,155,dcf5df3382315f5e180bea4baec4a76a0ffe718840f6952e6c52dc1a3a98743b,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,5.167645792415646,5.340226927437119,0.9676828087333177,0.9991862585834818,0.9857476313684841,0.7597370147705078,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A15 - skip to stand_poses.npz,ACCAD/Female1General_c3d/A15 - skip to stand_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A15 - skip to stand,female,120.0,511,30.0,128,772b0b8d508a9f89c81f40ec85899ec3dd1de16644e73c1bca9e959a5d3a6a58,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,4.170154766926996,4.335062112667349,0.9619596348438739,0.9986610436127539,0.9994295105049178,0.7564666271209717,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A2 - Sway t2_poses.npz,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A2 - Sway t2,female,120.0,1914,30.0,479,c1d7aecfb2a1567ae19d9cbc3d00625dfa60b1da76dd5910971eebbd6adfc0a1,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.029758184147757483,1.2514635767604316,0.023778705749303727,0.9274364653915438,1.0,0.7500341534614563,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A2 - Sway_poses.npz,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A2 - Sway,female,120.0,1443,30.0,361,1804e0dd6bfd8fffb2bc56600940d414fee711f8bed3188cabadad3360d351aa,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.014987914980789236,0.8774973892008935,0.017080295810837923,0.9411065065819404,1.0,0.750525176525116,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A3 - Swing t2_poses.npz,ACCAD/Female1General_c3d/A3 - Swing t2_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A3 - Swing t2,female,120.0,977,30.0,245,25e6d327f0301d586260fd19a36ac6b0ff9aa835c4cf235844713b7f84461f07,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.009412724121213863,0.3976296331397511,0.023672089142072725,0.9189734599973337,1.0,0.7536488175392151,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A3 - Swing_poses.npz,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A3 - Swing,female,120.0,1741,30.0,436,1a1dc080a75ed012e480d3b591599386a215067dd967c1b51e4f295a8aa1cb49,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.014799463437645273,1.0018836488606633,0.014771638856942264,0.590133128161242,1.0,0.754073441028595,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A4 - look_poses.npz,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A4 - look,female,120.0,2553,30.0,639,1021039efc43b057abd1903785454e8bc1505d76505dc1ca4353bf5f312004ec,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.012470261301109283,0.519638505466552,0.02399795467411136,0.8195125794968868,1.0,0.7509304285049438,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A5 - pick up box_poses.npz,ACCAD/Female1General_c3d/A5 - pick up box_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A5 - pick up box,female,120.0,754,30.0,189,11017c2dbe2799a41d04be3afe51e520565766805d97f340e84e89ae5e639345,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.023023109562293777,0.53731920635851,0.04284810460866404,0.9621667854061206,1.0,0.7532203197479248,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
