source_dataset,subject_id_candidate,audited_subject_id,identity,split,split_seed
BioMotionLab_NTroje,BioMotionLab_NTroje::rub010,rub010,BioMotionLab_NTroje::rub010,test,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub014,rub014,BioMotionLab_NTroje::rub014,test,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub027,rub027,BioMotionLab_NTroje::rub027,test,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub030,rub030,BioMotionLab_NTroje::rub030,test,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub031,rub031,BioMotionLab_NTroje::rub031,test,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub050,rub050,BioMotionLab_NTroje::rub050,test,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub061,rub061,BioMotionLab_NTroje::rub061,test,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub076,rub076,BioMotionLab_NTroje::rub076,test,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub091,rub091,BioMotionLab_NTroje::rub091,test,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub094,rub094,BioMotionLab_NTroje::rub094,test,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub104,rub104,BioMotionLab_NTroje::rub104,test,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub113,rub113,BioMotionLab_NTroje::rub113,test,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::yamaoka,yamaoka,Eyes_Japan_Dataset::yamaoka,test,gait-parity-amass-v1
KIT,KIT::1226,1226,KIT::1226,test,gait-parity-amass-v1
KIT,KIT::314,314,KIT::314,test,gait-parity-amass-v1
KIT,KIT::317,317,KIT::317,test,gait-parity-amass-v1
KIT,KIT::425,425,KIT::425,test,gait-parity-amass-v1
KIT,KIT::442,442,KIT::442,test,gait-parity-amass-v1
MPI_HDM05,MPI_HDM05::mm,mm,MPI_HDM05::mm,test,gait-parity-amass-v1
ACCAD,ACCAD::Female1General_c3d,Female1,ACCAD::Female1,train,gait-parity-amass-v1
