"Priority 
(H/M/L/NA )",Feature:,Neurological Reason:,What is considered significant?,Source:
M,hip_asymmetry,"Because a stroke occurs on one side of the brain, it primarily affects the functioning of one side of the body. So, while one hip might be able to move unimpaired, the other might be slower and have a reduced range of motion due to a damaged signaling pathway for movement of that hip. This would lead to asymmetry.","The paper did not include a specific value and was instead focused on asymmetry of the overall kinematic pattern.

I would assume anything greater than a 10 degree threshold might be a sign.",https://pubmed.ncbi.nlm.nih.gov/32521470/
H,knee_asymmetry,"One symptom of a stroke is a ""stiff-knee gait,"" which occurs when one side of the body has been weaked due to the stroke, leading to the brain's inability to properly signal the knee muscles to flex. Therefore, knee asymetry would be a very useful feature to track.

Stiff-knee gait affects 25%-75% of individuals with post-stroke gait impairment, according to this paper","According to this paper, a difference of 17 degrees or greater in knee flexion can signal a stroke.",https://www.sciencedirect.com/science/article/pii/S0268003324001839
H,ankle_asymmetry,A stroke can cause weakened dorsiflexion and plantar flexion muscles (the ones that allow your ankle to move up and down) in one ankle. This would definitely lead to asymetry in how much your ankles flex. ,"In the abstract, I could not find a specific measurement. The full paper is also behind a paywall, so it might contain more information.

I would again assume anything greater than a 10 degree threshold might be a sign",https://www.archives-pmr.org/article/S0003-9993(06)00049-9/abstract
L,left_hip_range,"The signaling pathway to hip muscles might be damaged/blocked after a stroke, leading to a reduced range of motion. It's important to note here that this will only happen in one hip.","There's no universal threshold for hip ROM in stroke patients vs healthy individuals, so instead comparing both ranges and seeing if there's a significant difference (perhaps greater than 5 degrees) might be a useful method. Alternatively, a range of around 10 degrees or below could be a big indication of something being wrong, just with the knowledge that a stroke might not reduce hip range to that extreme level.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4007512/
L,right_hip_range,"The signaling pathway to hip muscles might be damaged/blocked after a stroke, leading to a reduced range of motion. It's important to note here that this will only happen in one hip.","There's no universal threshold for hip ROM in stroke patients vs healthy individuals, so instead comparing both ranges and seeing if there's a significant difference (perhaps greater than 5 degrees) might be a useful method. Alternatively, a range of around 10 degrees or below could be a big indication of something being wrong, just with the knowledge that a stroke might not reduce hip range to that extreme level.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4007512/
M,left_knee_range,"Because of stiff-knee gait, one of the two knees will have a reduced range of motion (which is what leads to the asymmetry). It's important to note here that this will only happen in one knee.","A normal knee ROM is around 60 degrees, here it would be reduced to around 30-45 degrees",https://www.springermedicine.com/stroke/post-stroke-stiff-knee-gait-are-there-different-types-or-differe/50679042
M,right_knee_range,"Because of stiff-knee gait, one of the two knees will have a reduced range of motion (which is what leads to the asymmetry). It's important to note here that this will only happen in one knee.","A normal knee ROM is around 60 degrees, here it would be reduced to around 30-45 degrees",https://www.springermedicine.com/stroke/post-stroke-stiff-knee-gait-are-there-different-types-or-differe/50679042
L,left_ankle_range,"The signaling pathway to ankle muscles might be damaged/blocked after a stroke, leading to a reduced range of motion. It's important to note here that this will only happen in one ankle.","A normal ankle ROM is 10-15 degrees, and stroke patients typically showcase ankle dorsiflexion 50% lower than that in their affected ankle. So, for a decision tree, it might check the range of both ankles, find the larger range, and see if the smaller range is close to half that value or not.",https://www.sciencedirect.com/science/article/abs/pii/S105230571830452X
L,right_ankle_range,"The signaling pathway to ankle muscles might be damaged/blocked after a stroke, leading to a reduced range of motion. It's important to note here that this will only happen in one ankle.","A normal ankle ROM is 10-15 degrees, and stroke patients typically showcase ankle dorsiflexion 50% lower than that in their affected ankle. So, for a decision tree, it might check the range of both ankles, find the larger range, and see if the smaller range is close to half that value or not.",https://www.sciencedirect.com/science/article/abs/pii/S105230571830452X
H,walking_speed_ms,"Due to reduced muscle control in one side of the body, a person's gait will slow down quite significantly with a stroke.","In healthy adults, the typical walking speed is around 1.40 m/s, and it stroke patients, it's reduced to around 0.50 m/s or slower (this varies a bit with different types of stroke)",https://www.sciencedirect.com/science/article/abs/pii/S0966636206002670
