,role,prior_id,flow_backend,person_id,motion_id,status,real_case_id,failure_case_id,real_event_flow_coverage,failure_event_flow_coverage,real_event_transport_gap_mean_px,failure_event_transport_gap_mean_px,paired_gap_difference_px,both_explanations_favor_expected_path
0,calibration,momask,sea_raft,KIT::423,calibration_0000_KIT__423,valid_available_support_pair,calibration_0000_KIT__423_matched_real,calibration_0000_KIT__423_matched_tracking_fai...,1.000000,1.000000,0.209499,-0.084159,0.293658,1.0
1,calibration,momask,sea_raft,BioMotionLab_NTroje::rub054,calibration_0001_BioMotionLab_NTroje__rub054,valid_available_support_pair,calibration_0001_BioMotionLab_NTroje__rub054_m...,calibration_0001_BioMotionLab_NTroje__rub054_m...,1.000000,1.000000,0.063915,-0.045079,0.108994,1.0
2,calibration,momask,sea_raft,BioMotionLab_NTroje::rub070,calibration_0002_BioMotionLab_NTroje__rub070,valid_available_support_pair,calibration_0002_BioMotionLab_NTroje__rub070_m...,calibration_0002_BioMotionLab_NTroje__rub070_m...,1.000000,1.000000,0.528451,0.292091,0.236360,0.0
3,calibration,momask,sea_raft,KIT::883,calibration_0003_KIT__883,valid_available_support_pair,calibration_0003_KIT__883_matched_real,calibration_0003_KIT__883_matched_tracking_fai...,1.000000,1.000000,-0.058991,-0.107052,0.048062,0.0
4,calibration,momask,sea_raft,BioMotionLab_NTroje::rub053,calibration_0004_BioMotionLab_NTroje__rub053,valid_available_support_pair,calibration_0004_BioMotionLab_NTroje__rub053_m...,calibration_0004_BioMotionLab_NTroje__rub053_m...,0.945578,0.945578,-0.040184,-0.166335,0.126150,0.0
5,calibration,momask,sea_raft,BioMotionLab_NTroje::rub086,calibration_0005_BioMotionLab_NTroje__rub086,valid_available_support_pair,calibration_0005_BioMotionLab_NTroje__rub086_m...,calibration_0005_BioMotionLab_NTroje__rub086_m...,1.000000,1.000000,-0.101264,-0.156750,0.055486,0.0
6,calibration,momask,sea_raft,KIT::917,calibration_0006_KIT__917,valid_available_support_pair,calibration_0006_KIT__917_matched_real,calibration_0006_KIT__917_matched_tracking_fai...,1.000000,1.000000,0.114556,-0.043309,0.157865,1.0
7,calibration,momask,sea_raft,BioMotionLab_NTroje::rub044,calibration_0007_BioMotionLab_NTroje__rub044,valid_available_support_pair,calibration_0007_BioMotionLab_NTroje__rub044_m...,calibration_0007_BioMotionLab_NTroje__rub044_m...,1.000000,1.000000,-0.164010,-0.164746,0.000736,0.0
8,development,momask,sea_raft,KIT::348,development_0000_KIT__348,valid_available_support_pair,development_0000_KIT__348_matched_real,development_0000_KIT__348_matched_tracking_fai...,1.000000,1.000000,0.362226,0.314308,0.047918,0.0
9,development,momask,sea_raft,ACCAD::Male2,development_0001_ACCAD__Male2,valid_available_support_pair,development_0001_ACCAD__Male2_matched_real,development_0001_ACCAD__Male2_matched_tracking...,1.000000,1.000000,0.035870,-0.152092,0.187962,1.0
10,development,momask,sea_raft,BioMotionLab_NTroje::rub002,development_0002_BioMotionLab_NTroje__rub002,valid_available_support_pair,development_0002_BioMotionLab_NTroje__rub002_m...,development_0002_BioMotionLab_NTroje__rub002_m...,1.000000,1.000000,0.151821,0.070328,0.081493,0.0
11,development,momask,sea_raft,BioMotionLab_NTroje::rub106,development_0003_BioMotionLab_NTroje__rub106,valid_available_support_pair,development_0003_BioMotionLab_NTroje__rub106_m...,development_0003_BioMotionLab_NTroje__rub106_m...,1.000000,1.000000,-0.074198,-0.082039,0.007841,0.0
12,development,momask,sea_raft,BioMotionLab_NTroje::rub075,development_0004_BioMotionLab_NTroje__rub075,valid_available_support_pair,development_0004_BioMotionLab_NTroje__rub075_m...,development_0004_BioMotionLab_NTroje__rub075_m...,0.945578,0.945578,-0.048118,-0.496764,0.448645,0.0
13,development,momask,sea_raft,BioMotionLab_NTroje::rub072,development_0005_BioMotionLab_NTroje__rub072,valid_available_support_pair,development_0005_BioMotionLab_NTroje__rub072_m...,development_0005_BioMotionLab_NTroje__rub072_m...,1.000000,1.000000,-0.206660,-0.175248,-0.031412,0.0
14,development,momask,sea_raft,KIT::955,development_0006_KIT__955,valid_available_support_pair,development_0006_KIT__955_matched_real,development_0006_KIT__955_matched_tracking_fai...,1.000000,1.000000,0.176595,-0.253228,0.429823,1.0
15,development,momask,sea_raft,BioMotionLab_NTroje::rub098,development_0007_BioMotionLab_NTroje__rub098,valid_available_support_pair,development_0007_BioMotionLab_NTroje__rub098_m...,development_0007_BioMotionLab_NTroje__rub098_m...,1.000000,1.000000,-0.153557,-0.162007,0.008450,0.0
