,role,case_id,event_present,event_flow_coverage,event_displacement_max_px,event_projected_in_frame_fraction,flow_reference_epe,flow_reference_coverage_foreground
4,calibration,calibration_0000_KIT__423_matched_real,True,1.000000,6.322943,1.0,0.437443,0.345894
5,calibration,calibration_0000_KIT__423_matched_tracking_fai...,False,1.000000,6.322943,1.0,0.446800,0.350635
12,calibration,calibration_0001_BioMotionLab_NTroje__rub054_m...,True,1.000000,7.462038,1.0,0.546272,0.403411
13,calibration,calibration_0001_BioMotionLab_NTroje__rub054_m...,False,1.000000,7.462038,1.0,0.536135,0.403022
20,calibration,calibration_0002_BioMotionLab_NTroje__rub070_m...,True,1.000000,10.175117,1.0,0.457438,0.511700
21,calibration,calibration_0002_BioMotionLab_NTroje__rub070_m...,False,1.000000,10.175117,1.0,0.439551,0.520644
28,calibration,calibration_0003_KIT__883_matched_real,True,1.000000,6.470049,1.0,0.154458,0.904005
29,calibration,calibration_0003_KIT__883_matched_tracking_fai...,False,1.000000,6.470049,1.0,0.128988,0.928113
36,calibration,calibration_0004_BioMotionLab_NTroje__rub053_m...,True,0.945578,5.110984,1.0,0.175529,0.758221
37,calibration,calibration_0004_BioMotionLab_NTroje__rub053_m...,False,0.945578,5.110984,1.0,0.155928,0.771689
44,calibration,calibration_0005_BioMotionLab_NTroje__rub086_m...,True,1.000000,5.287943,1.0,0.812911,0.456280
45,calibration,calibration_0005_BioMotionLab_NTroje__rub086_m...,False,1.000000,5.287943,1.0,0.764591,0.454894
52,calibration,calibration_0006_KIT__917_matched_real,True,1.000000,8.975445,1.0,0.491457,0.448994
53,calibration,calibration_0006_KIT__917_matched_tracking_fai...,False,1.000000,8.975445,1.0,0.470250,0.457691
60,calibration,calibration_0007_BioMotionLab_NTroje__rub044_m...,True,1.000000,10.901948,1.0,0.311590,0.398494
61,calibration,calibration_0007_BioMotionLab_NTroje__rub044_m...,False,1.000000,10.901948,1.0,0.310820,0.398464
68,development,development_0000_KIT__348_matched_real,True,1.000000,8.252004,1.0,0.313760,0.433781
69,development,development_0000_KIT__348_matched_tracking_fai...,False,1.000000,8.252004,1.0,0.315308,0.438142
76,development,development_0001_ACCAD__Male2_matched_real,True,1.000000,8.160200,1.0,0.266021,0.711019
77,development,development_0001_ACCAD__Male2_matched_tracking...,False,1.000000,8.160200,1.0,0.264415,0.723375
84,development,development_0002_BioMotionLab_NTroje__rub002_m...,True,1.000000,6.845836,1.0,0.729933,0.342631
85,development,development_0002_BioMotionLab_NTroje__rub002_m...,False,1.000000,6.845836,1.0,0.737821,0.340033
92,development,development_0003_BioMotionLab_NTroje__rub106_m...,True,1.000000,4.396912,1.0,0.182140,0.472386
93,development,development_0003_BioMotionLab_NTroje__rub106_m...,False,1.000000,4.396912,1.0,0.204829,0.492615
100,development,development_0004_BioMotionLab_NTroje__rub075_m...,True,0.945578,5.003456,1.0,0.246071,0.559079
101,development,development_0004_BioMotionLab_NTroje__rub075_m...,False,0.945578,5.003456,1.0,0.255098,0.576066
108,development,development_0005_BioMotionLab_NTroje__rub072_m...,True,1.000000,4.117198,1.0,0.147031,0.790829
109,development,development_0005_BioMotionLab_NTroje__rub072_m...,False,1.000000,4.117198,1.0,0.092723,0.822326
116,development,development_0006_KIT__955_matched_real,True,1.000000,8.158005,1.0,0.365241,0.876842
117,development,development_0006_KIT__955_matched_tracking_fai...,False,1.000000,8.158005,1.0,0.390953,0.942406
124,development,development_0007_BioMotionLab_NTroje__rub098_m...,True,1.000000,4.496630,1.0,0.109103,0.748026
125,development,development_0007_BioMotionLab_NTroje__rub098_m...,False,1.000000,4.496630,1.0,0.100131,0.786833
