,role,method,privileged,n_people,n_cases,observed_mse_m2,noise_removal,retention,signed_event_error,descriptor_signed_error,affected_mse_m2,unaffected_mse_m2,completion_mse_m2
5,calibration,bridge_projected,False,8,8,0.000041,-0.781180,0.859340,0.121371,0.011841,0.000320,0.000013,0.000034
13,calibration,bridge_unprojected,False,8,8,0.000054,-1.354077,0.845728,0.134293,0.011860,0.000353,0.000024,0.000036
21,calibration,gaussian_projected,False,8,8,0.000072,-2.133467,0.859963,0.004780,0.001352,0.000386,0.000040,0.000024
29,calibration,gaussian_unprojected,False,8,8,0.000058,-1.311236,0.899660,-0.030807,-0.000107,0.000353,0.000029,0.000036
37,calibration,legacy_prior_strength0,False,8,8,0.000041,-0.781179,0.859340,0.121372,0.011841,0.000320,0.000013,0.001105
45,calibration,median_projected,False,8,8,0.000087,-2.626773,0.840796,0.025224,0.004090,0.000461,0.000049,0.000023
53,calibration,median_unprojected,False,8,8,0.000072,-1.765198,0.878635,-0.045633,-0.001040,0.000429,0.000036,0.000035
61,calibration,oracle_mixture_projected,True,8,8,0.000034,-0.525227,0.919016,0.043627,0.002003,0.000246,0.000013,0.000036
69,calibration,oracle_mixture_unprojected,True,8,8,0.000019,0.273845,0.981005,-0.005034,-0.000196,0.000211,0.000000,0.000041
77,calibration,prior_projected,False,8,8,0.017188,-556.913858,0.264451,-0.735549,-0.102231,0.017265,0.017181,0.002405
85,calibration,prior_unprojected,False,8,8,0.017094,-554.518920,0.282328,-0.717672,-0.101895,0.016745,0.017130,0.002468
93,calibration,projected_raw,False,8,8,0.000041,-0.781179,0.859340,0.121372,0.011841,0.000320,0.000013,0.000034
101,calibration,raw,False,8,8,0.000027,0.000000,0.906262,0.049507,0.008739,0.000295,0.000000,0.000048
109,calibration,raw_projected_reference_lengths,True,8,8,0.000041,-0.754952,0.837590,0.143537,0.012757,0.000321,0.000013,0.000035
117,calibration,truth_projected_observed_lengths,True,8,8,0.000022,-0.032817,0.956206,-0.026559,-0.000635,0.000117,0.000013,0.000002
125,calibration,truth_projected_reference_lengths,True,8,8,0.000013,0.254426,0.990245,-0.003707,0.000042,0.000018,0.000013,0.000002
133,development,bridge_projected,False,8,8,0.000040,-0.538878,0.786111,0.212972,0.019690,0.000326,0.000011,0.000155
141,development,bridge_unprojected,False,8,8,0.000055,-1.055767,0.768113,0.220035,0.021295,0.000379,0.000022,0.000256
149,development,gaussian_projected,False,8,8,0.000122,-2.937232,0.857881,0.116572,0.008902,0.000559,0.000078,0.000086
157,development,gaussian_unprojected,False,8,8,0.000111,-2.543373,0.884688,0.003959,-0.003144,0.000489,0.000073,0.000255
165,development,legacy_prior_strength0,False,8,8,0.000040,-0.538877,0.786111,0.212972,0.019690,0.000326,0.000011,0.003500
173,development,median_projected,False,8,8,0.000146,-3.557863,0.871356,0.098387,0.008246,0.000590,0.000102,0.000112
181,development,median_unprojected,False,8,8,0.000134,-3.058946,0.870989,-0.031966,-0.006323,0.000533,0.000094,0.000250
189,development,oracle_mixture_projected,True,8,8,0.000028,-0.127104,0.882281,0.071250,0.007328,0.000194,0.000011,0.000155
197,development,oracle_mixture_unprojected,True,8,8,0.000017,0.300323,0.944376,-0.027851,-0.003091,0.000190,0.000000,0.000240
205,development,prior_projected,False,8,8,0.002121,-87.969064,0.320104,-0.679896,-0.073245,0.004974,0.001837,0.011212
213,development,prior_unprojected,False,8,8,0.002094,-87.472473,0.332565,-0.667435,-0.070891,0.004701,0.001834,0.010643
221,development,projected_raw,False,8,8,0.000040,-0.538877,0.786111,0.212972,0.019690,0.000326,0.000011,0.000155
229,development,raw,False,8,8,0.000027,0.000000,0.855359,0.110715,0.007947,0.000295,0.000000,0.000240
237,development,raw_projected_reference_lengths,True,8,8,0.000042,-0.571156,0.757490,0.222781,0.021799,0.000351,0.000011,0.000164
245,development,truth_projected_observed_lengths,True,8,8,0.000017,0.336863,0.937810,0.022658,0.001207,0.000081,0.000011,0.000063
253,development,truth_projected_reference_lengths,True,8,8,0.000011,0.553811,0.957599,0.034453,0.003611,0.000011,0.000011,0.000070
