,role,method,projection,strength,observed_mse_m2,noise_removal,retention
48,calibration,gaussian,fixed_lengths,0.0,0.000041,-0.781179,0.859340
56,calibration,gaussian,none,0.0,0.000027,0.000000,0.906262
112,calibration,median,fixed_lengths,0.0,0.000041,-0.781179,0.859340
120,calibration,median,none,0.0,0.000027,0.000000,0.906262
176,calibration,prior,fixed_lengths,0.0,0.000041,-0.781179,0.859340
184,calibration,prior,none,0.0,0.000027,0.000000,0.906262
240,development,gaussian,fixed_lengths,0.0,0.000040,-0.538877,0.786111
248,development,gaussian,none,0.0,0.000027,0.000000,0.855359
304,development,median,fixed_lengths,0.0,0.000040,-0.538877,0.786111
312,development,median,none,0.0,0.000027,0.000000,0.855359
368,development,prior,fixed_lengths,0.0,0.000040,-0.538877,0.786111
376,development,prior,none,0.0,0.000027,0.000000,0.855359
