sequence_id,video_id,neurologic_observed_fraction
cljo2wwu7001a3n6ljmqm39l6,3KnFt8bH3tE,0.984375
cljo2y1f7001e3n6lt1wgacw6,3KnFt8bH3tE,1.0
cljo2yqzp001i3n6lg75p7wtq,3KnFt8bH3tE,0.9796875
cljo2zn41001m3n6lhbvww48i,3KnFt8bH3tE,1.0
cljo30lnz001q3n6lopfty7q5,3KnFt8bH3tE,0.9515625
cljo32213001u3n6lel97up5f,3KnFt8bH3tE,1.0
cljo32ik2001y3n6lmmnu0sgo,3KnFt8bH3tE,1.0
cljo32xnz00223n6lvxzyif3y,3KnFt8bH3tE,1.0
cljo33m8400263n6l4xxsl6ku,3KnFt8bH3tE,1.0
cljo340cm002a3n6low42ugvh,3KnFt8bH3tE,0.996875
cljo39ok9002h3n6ldr0w5sey,3KnFt8bH3tE,0.9875
cljo3b2dy002l3n6l270vpzp8,3KnFt8bH3tE,1.0
