condition,sequence_id,video_id,joint_valid_fraction_00,joint_valid_fraction_01,joint_valid_fraction_02,joint_valid_fraction_03,joint_valid_fraction_04,joint_valid_fraction_05,joint_valid_fraction_06,joint_valid_fraction_07,joint_valid_fraction_08,joint_valid_fraction_09,joint_valid_fraction_10,joint_valid_fraction_11,joint_valid_fraction_12,joint_valid_fraction_13,joint_valid_fraction_14,joint_valid_fraction_15,joint_valid_fraction_16,joint_valid_fraction_17,joint_valid_fraction_18,joint_valid_fraction_19,joint_valid_fraction_20,joint_valid_fraction_21,joint_valid_fraction_22,joint_valid_fraction_23,joint_valid_fraction_24,joint_valid_fraction_25,joint_valid_fraction_26,joint_valid_fraction_27,joint_valid_fraction_28,joint_valid_fraction_29,joint_valid_fraction_30,joint_valid_fraction_31,joint_valid_fraction_32,frame_valid_fraction_00,frame_valid_fraction_01,frame_valid_fraction_02,frame_valid_fraction_03,frame_valid_fraction_04,frame_valid_fraction_05,frame_valid_fraction_06,frame_valid_fraction_07,frame_valid_fraction_08,frame_valid_fraction_09,frame_valid_fraction_10,frame_valid_fraction_11,frame_valid_fraction_12,frame_valid_fraction_13,frame_valid_fraction_14,frame_valid_fraction_15,frame_valid_fraction_16,frame_valid_fraction_17,frame_valid_fraction_18,frame_valid_fraction_19,frame_valid_fraction_20,frame_valid_fraction_21,frame_valid_fraction_22,frame_valid_fraction_23,frame_valid_fraction_24,frame_valid_fraction_25,frame_valid_fraction_26,frame_valid_fraction_27,frame_valid_fraction_28,frame_valid_fraction_29,frame_valid_fraction_30,frame_valid_fraction_31,frame_valid_fraction_32,frame_valid_fraction_33,frame_valid_fraction_34,frame_valid_fraction_35,frame_valid_fraction_36,frame_valid_fraction_37,frame_valid_fraction_38,frame_valid_fraction_39,frame_valid_fraction_40,frame_valid_fraction_41,frame_valid_fraction_42,frame_valid_fraction_43,frame_valid_fraction_44,frame_valid_fraction_45,frame_valid_fraction_46,frame_valid_fraction_47,frame_valid_fraction_48,frame_valid_fraction_49,frame_valid_fraction_50,frame_valid_fraction_51,frame_valid_fraction_52,frame_valid_fraction_53,frame_valid_fraction_54,frame_valid_fraction_55,frame_valid_fraction_56,frame_valid_fraction_57,frame_valid_fraction_58,frame_valid_fraction_59,frame_valid_fraction_60,frame_valid_fraction_61,frame_valid_fraction_62,frame_valid_fraction_63
normal,cljo2wwu7001a3n6ljmqm39l6,3KnFt8bH3tE,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.96875,0.953125,0.984375,0.984375,0.0,0.93939394,0.969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
normal,cljo2y1f7001e3n6lt1wgacw6,3KnFt8bH3tE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849
normal,cljo2yqzp001i3n6lg75p7wtq,3KnFt8bH3tE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.796875,1.0,0.515625,0.859375,0.3125,0.71875,0.3125,0.703125,0.296875,0.578125,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.921875,1.0,0.93939394,0.93939394,0.93939394,0.93939394,0.93939394,0.969697,0.969697,0.969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969697,0.90909094,0.8787879,0.8787879,0.8787879,0.8787879,0.8484849,0.8484849,0.7878788,0.7878788,0.7878788,0.75757575,0.75757575,0.75757575,0.72727275,0.72727275,0.72727275,0.72727275,0.72727275,0.72727275,0.72727275,0.72727275,0.72727275,0.75757575,0.7878788,0.7878788,0.8181818,0.8484849,0.8484849,0.8484849,0.8484849,0.8787879,0.90909094,0.8787879,0.8787879,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.8787879
normal,cljo2zn41001m3n6lhbvww48i,3KnFt8bH3tE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.828125,1.0,0.75,1.0,0.65625,1.0,0.78125,1.0,0.828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969697,0.969697,0.969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969697,0.969697,0.90909094,0.90909094,0.8787879,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.90909094,0.90909094,0.969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8787879,0.8787879,0.8787879
normal,cljo30lnz001q3n6lopfty7q5,3KnFt8bH3tE,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.875,0.734375,0.84375,0.78125,0.8125,0.765625,0.8125,0.78125,0.828125,0.78125,0.984375,0.984375,0.859375,0.984375,0.875,0.984375,0.890625,0.984375,0.890625,0.984375,0.72727275,0.72727275,0.0,0.72727275,0.72727275,0.72727275,0.72727275,0.7878788,0.8484849,0.8787879,0.90909094,0.93939394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969697,0.969697,0.93939394,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849
normal,cljo32213001u3n6lel97up5f,3KnFt8bH3tE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
normal,cljo32ik2001y3n6lmmnu0sgo,3KnFt8bH3tE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849
normal,cljo32xnz00223n6lvxzyif3y,3KnFt8bH3tE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
normal,cljo33m8400263n6l4xxsl6ku,3KnFt8bH3tE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84375,0.75,0.640625,0.703125,0.609375,0.671875,0.5625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93939394,0.93939394,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.93939394,0.93939394,0.93939394,0.969697,0.93939394,0.93939394,0.90909094,0.90909094,0.90909094,0.90909094,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094
normal,cljo340cm002a3n6low42ugvh,3KnFt8bH3tE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8181818,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8181818,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849
