seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaqdekt00983n6ldn9m222j,390,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 676.0, 'width': 210.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,391,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 676.1746031746031, 'width': 210.76190476190482}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,392,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 676.3492063492064, 'width': 211.52380952380952}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,393,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 676.5238095238095, 'width': 212.28571428571433}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,394,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 676.6984126984127, 'width': 213.04761904761904}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,395,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 676.8730158730159, 'width': 213.80952380952385}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,396,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 677.047619047619, 'width': 214.57142857142856}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,397,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 677.2222222222222, 'width': 215.33333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,398,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 677.3968253968254, 'width': 216.09523809523807}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,399,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 677.5714285714286, 'width': 216.8571428571429}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,400,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 677.7460317460317, 'width': 217.6190476190476}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,401,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 677.9206349206349, 'width': 218.3809523809524}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,402,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 678.0952380952381, 'width': 219.1428571428571}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,403,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 678.2698412698413, 'width': 219.90476190476193}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,404,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 678.4444444444445, 'width': 220.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,405,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 678.6190476190476, 'width': 221.42857142857144}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,406,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 678.7936507936508, 'width': 222.19047619047615}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,407,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 678.968253968254, 'width': 222.95238095238096}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,408,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 679.1428571428571, 'width': 223.71428571428567}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,409,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 679.3174603174604, 'width': 224.47619047619048}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,410,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 679.4920634920635, 'width': 225.23809523809518}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,411,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 679.6666666666666, 'width': 226.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,412,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 679.8412698412699, 'width': 226.76190476190482}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,413,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 680.015873015873, 'width': 227.52380952380952}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,414,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 680.1904761904761, 'width': 228.28571428571433}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,415,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 680.3650793650794, 'width': 229.04761904761904}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqdekt00983n6ldn9m222j,416,left side,,Abnormal Gait,abnormal,"{'top': 28.0, 'left': 521.0, 'height': 680.5396825396825, 'width': 229.80952380952385}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
