condition,sequence_id,video_id,frames,pose_frame_coverage,neurologic_observed_fraction,fps,status,path
cerebralpalsy,cljar878f00c03n6ly2v2ay88,wRntYsztIEY,194,1.0,1.0,30.0,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljar878f00c03n6ly2v2ay88.npz
cerebralpalsy,cljar9bqo00c43n6l2u5zmlru,wRntYsztIEY,195,1.0,1.0,30.0,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljar9bqo00c43n6l2u5zmlru.npz
cerebralpalsy,cljar9t8o00c83n6ltculhoct,wRntYsztIEY,641,1.0,0.998829953198128,30.0,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljar9t8o00c83n6ltculhoct.npz
cerebralpalsy,cljarar9t00cc3n6lqhi9udoc,wRntYsztIEY,764,1.0,0.9994546247818499,30.0,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljarar9t00cc3n6lqhi9udoc.npz
cerebralpalsy,cljarbn1y00cg3n6l1u4i0d5l,wRntYsztIEY,152,1.0,1.0,30.0,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljarbn1y00cg3n6l1u4i0d5l.npz
cerebralpalsy,cljarcfa700ck3n6lfww83ig1,wRntYsztIEY,158,1.0,1.0,30.0,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljarcfa700ck3n6lfww83ig1.npz
cerebralpalsy,cljarcy3g00co3n6lzsn1x034,wRntYsztIEY,685,1.0,1.0,30.0,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljarcy3g00co3n6lzsn1x034.npz
cerebralpalsy,cljardvzg00cs3n6loetskba6,wRntYsztIEY,539,1.0,1.0,30.0,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljardvzg00cs3n6loetskba6.npz
cerebralpalsy,cljas04fw00f33n6lm5cvx9g6,DlPDuHBAP7A,147,1.0,1.0,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljas04fw00f33n6lm5cvx9g6.npz
cerebralpalsy,cljas134500f73n6lkfbjfayp,DlPDuHBAP7A,79,1.0,1.0,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljas134500f73n6lkfbjfayp.npz
cerebralpalsy,cljas1yfs00fb3n6lna38ui6i,DlPDuHBAP7A,346,1.0,1.0,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljas1yfs00fb3n6lna38ui6i.npz
cerebralpalsy,cljas2sou00ff3n6lasppj8h2,DlPDuHBAP7A,372,1.0,1.0,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljas2sou00ff3n6lasppj8h2.npz
cerebralpalsy,cljas4dqj00fj3n6ldw6wiwpy,DlPDuHBAP7A,317,1.0,0.9997371188222923,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljas4dqj00fj3n6ldw6wiwpy.npz
cerebralpalsy,cljas5esv00fn3n6lewd5xqdl,DlPDuHBAP7A,287,1.0,0.9799651567944251,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljas5esv00fn3n6lewd5xqdl.npz
cerebralpalsy,cljas6das00fr3n6lhlqzyhq2,DlPDuHBAP7A,116,0.8706896551724138,0.7966954022988506,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljas6das00fr3n6lhlqzyhq2.npz
cerebralpalsy,cljas71p600fv3n6lk1rzl7y5,DlPDuHBAP7A,554,1.0,1.0,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/cerebralpalsy/cljas71p600fv3n6lk1rzl7y5.npz
myopathic,cljargosy00cx3n6lm6atozrz,R8LRCiTvUz8,87,1.0,0.9904214559386973,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/myopathic/cljargosy00cx3n6lm6atozrz.npz
myopathic,cljarhldg00d13n6l7utw0lqn,R8LRCiTvUz8,311,1.0,0.9681136120042872,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/myopathic/cljarhldg00d13n6l7utw0lqn.npz
myopathic,cljarj6rf00d53n6ljtivf4q7,R8LRCiTvUz8,223,1.0,1.0,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/myopathic/cljarj6rf00d53n6ljtivf4q7.npz
myopathic,cljarkax200d93n6lukx52g1t,R8LRCiTvUz8,242,1.0,0.9820936639118457,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/myopathic/cljarkax200d93n6lukx52g1t.npz
myopathic,cljarlbch00dd3n6l9jaubrxq,R8LRCiTvUz8,123,1.0,1.0,29.970029830932617,cached,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses/myopathic/cljarlbch00dd3n6l9jaubrxq.npz
