video_id,evidence
-0wbleNgAwg,exposure-1.csv
-MQBffDuto4,exposure-1.csv
-oJM2wUUjws,exposure-1.csv
05oyBOE_0UE,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
0CdEPm-VYwA,exposure-0.csv
1MdBrKk7IL8,exposure-0.csv
2LbERGI34lA,exposure-1.csv
338R10fA_wU,exposure-1.csv
3FXUw98rrUY,exposure-1.csv
3KnFt8bH3tE,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
42Nu-u7LRJE,exposure-0.csv
4KU6G7Iv8ZM,exposure-1.csv
4Yiqk-ud8rI,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
5SBtTbfELUU,exposure-0.csv
5gpoegYv1hs,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
5qM6wxZ_dNs,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
7Ft1bUTzxkM,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
7OcKkW8_LUU,exposure-0.csv
7jJVj2ZNk_E,exposure-0.csv
8CmYE7Tt9mI,exposure-0.csv
8NlJgIySMG0,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
8PPLTf0fZsY,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
8mTHlAIdea0,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
9VzOTO0nV8U,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
9qg-3smwLcs,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
A2-NkglbQu0,exposure-1.csv
AWS_zIFfGTg,exposure-0.csv
B4rOTkTPbMI,exposure-1.csv
B5hrxKe2nP8,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
CMls0LwK5OU,exposure-1.csv
DfRhvdCiUJk,exposure-1.csv
DlPDuHBAP7A,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
EHx08gSNfxQ,exposure-1.csv
EHymg4AGMJs,exposure-1.csv
Exqj0M000S8,exposure-1.csv
FElCDD3X8pI,exposure-1.csv
FFki8FtaByw,exposure-0.csv
FTHc-TJOQ34,exposure-1.csv
FpXbeLZWFSw,exposure-1.csv
GJCHyOxnPIU,exposure-0.csv
H7WThdv-fCQ,exposure-0.csv
HDkWDe6FZDg,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
HEoUhlesN9E,exposure-0.csv
