source_dataset,subject_id_candidate,audited_subject_id,identity,identity_audit_status,known_downstream_overlap,excluded,exclusion_reason
ACCAD,ACCAD::Female1General_c3d,,,pending,,,
ACCAD,ACCAD::Female1Gestures_c3d,,,pending,,,
ACCAD,ACCAD::Female1Running_c3d,,,pending,,,
ACCAD,ACCAD::Female1Walking_c3d,,,pending,,,
ACCAD,ACCAD::Male1General_c3d,,,pending,,,
ACCAD,ACCAD::Male1Running_c3d,,,pending,,,
ACCAD,ACCAD::Male1Walking_c3d,,,pending,,,
ACCAD,ACCAD::Male2General_c3d,,,pending,,,
ACCAD,ACCAD::Male2MartialArtsExtended_c3d,,,pending,,,
ACCAD,ACCAD::Male2MartialArtsKicks_c3d,,,pending,,,
ACCAD,ACCAD::Male2MartialArtsPunches_c3d,,,pending,,,
ACCAD,ACCAD::Male2MartialArtsStances_c3d,,,pending,,,
ACCAD,ACCAD::Male2Running_c3d,,,pending,,,
ACCAD,ACCAD::Male2Walking_c3d,,,pending,,,
ACCAD,ACCAD::MartialArtsWalksTurns_c3d,,,pending,,,
ACCAD,ACCAD::s001,,,pending,,,
ACCAD,ACCAD::s007,,,pending,,,
ACCAD,ACCAD::s008,,,pending,,,
ACCAD,ACCAD::s009,,,pending,,,
ACCAD,ACCAD::s011,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub001,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub002,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub003,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub004,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub005,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub006,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub007,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub008,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub009,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub010,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub011,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub012,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub014,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub015,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub016,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub017,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub018,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub020,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub021,,,pending,,,
BioMotionLab_NTroje,BioMotionLab_NTroje::rub022,,,pending,,,
