sequence_id,video_id,cohort,bbox_source,neurologic_observed_fraction
aug--0wbleNgAwg-w00,-0wbleNgAwg,augmented_normal,mediapipe_pose_auto,0.9518229166666666
aug-3FXUw98rrUY-w00,3FXUw98rrUY,augmented_normal,mediapipe_pose_auto,1.0
aug-DfRhvdCiUJk-w00,DfRhvdCiUJk,augmented_normal,mediapipe_pose_auto,0.8880208333333334
aug-EHymg4AGMJs_clip-01-w00,EHymg4AGMJs,augmented_normal,mediapipe_pose_auto,1.0
aug-EHymg4AGMJs_clip-01-w01,EHymg4AGMJs,augmented_normal,mediapipe_pose_auto,1.0
aug-EHymg4AGMJs_clip-01-w02,EHymg4AGMJs,augmented_normal,mediapipe_pose_auto,1.0
aug-EHymg4AGMJs_clip-01-w03,EHymg4AGMJs,augmented_normal,mediapipe_pose_auto,0.9934895833333334
aug-EHymg4AGMJs_clip-01-w04,EHymg4AGMJs,augmented_normal,mediapipe_pose_auto,0.9947916666666666
aug-EHymg4AGMJs_clip-01-w05,EHymg4AGMJs,augmented_normal,mediapipe_pose_auto,0.9934895833333334
aug-EHymg4AGMJs_clip-02-w00,EHymg4AGMJs,augmented_normal,mediapipe_pose_auto,0.9153645833333334
aug-EHymg4AGMJs_clip-02-w01,EHymg4AGMJs,augmented_normal,mediapipe_pose_auto,0.984375
aug-EHymg4AGMJs_clip-02-w02,EHymg4AGMJs,augmented_normal,mediapipe_pose_auto,0.953125
aug-EHymg4AGMJs_clip-02-w03,EHymg4AGMJs,augmented_normal,mediapipe_pose_auto,1.0
aug-EHymg4AGMJs_clip-02-w04,EHymg4AGMJs,augmented_normal,mediapipe_pose_auto,1.0
aug-FTHc-TJOQ34-w00,FTHc-TJOQ34,augmented_normal,mediapipe_pose_auto,1.0
aug-FTHc-TJOQ34-w01,FTHc-TJOQ34,augmented_normal,mediapipe_pose_auto,1.0
aug-FTHc-TJOQ34-w02,FTHc-TJOQ34,augmented_normal,mediapipe_pose_auto,1.0
