sequence_id,video_id,url,first_frame,last_frame,n_annotated_frames,source_height,dataset_annotation,gait_pattern_annotation,cam_view
cljan9b4p00043n6ligceanyp,B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8,1757,2268,512,720,Abnormal Gait,parkinsons,right side
cljanb45y00083n6lmh1qhydd,B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8,2532,2746,215,720,Abnormal Gait,parkinsons,left side
cljao8kyf000d3n6l0x9kgmav,TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM,1,148,148,720,Abnormal Gait,abnormal,right side
cljaoak47000i3n6lsrb9rit9,TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM,205,355,151,720,Abnormal Gait,abnormal,left side
cljaob36l000m3n6l9xokjqww,TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM,382,813,432,720,Abnormal Gait,abnormal,right side
cljaobtd0000q3n6lutd71mer,TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM,852,1342,491,720,Abnormal Gait,abnormal,left side
cljaocn4e000u3n6lgnrx469h,TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM,1346,1524,179,720,Abnormal Gait,abnormal,front
cljaodqnu000y3n6ltaisg7tz,TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM,1579,1756,178,720,Abnormal Gait,abnormal,back
cljaoebv700113n6lw01p9hl3,TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM,1788,2157,370,720,Abnormal Gait,abnormal,front
cljaof3ba00153n6lcr8af6bi,TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM,2185,2693,509,720,Abnormal Gait,abnormal,back
cljaokm0f001e3n6lirgzoymg,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,38,150,113,360,Abnormal Gait,abnormal,front
cljaolsgy001i3n6li20nkrgp,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,195,313,119,360,Abnormal Gait,abnormal,back
