condition,sequence_id,video_id,neurologic_observed_fraction
normal,cljo2wwu7001a3n6ljmqm39l6,3KnFt8bH3tE,0.98046875
normal,cljo2y1f7001e3n6lt1wgacw6,3KnFt8bH3tE,1.0
normal,cljo2yqzp001i3n6lg75p7wtq,3KnFt8bH3tE,0.9830729166666666
normal,cljo2zn41001m3n6lhbvww48i,3KnFt8bH3tE,1.0
normal,cljo30lnz001q3n6lopfty7q5,3KnFt8bH3tE,0.94921875
normal,cljo32213001u3n6lel97up5f,3KnFt8bH3tE,1.0
normal,cljo32ik2001y3n6lmmnu0sgo,3KnFt8bH3tE,1.0
normal,cljo32xnz00223n6lvxzyif3y,3KnFt8bH3tE,1.0
normal,cljo33m8400263n6l4xxsl6ku,3KnFt8bH3tE,1.0
normal,cljo340cm002a3n6low42ugvh,3KnFt8bH3tE,0.9973958333333334
normal,cljo39ok9002h3n6ldr0w5sey,3KnFt8bH3tE,0.9869791666666666
normal,cljo3b2dy002l3n6l270vpzp8,3KnFt8bH3tE,1.0
normal,cljvx07sw003h3n6ltdmixplw,aqUuTLh6pHk,1.0
normal,cljvx1c3b003l3n6l6e7onq3z,aqUuTLh6pHk,1.0
normal,cljwrju1q002k3n6locdj52a9,mBAxLr73IHU,1.0
normal,cljwrkef8002o3n6lp21lyyik,mBAxLr73IHU,0.984375
normal,cljwrl5sp002s3n6l9f979pew,mBAxLr73IHU,1.0
normal,cljwrljou002w3n6ld0cnkyyv,mBAxLr73IHU,1.0
normal,cljwrm2hl00303n6lmj6myxp0,mBAxLr73IHU,1.0
normal,cljwsw2aj000n3n6l8leupj5h,vUM4OwTQk34,1.0
normal,cljwswmbz000r3n6lijh3r47s,vUM4OwTQk34,0.9817708333333334
normal,cljwswza1000v3n6lfl03wwes,vUM4OwTQk34,0.9609375
normal,cljwsxudc000z3n6l8eoon4wq,vUM4OwTQk34,0.98046875
normal,cljwsyscb00133n6lj5h5v9v1,vUM4OwTQk34,1.0
normal,cljwszgu800183n6lv2aev7fd,vUM4OwTQk34,0.984375
normal,cljwszxbr001c3n6lb5como0l,vUM4OwTQk34,0.9661458333333334
normal,cljwt17kh001g3n6lhqelrx2w,vUM4OwTQk34,1.0
normal,cljwt1mnk001k3n6lsrz5snat,vUM4OwTQk34,0.99609375
normal,cljwt275b001o3n6lx021hys6,vUM4OwTQk34,1.0
normal,cljwt2kh6001s3n6lnyzpoe3i,vUM4OwTQk34,0.9765625
normal,cljwtauxc00093n6lcfjk03tn,DfRhvdCiUJk,0.9231770833333334
normal,cljwtchru000e3n6ln81oebjw,diCVwltkV5M,0.9088541666666666
normal,cljwtdtig000m3n6l1wnao0fx,diCVwltkV5M,0.9361979166666666
normal,cljwteh0c000q3n6l0atu1s0y,diCVwltkV5M,1.0
normal,cljwtfmw9000u3n6lwarp8uit,diCVwltkV5M,0.9778645833333334
normal,cljwtgpsm000y3n6lgbj91b5h,eCCYhDSDlDc,1.0
normal,cljwth9ln00123n6l7bn94j2u,eCCYhDSDlDc,0.875
normal,cljwtj9z000173n6lfvq9s6p5,EHx08gSNfxQ,1.0
normal,cljwtjwzm001b3n6ldfj8y8yt,EHx08gSNfxQ,1.0
normal,cljwtki9b001f3n6lx9z4sqj7,EHx08gSNfxQ,1.0
normal,cljwtlo9i001k3n6l5haobi9m,EHymg4AGMJs,1.0
normal,cljwtm8x8001o3n6lz7zicp07,EHymg4AGMJs,1.0
normal,cljwtmuyo001s3n6lwvf8vtx3,EHymg4AGMJs,1.0
normal,cljwtogit00203n6labkjs3gk,EHymg4AGMJs,1.0
normal,cljwtp06q00243n6luy6xd8yh,EHymg4AGMJs,1.0
normal,cljxgsqgt00043n6lvj5enj3z,gp4H7Z2Vvn0,1.0
normal,cljxgtshi00093n6lozooumt1,gp4H7Z2Vvn0,1.0
normal,cljxgugiu000d3n6l1ieoxyk9,gp4H7Z2Vvn0,1.0
normal,cljxgvdvj000k3n6lmyydoci5,gp4H7Z2Vvn0,0.9908854166666666
normal,cljxgw12o000o3n6lm1k3e342,gp4H7Z2Vvn0,1.0
normal,cljxgwqfa000s3n6lpfzakjof,gp4H7Z2Vvn0,0.9934895833333334
normal,cljxgxq03000w3n6lpsp4cgc9,gp4H7Z2Vvn0,1.0
normal,cljxh0rcs00103n6lwtbna364,gp4H7Z2Vvn0,1.0
