condition,video_id,sequences
cerebralpalsy,rWKYDfklSkE,16
cerebralpalsy,338R10fA_wU,12
cerebralpalsy,DlPDuHBAP7A,8
cerebralpalsy,wRntYsztIEY,8
cerebralpalsy,SiYe89_WaTQ,6
cerebralpalsy,dXAvAA556gE,3
cerebralpalsy,-MQBffDuto4,2
cerebralpalsy,Uj89KJwLYOY,2
cerebralpalsy,f8h2nkV0R8A,1
myopathic,R8LRCiTvUz8,25
myopathic,LIF-guVFEt0,21
myopathic,idpMyfZB8NY,15
myopathic,zJ6PFxJrGf8,14
myopathic,Ha9LKXZfWBQ,13
myopathic,t_-37DIMeG0,13
myopathic,Rx21leooiqQ,10
myopathic,5qM6wxZ_dNs,8
myopathic,jzJIpY6vRLo,8
myopathic,IdAdpZaTWjU,7
myopathic,9qg-3smwLcs,6
myopathic,kqoUzTyn_k4,6
myopathic,7Ft1bUTzxkM,5
myopathic,8PPLTf0fZsY,4
myopathic,HDkWDe6FZDg,3
myopathic,Rz7V1i8kYGU,3
myopathic,lkr-EBeDC3I,3
myopathic,qVfnxAlL6d0,3
myopathic,05oyBOE_0UE,2
myopathic,8NlJgIySMG0,2
myopathic,A2-NkglbQu0,2
myopathic,IuEeKzqsfmk,2
myopathic,nrUHUl1fn4I,2
myopathic,saCnKfp0pL0,2
myopathic,4Yiqk-ud8rI,1
myopathic,FElCDD3X8pI,1
myopathic,L26I5sHvleg,1
myopathic,cWujgb8jHNE,1
normal,hSIYGZhRGd4,61
normal,KnvYRnTA3XQ,47
normal,MN4vnaNwIsA,32
normal,EHymg4AGMJs,13
normal,FTHc-TJOQ34,13
normal,gp4H7Z2Vvn0,13
normal,3KnFt8bH3tE,12
normal,vUM4OwTQk34,12
normal,3FXUw98rrUY,9
normal,JD1AGVpftps,9
normal,VL0AOiZt_lg,7
normal,nXuJIs25z1U,7
normal,-0wbleNgAwg,6
normal,diCVwltkV5M,6
normal,mBAxLr73IHU,5
normal,2LbERGI34lA,4
normal,n-O8dHyYIF0,4
normal,ucZdenbi65k,4
normal,EHx08gSNfxQ,3
normal,4KU6G7Iv8ZM,2
normal,PAeh4qBwsUk,2
normal,RMdC8Pa3VbU,2
normal,aqUuTLh6pHk,2
normal,eCCYhDSDlDc,2
normal,tUT8Fh1zGKA,2
normal,DfRhvdCiUJk,1
normal,WpARylM4UYU,1
normal,_-Ubl8iD2B0,1
normal,hGNKzkCF4J8,1
normal,sk0EU7MNt78,1
parkinsons,bmi1hYOnTHs,8
parkinsons,t1IkEAkBSz4,8
parkinsons,_Wn9oYGpRdM,7
parkinsons,pFLC9C-xH8E,7
parkinsons,M-_cogKwXK4,4
parkinsons,-oJM2wUUjws,2
parkinsons,B5hrxKe2nP8,2
parkinsons,b0KrA_96Ks0,2
parkinsons,v1SoZ_S31pk,2
stroke,USurcA3YKDY,8
stroke,fbY4O04uunE,8
stroke,5gpoegYv1hs,7
stroke,FpXbeLZWFSw,7
stroke,eBvzFkcvScg,6
stroke,CMls0LwK5OU,5
stroke,8mTHlAIdea0,4
stroke,Z_SEzAFi6-s,4
stroke,sChOLBghpAc,4
stroke,sp89jxy3vp8,4
stroke,yk6iSZuuk24,4
stroke,Exqj0M000S8,3
stroke,dc7cnLxbpKU,3
stroke,B4rOTkTPbMI,2
stroke,dvfeYnWVD08,2
stroke,kA40kglSmYw,2
stroke,9VzOTO0nV8U,1
stroke,mu00TaRG7VU,1
