condition,video_id,url,required_last_frame,source_height,status,path,error,format_id,format_note,download_fps,download_width,download_height,ok,fps,frames,reaches_annotation,size_mb
cerebralpalsy,-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4,441,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/cerebralpalsy/-MQBffDuto4.mp4,,135,240p,30.0,270,480,True,29.97002997002997,441,True,0.396736
cerebralpalsy,338R10fA_wU,https://www.youtube.com/watch?v=338R10fA_wU,7899,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/cerebralpalsy/338R10fA_wU.mp4,,134,360p,30.0,640,360,True,29.97002997002997,7899,True,14.280134
cerebralpalsy,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,2974,720,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/cerebralpalsy/DlPDuHBAP7A.mp4,,136,720p,30.0,1280,720,True,29.97002997002997,3572,True,15.197321
cerebralpalsy,SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ,3198,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/cerebralpalsy/SiYe89_WaTQ.mp4,,134,360p,30.0,640,360,True,29.97002997002997,4238,True,5.853203
cerebralpalsy,Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY,726,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/cerebralpalsy/Uj89KJwLYOY.mp4,,134,360p,30.0,640,360,True,30.0,849,True,0.968135
cerebralpalsy,dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE,1441,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/cerebralpalsy/dXAvAA556gE.mp4,,135,480p,25.0,854,480,True,25.0,5704,True,6.387114
cerebralpalsy,f8h2nkV0R8A,https://www.youtube.com/watch?v=f8h2nkV0R8A,2972,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/cerebralpalsy/f8h2nkV0R8A.mp4,,134,360p,30.0,640,360,True,29.935,5483,True,8.325998
cerebralpalsy,rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE,6424,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/cerebralpalsy/rWKYDfklSkE.mp4,,134,360p,30.0,640,360,True,30.0,6727,True,8.434659
cerebralpalsy,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,3891,720,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/cerebralpalsy/wRntYsztIEY.mp4,,136,720p,30.0,1280,720,True,30.0,4193,True,11.66845
myopathic,05oyBOE_0UE,https://www.youtube.com/watch?v=05oyBOE_0UE,4213,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/05oyBOE_0UE.mp4,,134,360p,30.0,640,360,True,29.97002997002997,5981,True,6.557244
myopathic,4Yiqk-ud8rI,https://www.youtube.com/watch?v=4Yiqk-ud8rI,649,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/4Yiqk-ud8rI.mp4,,134,360p,30.0,640,360,True,30.0,1509,True,1.837716
myopathic,5qM6wxZ_dNs,https://www.youtube.com/watch?v=5qM6wxZ_dNs,1709,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/5qM6wxZ_dNs.mp4,,134,360p,30.0,640,360,True,30.0,1906,True,2.359178
myopathic,7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM,828,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/7Ft1bUTzxkM.mp4,,135,480p,24.0,854,480,True,23.976023976023978,835,True,2.097503
myopathic,8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0,1022,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/8NlJgIySMG0.mp4,,135,240p,30.0,270,480,True,30.0,1022,True,0.951303
myopathic,8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY,493,720,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/8PPLTf0fZsY.mp4,,136,720p,30.0,960,720,True,30.0,506,True,1.704326
myopathic,9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs,2321,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/9qg-3smwLcs.mp4,,135,480p,30.0,854,480,True,29.97002997002997,2421,True,10.701982
myopathic,A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0,554,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/A2-NkglbQu0.mp4,,135,240p,30.0,270,480,True,29.97002997002997,554,True,0.540127
myopathic,FElCDD3X8pI,https://www.youtube.com/watch?v=FElCDD3X8pI,887,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/FElCDD3X8pI.mp4,,135,240p,30.0,270,480,True,30.0,887,True,1.16311
myopathic,HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg,677,720,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/HDkWDe6FZDg.mp4,,136,720p,30.0,960,720,True,30.0,922,True,2.751218
myopathic,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,2733,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/Ha9LKXZfWBQ.mp4,,135,480p,30.0,854,480,True,29.97002997002997,2733,True,12.693619
myopathic,IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU,1416,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/IdAdpZaTWjU.mp4,,134,360p,30.0,640,360,True,29.97002997002997,1416,True,1.833054
myopathic,IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk,2907,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/IuEeKzqsfmk.mp4,,94,,30.0,640,480,True,29.97002997002997,3512,True,6.626471
myopathic,L26I5sHvleg,https://www.youtube.com/watch?v=L26I5sHvleg,284,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/L26I5sHvleg.mp4,,135,240p,30.0,264,480,True,30.0,284,True,0.345095
myopathic,LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0,3166,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/LIF-guVFEt0.mp4,,135,480p,30.0,854,480,True,29.97002997002997,3166,True,9.668168
myopathic,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,2649,720,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/R8LRCiTvUz8.mp4,,136,720p,30.0,1280,720,True,29.97002997002997,2650,True,17.0858
myopathic,Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ,1548,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/Rx21leooiqQ.mp4,,134,360p,30.0,640,360,True,29.97002997002997,1548,True,2.123877
myopathic,Rz7V1i8kYGU,https://www.youtube.com/watch?v=Rz7V1i8kYGU,1054,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/Rz7V1i8kYGU.mp4,,135,480p,30.0,854,480,True,30.0,1077,True,0.717718
myopathic,cWujgb8jHNE,https://www.youtube.com/watch?v=cWujgb8jHNE,175,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/cWujgb8jHNE.mp4,,134,360p,30.0,640,360,True,29.97002997002997,175,True,0.210034
