horizon,condition,video_id,future_cosine,copy_last_cosine,no_context_cosine,spatial_ceiling_cosine
2,normal,3KnFt8bH3tE,0.5694272518157959,0.9753594994544983,0.28297916054725647,0.6311394572257996
2,normal,3KnFt8bH3tE,0.07975264638662338,0.8913305997848511,0.04125972464680672,0.43776172399520874
2,normal,3KnFt8bH3tE,0.6060002446174622,0.9850957989692688,0.257802814245224,0.5954209566116333
2,normal,3KnFt8bH3tE,0.5109284520149231,0.9719401001930237,0.2918488085269928,0.602666974067688
2,normal,3KnFt8bH3tE,0.5687588453292847,0.9779165387153625,0.3187693953514099,0.6371718049049377
2,normal,3KnFt8bH3tE,0.5526757836341858,0.9835725426673889,0.2659357488155365,0.6135144829750061
2,normal,3KnFt8bH3tE,0.0563056543469429,0.97947758436203,0.02291315421462059,0.42276403307914734
2,normal,3KnFt8bH3tE,0.35907137393951416,0.9634473323822021,0.24726602435112,0.5877274870872498
2,normal,3KnFt8bH3tE,0.59275883436203,0.998561441898346,0.3023456037044525,0.6132491827011108
2,normal,3KnFt8bH3tE,0.08471918106079102,0.9987128973007202,0.03788681700825691,0.3980022370815277
2,normal,3KnFt8bH3tE,0.11125080287456512,0.8693555593490601,0.06065037474036217,0.43212148547172546
2,normal,3KnFt8bH3tE,0.1357114315032959,0.8596031069755554,0.04949016496539116,0.44932132959365845
2,normal,aqUuTLh6pHk,0.34269753098487854,0.9770070910453796,0.24334914982318878,0.5901550054550171
2,normal,aqUuTLh6pHk,0.2920296788215637,0.7509379982948303,0.13609398901462555,0.5081552267074585
2,normal,mBAxLr73IHU,0.19626836478710175,0.9400582313537598,0.14420047402381897,0.4541856050491333
2,normal,mBAxLr73IHU,0.41533541679382324,0.9373146295547485,0.2415059208869934,0.539232611656189
2,normal,mBAxLr73IHU,0.18286007642745972,0.9702334403991699,0.12707921862602234,0.4925132989883423
2,normal,mBAxLr73IHU,0.4174340069293976,0.8110239505767822,0.2196654975414276,0.5557127594947815
2,normal,mBAxLr73IHU,0.20540213584899902,0.9269577860832214,0.15351206064224243,0.435329407453537
2,normal,vUM4OwTQk34,0.13792744278907776,0.906895637512207,-0.022336049005389214,0.3660041391849518
2,normal,vUM4OwTQk34,0.229020357131958,0.8602644801139832,0.16753403842449188,0.4490121304988861
