endpoint,scale_policy,person_id,motion_id,window_id,variant,reference_eligible,reference_reasons,reference_visible_frames,reference_valid_frames,reference_finite_frames,reference_raw_event_count,reference_event_count,reference_amplitude_raw_px,reference_amplitude_normalized,bbox_scale_cv
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,90a4c1401bf6cb971e3b,clean,True,,64,64,64,5,4,2.9529135168527905,0.0080405178081907,0.0123359684609496
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,90a4c1401bf6cb971e3b,blur,True,,64,64,64,5,4,2.9529135168527905,0.0080405178081907,0.0123359684609496
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,90a4c1401bf6cb971e3b,obstruction,False,reference_visibility_gap,0,64,64,5,4,2.9529135168527905,0.0080405178081907,0.0123359684609496
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,90a4c1401bf6cb971e3b,blur_obstruction,False,reference_visibility_gap,0,64,64,5,4,2.9529135168527905,0.0080405178081907,0.0123359684609496
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,78022634c366b30a3cc4,clean,True,,64,64,64,5,5,4.370457215695109,0.0118548522464177,0.0109819344425046
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,78022634c366b30a3cc4,blur,True,,64,64,64,5,5,4.370457215695109,0.0118548522464177,0.0109819344425046
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,78022634c366b30a3cc4,obstruction,False,reference_visibility_gap,0,64,64,5,5,4.370457215695109,0.0118548522464177,0.0109819344425046
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,78022634c366b30a3cc4,blur_obstruction,False,reference_visibility_gap,0,64,64,5,5,4.370457215695109,0.0118548522464177,0.0109819344425046
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,38757073f6855070eff7,clean,True,,64,64,64,5,5,2.5348252549355643,0.0069313470211663,0.013792617062518
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,38757073f6855070eff7,blur,True,,64,64,64,5,5,2.5348252549355643,0.0069313470211663,0.013792617062518
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,38757073f6855070eff7,obstruction,False,reference_visibility_gap,0,64,64,5,5,2.5348252549355643,0.0069313470211663,0.013792617062518
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,38757073f6855070eff7,blur_obstruction,False,reference_visibility_gap,0,64,64,5,5,2.5348252549355643,0.0069313470211663,0.013792617062518
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,58627fe223b334e766b0,clean,False,reference_visibility_gap,57,64,64,3,4,7.165980256319236,0.0194946125382133,0.0123911576678316
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,58627fe223b334e766b0,blur,False,reference_visibility_gap,57,64,64,3,4,7.165980256319236,0.0194946125382133,0.0123911576678316
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,58627fe223b334e766b0,obstruction,False,reference_visibility_gap,0,64,64,3,4,7.165980256319236,0.0194946125382133,0.0123911576678316
visible,frame_reference,BioMotionLab_NTroje::rub053,BioMotionLab_NTroje/rub053/0000_treadmill_norm_poses.npz,58627fe223b334e766b0,blur_obstruction,False,reference_visibility_gap,0,64,64,3,4,7.165980256319236,0.0194946125382133,0.0123911576678316
visible,frame_reference,BioMotionLab_NTroje::rub054,BioMotionLab_NTroje/rub054/0000_treadmill_norm_poses.npz,8b02473b069884d55967,clean,False,reference_visibility_gap,55,64,64,3,3,9.75525961575777,0.0264233244630394,0.0108129965247114
visible,frame_reference,BioMotionLab_NTroje::rub054,BioMotionLab_NTroje/rub054/0000_treadmill_norm_poses.npz,8b02473b069884d55967,blur,False,reference_visibility_gap,55,64,64,3,3,9.75525961575777,0.0264233244630394,0.0108129965247114
visible,frame_reference,BioMotionLab_NTroje::rub054,BioMotionLab_NTroje/rub054/0000_treadmill_norm_poses.npz,8b02473b069884d55967,obstruction,False,reference_visibility_gap,0,64,64,3,3,9.75525961575777,0.0264233244630394,0.0108129965247114
visible,frame_reference,BioMotionLab_NTroje::rub054,BioMotionLab_NTroje/rub054/0000_treadmill_norm_poses.npz,8b02473b069884d55967,blur_obstruction,False,reference_visibility_gap,0,64,64,3,3,9.75525961575777,0.0264233244630394,0.0108129965247114
