arm,phase,updates,first_loss,last_loss,last100_mean,previous100_mean,final_learning_rate,preclip_gradient_max,min_supported_examples,min_targets,last100_improvement_percent
coordinate,pretrain,2000,0.0502257272601127,0.0007265370804816,0.000742363298777443,0.0007541754003613659,2.0504713613700428e-10,0.331630676984787,64.0,6144.0,1.5662273760537717
coordinate,readout,2000,0.0007271518697962,0.0003332704654894,0.000349139613681424,0.00034847130766133704,2.0504713613700428e-10,0.0374945290386676,64.0,49152.0,-0.19178222292448413
direct,end_to_end,4000,0.0006712243775837,8.007746509974822e-05,8.228384271205591e-05,8.369537230464025e-05,5.1261792793910736e-11,0.022125931456685,64.0,49152.0,1.6865085293444324
initialized,readout,2000,0.0006712243775837,0.0002784745011013,0.000354299916943953,0.000378843184444074,2.0504713613700428e-10,0.0217541866004467,64.0,49152.0,6.478476717520093
ordinary_jepa,pretrain,2000,12.66912078857422,1.048958659172058,1.0511772227287293,1.0512629663944244,2.0504713613700428e-10,62.75749588012695,64.0,6144.0,0.008156252853576398
ordinary_jepa,readout,2000,0.0007271518697962,0.00034485742799,0.00036026085785119405,0.00036095537012438106,2.0504713613700428e-10,0.0183457285165786,64.0,49152.0,0.1924094585288169
paired_jepa,pretrain,2000,12.601231575012209,1.153120517730713,1.1520702755451202,1.1551919603347778,2.0504713613700428e-10,63.46370697021485,64.0,6144.0,0.27023082715645824
paired_jepa,readout,2000,0.0007271518697962,0.0003474975819699,0.00036563867120998494,0.00036643387720682903,2.0504713613700428e-10,0.0174779910594224,64.0,49152.0,0.21701213951766943
shuffled_jepa,pretrain,2000,12.593393325805664,1.1341537237167358,1.1343977105617524,1.1378090143203736,2.0504713613700428e-10,63.40137481689453,64.0,6144.0,0.2998133883355467
shuffled_jepa,readout,2000,0.0007271518697962,0.0003478088765405,0.00036611383402481795,0.00036697654431913,2.0504713613700428e-10,0.0173894073814153,64.0,49152.0,0.23508594967906682
smoothnet,end_to_end,4000,0.415216714143753,0.3681998252868652,0.3878417503833771,0.38845872521400454,5.1261792793910736e-11,2.6694414615631104,64.0,49152.0,0.1588263541480636
static,end_to_end,4000,0.0006712243775837,0.0002911830961238,0.00026622590288747397,0.000264829841908019,5.1261792793910736e-11,0.0115604288876056,64.0,49152.0,-0.52715395266514
