endpoint,scale_policy,variant,records,eligible,peaks
all_valid_synthetic,frame_reference,blur,32,32,140
all_valid_synthetic,frame_reference,blur_obstruction,32,32,140
all_valid_synthetic,frame_reference,clean,32,32,140
all_valid_synthetic,frame_reference,obstruction,32,32,140
all_valid_synthetic,window_median_reference,blur,32,32,145
all_valid_synthetic,window_median_reference,blur_obstruction,32,32,145
all_valid_synthetic,window_median_reference,clean,32,32,145
all_valid_synthetic,window_median_reference,obstruction,32,32,145
visible,frame_reference,blur,32,16,140
visible,frame_reference,blur_obstruction,32,0,140
visible,frame_reference,clean,32,16,140
visible,frame_reference,obstruction,32,0,140
visible,window_median_reference,blur,32,16,145
visible,window_median_reference,blur_obstruction,32,0,145
visible,window_median_reference,clean,32,16,145
visible,window_median_reference,obstruction,32,0,145
