endpoint,scale_policy,method,extractor,seed,condition,records,reference_eligible,reference_ineligible,original_supported,complete_predictions,incomplete_predictions,count_mismatch_records,reference_events,matched_events,missed_events,known_extra_events,extra_count_unknown_records,event_recall,known_event_precision,conditional_timing_mae_s
all_valid_synthetic,frame_reference,coordinate,hrnet_w32,17,all_conditions,128,128,0,0,128,0,128,560,513,47.0,1041.0,0,0.9160714285714285,0.3301158301158301,0.03680311890838199
all_valid_synthetic,frame_reference,coordinate,hrnet_w32,17,blur,32,32,0,0,32,0,32,140,135,5.0,220.0,0,0.9642857142857143,0.38028169014084506,0.03377777777777768
all_valid_synthetic,frame_reference,coordinate,hrnet_w32,17,blur_obstruction,32,32,0,0,32,0,32,140,121,19.0,273.0,0,0.8642857142857143,0.30710659898477155,0.03867768595041313
all_valid_synthetic,frame_reference,coordinate,hrnet_w32,17,clean,32,32,0,0,32,0,32,140,125,15.0,215.0,0,0.8928571428571429,0.36764705882352944,0.03616
all_valid_synthetic,frame_reference,coordinate,hrnet_w32,17,obstruction,32,32,0,0,32,0,32,140,132,8.0,333.0,0,0.9428571428571428,0.2838709677419355,0.038787878787878684
all_valid_synthetic,frame_reference,coordinate,rtmpose_m,17,all_conditions,128,128,0,1,128,0,127,560,500,60.0,764.0,0,0.8928571428571429,0.39556962025316456,0.03975999999999996
all_valid_synthetic,frame_reference,coordinate,rtmpose_m,17,blur,32,32,0,0,32,0,32,140,128,12.0,158.0,0,0.9142857142857143,0.44755244755244755,0.03718749999999993
all_valid_synthetic,frame_reference,coordinate,rtmpose_m,17,blur_obstruction,32,32,0,1,32,0,31,140,121,19.0,210.0,0,0.8642857142857143,0.36555891238670696,0.046942148760330475
all_valid_synthetic,frame_reference,coordinate,rtmpose_m,17,clean,32,32,0,0,32,0,32,140,126,14.0,153.0,0,0.9,0.45161290322580644,0.033968253968254036
all_valid_synthetic,frame_reference,coordinate,rtmpose_m,17,obstruction,32,32,0,0,32,0,32,140,125,15.0,243.0,0,0.8928571428571429,0.33967391304347827,0.041279999999999956
all_valid_synthetic,frame_reference,coordinate,vitpose_base,17,all_conditions,128,128,0,1,128,0,127,560,494,66.0,804.0,0,0.8821428571428571,0.38058551617873654,0.03376518218623476
all_valid_synthetic,frame_reference,coordinate,vitpose_base,17,blur,32,32,0,1,32,0,31,140,129,11.0,168.0,0,0.9214285714285714,0.43434343434343436,0.03410852713178289
all_valid_synthetic,frame_reference,coordinate,vitpose_base,17,blur_obstruction,32,32,0,0,32,0,32,140,112,28.0,204.0,0,0.8,0.35443037974683544,0.039642857142856994
all_valid_synthetic,frame_reference,coordinate,vitpose_base,17,clean,32,32,0,0,32,0,32,140,130,10.0,166.0,0,0.9285714285714286,0.4391891891891892,0.026153846153846163
all_valid_synthetic,frame_reference,coordinate,vitpose_base,17,obstruction,32,32,0,0,32,0,32,140,123,17.0,266.0,0,0.8785714285714286,0.3161953727506427,0.036097560975609684
all_valid_synthetic,frame_reference,direct,hrnet_w32,17,all_conditions,128,128,0,0,128,0,128,560,523,37.0,945.0,0,0.9339285714285714,0.35626702997275206,0.0360229445506691
all_valid_synthetic,frame_reference,direct,hrnet_w32,17,blur,32,32,0,0,32,0,32,140,137,3.0,174.0,0,0.9785714285714285,0.4405144694533762,0.0332846715328466
all_valid_synthetic,frame_reference,direct,hrnet_w32,17,blur_obstruction,32,32,0,0,32,0,32,140,119,21.0,260.0,0,0.85,0.31398416886543534,0.04403361344537802
all_valid_synthetic,frame_reference,direct,hrnet_w32,17,clean,32,32,0,0,32,0,32,140,134,6.0,178.0,0,0.9571428571428572,0.42948717948717946,0.028656716417910334
all_valid_synthetic,frame_reference,direct,hrnet_w32,17,obstruction,32,32,0,0,32,0,32,140,133,7.0,333.0,0,0.95,0.2854077253218884,0.03909774436090215
all_valid_synthetic,frame_reference,direct,rtmpose_m,17,all_conditions,128,128,0,6,128,0,122,560,493,67.0,578.0,0,0.8803571428571428,0.4603174603174603,0.03342799188640973
all_valid_synthetic,frame_reference,direct,rtmpose_m,17,blur,32,32,0,4,32,0,28,140,130,10.0,94.0,0,0.9285714285714286,0.5803571428571429,0.028307692307692298
all_valid_synthetic,frame_reference,direct,rtmpose_m,17,blur_obstruction,32,32,0,0,32,0,32,140,117,23.0,195.0,0,0.8357142857142857,0.375,0.04307692307692313
all_valid_synthetic,frame_reference,direct,rtmpose_m,17,clean,32,32,0,2,32,0,30,140,127,13.0,75.0,0,0.9071428571428571,0.6287128712871287,0.0226771653543307
all_valid_synthetic,frame_reference,direct,rtmpose_m,17,obstruction,32,32,0,0,32,0,32,140,119,21.0,214.0,0,0.85,0.35735735735735735,0.041008403361344446
all_valid_synthetic,frame_reference,direct,vitpose_base,17,all_conditions,128,128,0,8,128,0,120,560,494,66.0,589.0,0,0.8821428571428571,0.45614035087719296,0.02987854251012141
all_valid_synthetic,frame_reference,direct,vitpose_base,17,blur,32,32,0,4,32,0,28,140,128,12.0,81.0,0,0.9142857142857143,0.6124401913875598,0.02468750000000002
all_valid_synthetic,frame_reference,direct,vitpose_base,17,blur_obstruction,32,32,0,0,32,0,32,140,116,24.0,191.0,0,0.8285714285714286,0.3778501628664495,0.03620689655172401
all_valid_synthetic,frame_reference,direct,vitpose_base,17,clean,32,32,0,4,32,0,28,140,125,15.0,73.0,0,0.8928571428571429,0.6313131313131313,0.023680000000000034
all_valid_synthetic,frame_reference,direct,vitpose_base,17,obstruction,32,32,0,0,32,0,32,140,125,15.0,244.0,0,0.8928571428571429,0.33875338753387535,0.035519999999999885
all_valid_synthetic,frame_reference,filter0,hrnet_w32,17,all_conditions,128,128,0,4,128,0,124,560,521,39.0,783.0,0,0.9303571428571429,0.3995398773006135,0.034932821497120785
all_valid_synthetic,frame_reference,filter0,hrnet_w32,17,blur,32,32,0,1,32,0,31,140,133,7.0,151.0,0,0.95,0.46830985915492956,0.029774436090225415
all_valid_synthetic,frame_reference,filter0,hrnet_w32,17,blur_obstruction,32,32,0,1,32,0,31,140,124,16.0,210.0,0,0.8857142857142857,0.3712574850299401,0.04129032258064503
all_valid_synthetic,frame_reference,filter0,hrnet_w32,17,clean,32,32,0,2,32,0,30,140,132,8.0,143.0,0,0.9428571428571428,0.48,0.03242424242424226
all_valid_synthetic,frame_reference,filter0,hrnet_w32,17,obstruction,32,32,0,0,32,0,32,140,132,8.0,279.0,0,0.9428571428571428,0.32116788321167883,0.036666666666666556
all_valid_synthetic,frame_reference,filter0,rtmpose_m,17,all_conditions,128,128,0,11,128,0,117,560,503,57.0,497.0,0,0.8982142857142857,0.503,0.0353081510934393
all_valid_synthetic,frame_reference,filter0,rtmpose_m,17,blur,32,32,0,5,32,0,27,140,129,11.0,80.0,0,0.9214285714285714,0.6172248803827751,0.026356589147286797
all_valid_synthetic,frame_reference,filter0,rtmpose_m,17,blur_obstruction,32,32,0,2,32,0,30,140,118,22.0,148.0,0,0.8428571428571429,0.44360902255639095,0.05084745762711852
all_valid_synthetic,frame_reference,filter0,rtmpose_m,17,clean,32,32,0,3,32,0,29,140,131,9.0,70.0,0,0.9357142857142857,0.6517412935323383,0.02381679389312974
all_valid_synthetic,frame_reference,filter0,rtmpose_m,17,obstruction,32,32,0,1,32,0,31,140,125,15.0,199.0,0,0.8928571428571429,0.38580246913580246,0.04191999999999992
all_valid_synthetic,frame_reference,filter0,vitpose_base,17,all_conditions,128,128,0,15,128,0,113,560,479,81.0,542.0,0,0.8553571428571428,0.4691478942213516,0.032150313152400786
all_valid_synthetic,frame_reference,filter0,vitpose_base,17,blur,32,32,0,9,32,0,23,140,128,12.0,59.0,0,0.9142857142857143,0.6844919786096256,0.02281249999999996
all_valid_synthetic,frame_reference,filter0,vitpose_base,17,blur_obstruction,32,32,0,2,32,0,30,140,100,40.0,179.0,0,0.7142857142857143,0.35842293906810035,0.04279999999999992
all_valid_synthetic,frame_reference,filter0,vitpose_base,17,clean,32,32,0,4,32,0,28,140,130,10.0,61.0,0,0.9285714285714286,0.680628272251309,0.023076923076923075
all_valid_synthetic,frame_reference,filter0,vitpose_base,17,obstruction,32,32,0,0,32,0,32,140,121,19.0,243.0,0,0.8642857142857143,0.3324175824175824,0.042975206611570164
all_valid_synthetic,frame_reference,filter1,hrnet_w32,17,all_conditions,128,128,0,20,128,0,108,560,453,107.0,352.0,0,0.8089285714285714,0.5627329192546584,0.038763796909492214
all_valid_synthetic,frame_reference,filter1,hrnet_w32,17,blur,32,32,0,2,32,0,30,140,124,16.0,61.0,0,0.8857142857142857,0.6702702702702703,0.03354838709677407
all_valid_synthetic,frame_reference,filter1,hrnet_w32,17,blur_obstruction,32,32,0,5,32,0,27,140,98,42.0,117.0,0,0.7,0.4558139534883721,0.04367346938775508
all_valid_synthetic,frame_reference,filter1,hrnet_w32,17,clean,32,32,0,11,32,0,21,140,125,15.0,46.0,0,0.8928571428571429,0.7309941520467836,0.03391999999999991
all_valid_synthetic,frame_reference,filter1,hrnet_w32,17,obstruction,32,32,0,2,32,0,30,140,106,34.0,128.0,0,0.7571428571428571,0.452991452991453,0.04603773584905665
all_valid_synthetic,frame_reference,filter1,rtmpose_m,17,all_conditions,128,128,0,35,128,0,93,560,413,147.0,209.0,0,0.7375,0.6639871382636656,0.034285714285714274
all_valid_synthetic,frame_reference,filter1,rtmpose_m,17,blur,32,32,0,10,32,0,22,140,116,24.0,20.0,0,0.8285714285714286,0.8529411764705882,0.030344827586206907
all_valid_synthetic,frame_reference,filter1,rtmpose_m,17,blur_obstruction,32,32,0,8,32,0,24,140,87,53.0,86.0,0,0.6214285714285714,0.5028901734104047,0.04321839080459768
all_valid_synthetic,frame_reference,filter1,rtmpose_m,17,clean,32,32,0,13,32,0,19,140,113,27.0,14.0,0,0.8071428571428572,0.889763779527559,0.022300884955752134
all_valid_synthetic,frame_reference,filter1,rtmpose_m,17,obstruction,32,32,0,4,32,0,28,140,97,43.0,89.0,0,0.6928571428571428,0.521505376344086,0.04494845360824745
all_valid_synthetic,frame_reference,filter1,vitpose_base,17,all_conditions,128,128,0,38,128,0,90,560,405,155.0,257.0,0,0.7232142857142857,0.6117824773413897,0.03486419753086417
all_valid_synthetic,frame_reference,filter1,vitpose_base,17,blur,32,32,0,16,32,0,16,140,115,25.0,22.0,0,0.8214285714285714,0.8394160583941606,0.027826086956521688
all_valid_synthetic,frame_reference,filter1,vitpose_base,17,blur_obstruction,32,32,0,7,32,0,25,140,85,55.0,101.0,0,0.6071428571428571,0.45698924731182794,0.04611764705882347
all_valid_synthetic,frame_reference,filter1,vitpose_base,17,clean,32,32,0,12,32,0,20,140,114,26.0,18.0,0,0.8142857142857143,0.8636363636363636,0.025964912280701753
all_valid_synthetic,frame_reference,filter1,vitpose_base,17,obstruction,32,32,0,3,32,0,29,140,91,49.0,116.0,0,0.65,0.4396135265700483,0.04439560439560437
all_valid_synthetic,frame_reference,filter2,hrnet_w32,17,all_conditions,128,128,0,22,128,0,106,560,388,172.0,190.0,0,0.6928571428571428,0.671280276816609,0.03845360824742266
all_valid_synthetic,frame_reference,filter2,hrnet_w32,17,blur,32,32,0,8,32,0,24,140,107,33.0,20.0,0,0.7642857142857142,0.84251968503937,0.03364485981308402
all_valid_synthetic,frame_reference,filter2,hrnet_w32,17,blur_obstruction,32,32,0,3,32,0,29,140,81,59.0,75.0,0,0.5785714285714286,0.5192307692307693,0.04246913580246916
all_valid_synthetic,frame_reference,filter2,hrnet_w32,17,clean,32,32,0,7,32,0,25,140,110,30.0,16.0,0,0.7857142857142857,0.873015873015873,0.03236363636363636
all_valid_synthetic,frame_reference,filter2,hrnet_w32,17,obstruction,32,32,0,4,32,0,28,140,90,50.0,79.0,0,0.6428571428571429,0.5325443786982249,0.04799999999999998
all_valid_synthetic,frame_reference,filter2,rtmpose_m,17,all_conditions,128,128,0,30,128,0,98,560,375,185.0,140.0,0,0.6696428571428571,0.7281553398058253,0.03263999999999997
all_valid_synthetic,frame_reference,filter2,rtmpose_m,17,blur,32,32,0,10,32,0,22,140,107,33.0,9.0,0,0.7642857142857142,0.9224137931034483,0.02878504672897194
all_valid_synthetic,frame_reference,filter2,rtmpose_m,17,blur_obstruction,32,32,0,7,32,0,25,140,78,62.0,68.0,0,0.5571428571428572,0.5342465753424658,0.03794871794871792
all_valid_synthetic,frame_reference,filter2,rtmpose_m,17,clean,32,32,0,9,32,0,23,140,103,37.0,4.0,0,0.7357142857142858,0.9626168224299065,0.02718446601941741
all_valid_synthetic,frame_reference,filter2,rtmpose_m,17,obstruction,32,32,0,4,32,0,28,140,87,53.0,59.0,0,0.6214285714285714,0.5958904109589042,0.03908045977011493
all_valid_synthetic,frame_reference,filter2,vitpose_base,17,all_conditions,128,128,0,38,128,0,90,560,356,204.0,187.0,0,0.6357142857142857,0.6556169429097606,0.034943820224719084
all_valid_synthetic,frame_reference,filter2,vitpose_base,17,blur,32,32,0,9,32,0,23,140,102,38.0,14.0,0,0.7285714285714285,0.8793103448275862,0.027058823529411746
all_valid_synthetic,frame_reference,filter2,vitpose_base,17,blur_obstruction,32,32,0,8,32,0,24,140,74,66.0,78.0,0,0.5285714285714286,0.4868421052631579,0.04648648648648647
all_valid_synthetic,frame_reference,filter2,vitpose_base,17,clean,32,32,0,13,32,0,19,140,103,37.0,9.0,0,0.7357142857142858,0.9196428571428571,0.026407766990291275
all_valid_synthetic,frame_reference,filter2,vitpose_base,17,obstruction,32,32,0,8,32,0,24,140,77,63.0,86.0,0,0.55,0.4723926380368098,0.045714285714285666
all_valid_synthetic,frame_reference,initialized,hrnet_w32,17,all_conditions,128,128,0,1,128,0,127,560,527,33.0,832.0,0,0.9410714285714286,0.387785136129507,0.034079696394686824
all_valid_synthetic,frame_reference,initialized,hrnet_w32,17,blur,32,32,0,1,32,0,31,140,137,3.0,175.0,0,0.9785714285714285,0.4391025641025641,0.028613138686131256
all_valid_synthetic,frame_reference,initialized,hrnet_w32,17,blur_obstruction,32,32,0,0,32,0,32,140,121,19.0,218.0,0,0.8642857142857143,0.35693215339233036,0.037685950413223146
all_valid_synthetic,frame_reference,initialized,hrnet_w32,17,clean,32,32,0,0,32,0,32,140,135,5.0,154.0,0,0.9642857142857143,0.4671280276816609,0.03466666666666661
all_valid_synthetic,frame_reference,initialized,hrnet_w32,17,obstruction,32,32,0,0,32,0,32,140,134,6.0,285.0,0,0.9571428571428572,0.3198090692124105,0.03582089552238791
all_valid_synthetic,frame_reference,initialized,rtmpose_m,17,all_conditions,128,128,0,14,128,0,114,560,495,65.0,488.0,0,0.8839285714285714,0.503560528992879,0.03539393939393935
all_valid_synthetic,frame_reference,initialized,rtmpose_m,17,blur,32,32,0,4,32,0,28,140,128,12.0,74.0,0,0.9142857142857143,0.6336633663366337,0.029062499999999932
all_valid_synthetic,frame_reference,initialized,rtmpose_m,17,blur_obstruction,32,32,0,2,32,0,30,140,117,23.0,144.0,0,0.8357142857142857,0.4482758620689655,0.05059829059829057
all_valid_synthetic,frame_reference,initialized,rtmpose_m,17,clean,32,32,0,7,32,0,25,140,128,12.0,67.0,0,0.9142857142857143,0.6564102564102564,0.025624999999999957
all_valid_synthetic,frame_reference,initialized,rtmpose_m,17,obstruction,32,32,0,1,32,0,31,140,122,18.0,203.0,0,0.8714285714285714,0.37538461538461537,0.037704918032786826
all_valid_synthetic,frame_reference,initialized,vitpose_base,17,all_conditions,128,128,0,18,128,0,110,560,482,78.0,513.0,0,0.8607142857142858,0.4844221105527638,0.0292946058091286
all_valid_synthetic,frame_reference,initialized,vitpose_base,17,blur,32,32,0,7,32,0,25,140,126,14.0,59.0,0,0.9,0.6810810810810811,0.02063492063492059
all_valid_synthetic,frame_reference,initialized,vitpose_base,17,blur_obstruction,32,32,0,3,32,0,29,140,104,36.0,162.0,0,0.7428571428571429,0.39097744360902253,0.04230769230769226
