method,extractor,joint,bias_x_px,bias_y_px,mae_x_px,mae_y_px,scored_frames,missing_predictions
coordinate,hrnet_w32,left_ankle,-1.0421450305226687,3.1436137281156875,2.826099129947456,6.789767117113681,32.078125,0.0
coordinate,hrnet_w32,left_elbow,-0.42907201309571974,-0.3726147173438221,1.767527336254716,3.2393278628587723,61.21875,0.0
coordinate,hrnet_w32,left_hip,-2.415501853823662,-3.4799801462226445,3.231072619226244,4.520968525939518,34.65625,0.0
coordinate,hrnet_w32,left_knee,-0.8874265053868293,-2.6788197308778763,2.2993758046627044,5.159113924503327,37.6875,0.0
coordinate,hrnet_w32,left_shoulder,0.3415513336658478,1.1355326976627111,2.003027230501175,1.9660095404833555,64.0,0.0
coordinate,hrnet_w32,left_wrist,-1.103356213949155,-0.15467849490232766,1.9032118269242346,2.663119941018522,61.0625,0.0
coordinate,hrnet_w32,right_ankle,2.5132443674622063,-3.322025921275007,3.970252833467849,7.007065945483268,32.640625,0.0
coordinate,hrnet_w32,right_elbow,0.8591950126283336,0.5656313430517912,1.8248284729197621,3.1047952072694898,63.65625,0.0
coordinate,hrnet_w32,right_hip,1.0520017177630694,-1.8548059807373927,1.8469684154559405,2.955125948557487,32.671875,0.0
coordinate,hrnet_w32,right_knee,0.5841709244690958,-3.4189404598208237,2.734962303130353,5.765726893651681,45.671875,0.0
coordinate,hrnet_w32,right_shoulder,0.6197153776884079,1.6120041441172361,2.067673407495022,2.143756652250886,64.0,0.0
coordinate,hrnet_w32,right_wrist,1.7070004875422455,-0.03749415162019433,2.434127831365913,2.9576762542128563,62.9375,0.0
coordinate,rtmpose_m,left_ankle,-1.6569816700711444,3.515881143812392,2.8322680584482245,7.322904917033943,32.078125,0.0
coordinate,rtmpose_m,left_elbow,-0.581760183617007,-0.5261473772116005,1.6052646115422249,2.704025426879525,61.21875,0.0
coordinate,rtmpose_m,left_hip,-1.666901461283366,-2.878627432882786,2.4161879817644754,3.7139990713861253,34.65625,0.0
coordinate,rtmpose_m,left_knee,-1.0561893593566491,-1.4218845549225807,2.108596324622631,3.4792620551586153,37.6875,0.0
coordinate,rtmpose_m,left_shoulder,0.7058534286916256,1.2516125496476889,1.8626174442470074,1.8052767161279917,64.0,0.0
coordinate,rtmpose_m,left_wrist,-0.6468463347991928,0.14032671257155016,1.6219971410464495,2.8613669835031033,61.0625,0.0
coordinate,rtmpose_m,right_ankle,2.2292134888628694,-2.5021181567869286,3.920634315368977,6.319160600926014,32.640625,0.0
coordinate,rtmpose_m,right_elbow,0.22445693984627724,1.0645250901579857,1.6646194132044911,3.350155310705304,63.65625,0.0
coordinate,rtmpose_m,right_hip,0.7808542771217151,-1.8673110520228362,1.7965878210006616,2.561360254883766,32.671875,0.0
coordinate,rtmpose_m,right_knee,0.7244789450139296,-2.3676752070361964,2.3256777329523057,4.458146948306287,45.671875,0.0
coordinate,rtmpose_m,right_shoulder,0.11806370690464973,2.5627082251012325,2.067266348749399,2.9399514719843864,64.0,0.0
coordinate,rtmpose_m,right_wrist,0.44359499774873257,0.08010656014084816,1.8793170126155019,2.866504494100809,62.9375,0.0
coordinate,vitpose_base,left_ankle,-2.812459576799459,2.937368356836708,3.8519273368087976,8.612326328818863,32.078125,0.0
coordinate,vitpose_base,left_elbow,-2.4979488361859694,0.038544308394193656,2.9718295745551586,3.9484578194096684,61.21875,0.0
coordinate,vitpose_base,left_hip,-3.888182841406928,-4.035898800359832,4.329953425460392,5.54227964480718,34.65625,0.0
coordinate,vitpose_base,left_knee,-0.8753037942200899,-2.7969737274944784,1.9239336064457893,6.102581827640534,37.6875,0.0
coordinate,vitpose_base,left_shoulder,-0.9152970723807812,2.302018443122506,1.852702233940363,2.766662621870637,64.0,0.0
coordinate,vitpose_base,left_wrist,-3.520131504861638,-0.8585121377836913,3.7430738122202456,3.7534205857664347,61.0625,0.0
coordinate,vitpose_base,right_ankle,0.6294303308141992,-1.0352306488029501,4.092955704699171,7.827214183325463,32.640625,0.0
coordinate,vitpose_base,right_elbow,0.002586339134722948,0.18494481407105923,2.1010644249618053,3.0772372912615538,63.65625,0.0
coordinate,vitpose_base,right_hip,-0.5832724985785973,-2.724873796487466,2.329939073094955,4.305555682915908,32.671875,0.0
coordinate,vitpose_base,right_knee,-0.8191044651826874,-3.230322926137291,2.555531145607839,6.379094784377052,45.671875,0.0
coordinate,vitpose_base,right_shoulder,-0.0030884593725204468,2.077061206102371,2.426149919629097,2.3437081314623356,64.0,0.0
coordinate,vitpose_base,right_wrist,0.5276938063616399,-0.8951200689189136,2.7220543436706066,3.712224771268666,62.9375,0.0
direct,hrnet_w32,left_ankle,-0.6822160747455986,2.0768764878849724,1.8677176051848643,4.802865249079627,32.078125,0.0
direct,hrnet_w32,left_elbow,-0.4618638352549169,-0.05623232829384506,1.7429035175591707,2.854448570869863,61.21875,0.0
direct,hrnet_w32,left_hip,-2.3322874292731286,-3.013014782799615,3.098360092772378,4.062931750880347,34.65625,0.0
direct,hrnet_w32,left_knee,-0.9215598620474339,-2.3624603095650674,2.1932315957546233,5.304840672016144,37.6875,0.0
direct,hrnet_w32,left_shoulder,0.12735841423273087,1.2927591688930988,1.9273531287908554,2.0561420284211636,64.0,0.0
direct,hrnet_w32,left_wrist,-0.9091981410820154,0.18323607117054053,1.9284567129798234,2.790698922239244,61.0625,0.0
direct,hrnet_w32,right_ankle,1.1751747923962614,-1.4475041483627988,2.366214616501585,5.312977051481288,32.640625,0.0
direct,hrnet_w32,right_elbow,0.6914453231729567,0.7017052415758371,1.774828551337123,3.04684488940984,63.65625,0.0
direct,hrnet_w32,right_hip,0.8781988796515342,-2.064793816743753,1.8078077313227532,2.7935008773436913,32.671875,0.0
direct,hrnet_w32,right_knee,0.8145596232326304,-3.2827504164859898,2.527515157324369,5.875910888929836,45.671875,0.0
direct,hrnet_w32,right_shoulder,0.42224133387207985,1.6706017944961786,1.8138005919754505,2.2095558252185583,64.0,0.0
direct,hrnet_w32,right_wrist,1.5816363547928631,-0.3796091036638245,2.3238393827341497,2.8070821911096573,62.9375,0.0
direct,rtmpose_m,left_ankle,-1.0820376865465093,2.957310172218304,1.734636660363223,5.364979545812349,32.078125,0.0
direct,rtmpose_m,left_elbow,-0.4486507535148121,-0.2100841668434441,1.4742052787914872,2.3439681194722652,61.21875,0.0
direct,rtmpose_m,left_hip,-1.5061740483674737,-2.4121954241560566,2.280846436487304,3.298602102862464,34.65625,0.0
