method,split,seed,extractor,evidence_status,person_id,visible_nle,lower_limb_nle,missing_rate,displacement_nle,ankle_separation_mae,amplitude_error,amplitude_ratio,event_timing_mae_s,endpoint,scale_policy,condition
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub053,0.014544523724035844,0.020391289102186325,0.0,0.011821863736460232,0.014424382296023943,0.0035066471208016715,1.1724893480160357,,all_valid_synthetic,frame_reference,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub054,0.016532964112466107,0.0241158128226946,0.0,0.01580998992260531,0.018384315877463066,0.010619433179942968,0.9491120308890346,,all_valid_synthetic,frame_reference,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub070,0.024373478633132155,0.03512421888250625,0.0,0.020098560183079938,0.026394715612836107,0.01570002592283063,0.6095468480162104,,all_valid_synthetic,frame_reference,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub072,0.02673174675011648,0.03540256786258963,0.0,0.016089476709634707,0.01394361373062018,0.010212686275458,2.509720159940482,,all_valid_synthetic,frame_reference,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub075,0.016610722747495525,0.023620541054687944,0.0,0.015826600805879738,0.013983447875452438,0.0027055884397250264,1.1815162248461428,,all_valid_synthetic,frame_reference,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub086,0.016919848110267244,0.024532519312280895,0.0,0.014753954007487819,0.017246608515954442,0.01298685505944139,1.4384694816296277,,all_valid_synthetic,frame_reference,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub098,0.011285093914653719,0.01529771649268655,0.0,0.010703875682254175,0.013549657078572424,0.005044049996286481,1.222273976749243,,all_valid_synthetic,frame_reference,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub106,0.016531118566629248,0.02494846022011923,0.0,0.012110722838469694,0.014670196394797757,0.00626018920452705,0.8066446921795025,,all_valid_synthetic,frame_reference,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub053,0.013409819413165406,0.018220493456246583,0.0,0.008523727946903,0.013607473348665444,0.0033548651870876625,1.0416261696160958,,all_valid_synthetic,frame_reference,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub054,0.014094835434514445,0.019314676824047538,0.0,0.012659066584982706,0.014043450673019786,0.00905749299946775,0.6918841174599758,,all_valid_synthetic,frame_reference,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub070,0.016505796268023183,0.023924535370364562,0.0,0.014387874482591202,0.026680833911585544,0.019272132808533363,0.42703359192133883,,all_valid_synthetic,frame_reference,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub072,0.02590579368557683,0.030110800728838163,0.0,0.017375003583218557,0.017441225750785896,0.014014692393924767,2.991687839995534,,all_valid_synthetic,frame_reference,all_conditions
