method,split,seed,extractor,evidence_status,metric,value,condition
coordinate,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
coordinate,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
direct,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
direct,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
direct,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
filter0,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
filter0,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
filter0,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
filter1,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
filter1,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
filter1,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
filter2,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
filter2,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
filter2,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
initialized,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
initialized,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
initialized,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
joint_affine,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
joint_affine,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
joint_affine,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
joint_offset,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
joint_offset,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
joint_offset,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
ordinary_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
paired_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
paired_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
paired_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
shuffled_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
smoothnet,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
smoothnet,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
smoothnet,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
static,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
static,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
static,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
unchanged,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,all_conditions
unchanged,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,all_conditions
unchanged,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.01794118706984954,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.015479240699274276,all_conditions
