Priority,Feature
M,hip_asymmetry
H,knee_asymmetry
H,ankle_asymmetry
L,left_hip_range
L,right_hip_range
M,left_knee_range
M,right_knee_range
L,left_ankle_range
L,right_ankle_range
H,walking_speed_ms
H,cadence_steps_min
L,stride_length_m
M,step_width_m
M,stance_percentage
M,swing_percentage
H,double_support_percentage
H,stance_swing_ratio
H,stride_length_si
H,stance_time_si
H,swing_time_si
M,hip_angle_si
M,knee_angle_si
M,ankle_angle_si
M,velocity_mean
L,velocity_std
L,jerk_mean
M,stride_time_cv
M,step_length_cv
M,trunk_lean_angle
L,pelvic_tilt_mean
H,com_movement_mean
H,com_movement_std
H,com_stability_index
H,postural_sway_area
L,step_width_std
L,step_width_range
L,ankle_distance_asymmetry
M,cycle_duration_asymmetry
M,double_support_duration_mean
M,stance_duration_mean
M,swing_duration_mean
M,phase_asymmetry
H,overall_symmetry_index
H,positional_symmetry_score
H,movement_symmetry_score
H,temporal_symmetry_score
