window_id,sequence_index,tensor_relative_path,identity,split,start_frame,window_frames
0:0,0,ACCAD/Female1General_c3d/A1 - Stand_core11.npz,ACCAD::Female1,train,0,64
0:26,0,ACCAD/Female1General_c3d/A1 - Stand_core11.npz,ACCAD::Female1,train,26,64
1:0,1,ACCAD/Female1General_c3d/A10 - lie to crouch_core11.npz,ACCAD::Female1,train,0,64
1:32,1,ACCAD/Female1General_c3d/A10 - lie to crouch_core11.npz,ACCAD::Female1,train,32,64
1:64,1,ACCAD/Female1General_c3d/A10 - lie to crouch_core11.npz,ACCAD::Female1,train,64,64
1:67,1,ACCAD/Female1General_c3d/A10 - lie to crouch_core11.npz,ACCAD::Female1,train,67,64
2:0,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,0,64
2:32,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,32,64
2:64,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,64,64
2:96,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,96,64
2:128,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,128,64
2:160,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,160,64
2:192,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,192,64
2:224,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,224,64
2:256,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,256,64
2:288,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,288,64
2:320,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,320,64
2:352,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,352,64
2:384,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,384,64
2:416,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,416,64
2:448,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,448,64
2:480,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,480,64
2:512,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,512,64
2:536,2,ACCAD/Female1General_c3d/A11 - crawl forward_core11.npz,ACCAD::Female1,train,536,64
3:0,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,0,64
3:32,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,32,64
3:64,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,64,64
3:96,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,96,64
3:128,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,128,64
3:160,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,160,64
3:192,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,192,64
3:224,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,224,64
3:256,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,256,64
3:288,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,288,64
3:320,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,320,64
3:352,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,352,64
3:384,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,384,64
3:416,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,416,64
3:448,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,448,64
3:480,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,480,64
3:512,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,512,64
3:544,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,544,64
3:576,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,576,64
3:598,3,ACCAD/Female1General_c3d/A12 - crawl backwards_core11.npz,ACCAD::Female1,train,598,64
4:0,4,ACCAD/Female1General_c3d/A14 - stand to skip_core11.npz,ACCAD::Female1,train,0,64
4:32,4,ACCAD/Female1General_c3d/A14 - stand to skip_core11.npz,ACCAD::Female1,train,32,64
4:64,4,ACCAD/Female1General_c3d/A14 - stand to skip_core11.npz,ACCAD::Female1,train,64,64
4:91,4,ACCAD/Female1General_c3d/A14 - stand to skip_core11.npz,ACCAD::Female1,train,91,64
5:0,5,ACCAD/Female1General_c3d/A15 - skip to stand_core11.npz,ACCAD::Female1,train,0,64
5:32,5,ACCAD/Female1General_c3d/A15 - skip to stand_core11.npz,ACCAD::Female1,train,32,64
5:64,5,ACCAD/Female1General_c3d/A15 - skip to stand_core11.npz,ACCAD::Female1,train,64,64
6:0,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,0,64
6:32,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,32,64
6:64,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,64,64
6:96,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,96,64
6:128,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,128,64
6:160,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,160,64
6:192,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,192,64
6:224,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,224,64
6:256,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,256,64
6:288,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,288,64
6:320,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,320,64
6:352,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,352,64
6:384,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,384,64
6:415,6,ACCAD/Female1General_c3d/A2 - Sway t2_core11.npz,ACCAD::Female1,train,415,64
7:0,7,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD::Female1,train,0,64
7:32,7,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD::Female1,train,32,64
7:64,7,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD::Female1,train,64,64
7:96,7,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD::Female1,train,96,64
7:128,7,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD::Female1,train,128,64
7:160,7,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD::Female1,train,160,64
7:192,7,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD::Female1,train,192,64
7:224,7,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD::Female1,train,224,64
7:256,7,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD::Female1,train,256,64
7:288,7,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD::Female1,train,288,64
7:297,7,ACCAD/Female1General_c3d/A2 - Sway_core11.npz,ACCAD::Female1,train,297,64
8:0,8,ACCAD/Female1General_c3d/A3 - Swing t2_core11.npz,ACCAD::Female1,train,0,64
8:32,8,ACCAD/Female1General_c3d/A3 - Swing t2_core11.npz,ACCAD::Female1,train,32,64
8:64,8,ACCAD/Female1General_c3d/A3 - Swing t2_core11.npz,ACCAD::Female1,train,64,64
8:96,8,ACCAD/Female1General_c3d/A3 - Swing t2_core11.npz,ACCAD::Female1,train,96,64
8:128,8,ACCAD/Female1General_c3d/A3 - Swing t2_core11.npz,ACCAD::Female1,train,128,64
8:160,8,ACCAD/Female1General_c3d/A3 - Swing t2_core11.npz,ACCAD::Female1,train,160,64
8:181,8,ACCAD/Female1General_c3d/A3 - Swing t2_core11.npz,ACCAD::Female1,train,181,64
9:0,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,0,64
9:32,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,32,64
9:64,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,64,64
9:96,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,96,64
9:128,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,128,64
9:160,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,160,64
9:192,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,192,64
9:224,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,224,64
9:256,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,256,64
9:288,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,288,64
9:320,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,320,64
9:352,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,352,64
9:372,9,ACCAD/Female1General_c3d/A3 - Swing_core11.npz,ACCAD::Female1,train,372,64
10:0,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,0,64
10:32,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,32,64
