condition,video_id,url,sequences,annotated_frames,required_last_frame,url_status,availability,duration_seconds,live_status,title,metadata_fps,error,checked_at_utc,yt_dlp_version
cerebralpalsy,-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4,2,401,441,public,public,15.0,not_live,Scissors gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
cerebralpalsy,338R10fA_wU,https://www.youtube.com/watch?v=338R10fA_wU,12,3162,7899,public,public,264.0,not_live,walking with spastic Bilateral CP   / / / a day in the life of cerebral palsy,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
cerebralpalsy,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,8,2218,2974,public,public,119.0,not_live,walking with spastic cerebral palsy,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
cerebralpalsy,SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ,6,2441,3198,public,public,141.0,not_live,walking with dyskinetic cerebral palsy,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
cerebralpalsy,Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY,2,572,726,public,public,28.0,not_live,Man with Cerebral Palsy Walking - Gait Demonstration,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
cerebralpalsy,WWS-iOlLsoo,https://www.youtube.com/watch?v=WWS-iOlLsoo,2,265,1037,public,public,35.0,not_live,Foot Drop Gait Deviation,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
cerebralpalsy,dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE,3,366,1441,public,public,228.0,not_live,Max's cerebral palsy related spasticity symptoms before & after wearing the Exopulse Mollii Suit,25.0,,2026-09-05T04:12:31+00:00,2026.07.04
cerebralpalsy,f8h2nkV0R8A,https://www.youtube.com/watch?v=f8h2nkV0R8A,1,194,2972,public,public,183.0,not_live,Golfer with cerebral palsy finds his true purpose,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
cerebralpalsy,rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE,16,6055,6424,public,public,224.0,not_live,Dystonia Gait Example Update | Without and With Shoes,60.0,,2026-09-05T04:12:31+00:00,2026.07.04
cerebralpalsy,sf5X4YYkWUA,https://www.youtube.com/watch?v=sf5X4YYkWUA,4,1344,3514,private,,,,,,ERROR: [youtube] sf5X4YYkWUA: Private video,2026-09-05T04:12:31+00:00,2026.07.04
cerebralpalsy,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,8,3328,3891,public,public,140.0,not_live,Dystonia Gait Example | Excess Pronation and Valgus,60.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,05oyBOE_0UE,https://www.youtube.com/watch?v=05oyBOE_0UE,2,336,4213,public,public,200.0,not_live,Steppage gait foot drop helped by Dr Suh Specific Chiropractic,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,4Yiqk-ud8rI,https://www.youtube.com/watch?v=4Yiqk-ud8rI,1,407,649,public,public,50.0,not_live,Waddling gait or Myopathic Gait in a patient with SLE || Gait Abnormality,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,5qM6wxZ_dNs,https://www.youtube.com/watch?v=5qM6wxZ_dNs,8,1259,1709,public,public,64.0,not_live,Waddling Gait ||  Duck Waddling Gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM,5,665,828,public,public,35.0,not_live,Steppage and Foot Slap Gait Foot Drop,24.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0,2,970,1022,public,public,34.0,not_live,Abnormal gait C part 2 of 2,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY,4,397,493,public,public,17.0,not_live,Waddling gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs,6,1859,2321,public,public,81.0,not_live,Jackknifing Gait | Weak Gluteus Maximus Gait | Compensations,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0,2,479,554,public,public,19.0,not_live,Steppage gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,FElCDD3X8pI,https://www.youtube.com/watch?v=FElCDD3X8pI,1,887,887,public,public,30.0,not_live,steppage gait demo,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg,3,425,677,public,public,31.0,not_live,Short limb gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,13,2452,2733,public,public,91.0,not_live,Weak Quadriceps Gait | Compensations for a Buckling Knee,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU,7,1369,1416,public,public,47.0,not_live,Weak Plantar Flexors Gait | Buckling Knee Gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk,2,332,2907,public,public,117.0,not_live,Trendelenburg Sign and Trendelenburg Lurch,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,L26I5sHvleg,https://www.youtube.com/watch?v=L26I5sHvleg,1,284,284,public,public,10.0,not_live,Abnormal gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0,21,2844,3166,public,public,106.0,not_live,Weak Hip Flexor Gait Pattern | Common Compensations,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
