variance_proxy_contrast,metric,extractor,sd_multiplier,assumed_paired_sd_percent,planned_true_reduction_percent,null_reduction_percent,planned_dz,people_for_80_percent,people_for_90_percent,person_only_power_at_60
direct_minus_static,displacement_nle,hrnet_w32,1.0,3.889920859804737,2.0,0.0,0.5141492776026283,32,42,0.9748261898974823
direct_minus_static,displacement_nle,hrnet_w32,1.0,3.889920859804737,5.0,0.0,1.2853731940065707,7,9,0.9999999999999976
direct_minus_static,displacement_nle,hrnet_w32,1.5,5.834881289707106,2.0,0.0,0.3427661850684188,69,92,0.7426911004589573
direct_minus_static,displacement_nle,hrnet_w32,1.5,5.834881289707106,5.0,0.0,0.856915462671047,13,17,0.9999975232602659
direct_minus_static,displacement_nle,hrnet_w32,2.0,7.779841719609474,2.0,0.0,0.25707463880131415,121,161,0.4995930731023
direct_minus_static,displacement_nle,hrnet_w32,2.0,7.779841719609474,5.0,0.0,0.6426865970032853,22,28,0.9983365591949015
direct_minus_static,displacement_nle,rtmpose_m,1.0,5.569257174716395,2.0,0.0,0.3591143194248067,63,84,0.7811817469052559
direct_minus_static,displacement_nle,rtmpose_m,1.0,5.569257174716395,5.0,0.0,0.8977857985620168,12,16,0.9999994637407875
direct_minus_static,displacement_nle,rtmpose_m,1.5,8.353885762074592,2.0,0.0,0.2394095462832045,139,186,0.4461015832992084
direct_minus_static,displacement_nle,rtmpose_m,1.5,8.353885762074592,5.0,0.0,0.5985238657080112,24,32,0.9953323488428382
direct_minus_static,displacement_nle,rtmpose_m,2.0,11.13851434943279,2.0,0.0,0.17955715971240335,246,328,0.27745639818660095
direct_minus_static,displacement_nle,rtmpose_m,2.0,11.13851434943279,5.0,0.0,0.4488928992810084,41,55,0.9278562731078533
direct_minus_static,displacement_nle,vitpose_base,1.0,6.816885735602551,2.0,0.0,0.2933891042876954,94,125,0.608554253632496
direct_minus_static,displacement_nle,vitpose_base,1.0,6.816885735602551,5.0,0.0,0.7334727607192385,17,22,0.9998566471146914
direct_minus_static,displacement_nle,vitpose_base,1.5,10.225328603403828,2.0,0.0,0.1955927361917969,208,277,0.31962090394977316
direct_minus_static,displacement_nle,vitpose_base,1.5,10.225328603403828,5.0,0.0,0.4889818404794923,35,46,0.9612458504075576
direct_minus_static,displacement_nle,vitpose_base,2.0,13.633771471205103,2.0,0.0,0.1466945521438477,367,491,0.20090536176145246
direct_minus_static,displacement_nle,vitpose_base,2.0,13.633771471205103,5.0,0.0,0.36673638035961925,61,81,0.7979294922182756
direct_minus_static,visible_nle,hrnet_w32,1.0,5.83567750028993,2.0,0.0,0.34271941859375116,69,92,0.7425761594938789
direct_minus_static,visible_nle,hrnet_w32,1.0,5.83567750028993,5.0,0.0,0.8567985464843779,13,17,0.9999975127280952
direct_minus_static,visible_nle,hrnet_w32,1.5,8.753516250434895,2.0,0.0,0.22847961239583411,153,204,0.4134391546274495
direct_minus_static,visible_nle,hrnet_w32,1.5,8.753516250434895,5.0,0.0,0.5711990309895852,27,35,0.991609010874662
direct_minus_static,visible_nle,hrnet_w32,2.0,11.67135500057986,2.0,0.0,0.17135970929687558,270,360,0.2570446388536832
direct_minus_static,visible_nle,hrnet_w32,2.0,11.67135500057986,5.0,0.0,0.42839927324218896,45,60,0.9038699082070462
direct_minus_static,visible_nle,rtmpose_m,1.0,4.136408787663843,2.0,0.0,0.48351120565372313,36,47,0.9576159512912155
direct_minus_static,visible_nle,rtmpose_m,1.0,4.136408787663843,5.0,0.0,1.2087780141343079,8,10,0.999999999999783
direct_minus_static,visible_nle,rtmpose_m,1.5,6.204613181495764,2.0,0.0,0.32234080376914875,78,104,0.6900809874195036
direct_minus_static,visible_nle,rtmpose_m,1.5,6.204613181495764,5.0,0.0,0.8058520094228719,15,19,0.9999852984504312
direct_minus_static,visible_nle,rtmpose_m,2.0,8.272817575327686,2.0,0.0,0.24175560282686157,137,182,0.4531695517062561
direct_minus_static,visible_nle,rtmpose_m,2.0,8.272817575327686,5.0,0.0,0.6043890070671539,24,31,0.9959056134072793
direct_minus_static,visible_nle,vitpose_base,1.0,8.931973461307651,2.0,0.0,0.22391468231111356,159,212,0.3999630350140163
direct_minus_static,visible_nle,vitpose_base,1.0,8.931973461307651,5.0,0.0,0.5597867057777839,28,36,0.9894039447758711
direct_minus_static,visible_nle,vitpose_base,1.5,13.397960191961477,2.0,0.0,0.1492764548740757,355,474,0.20638947513872552
direct_minus_static,visible_nle,vitpose_base,1.5,13.397960191961477,5.0,0.0,0.37319113718518926,59,78,0.8114938286881234
direct_minus_static,visible_nle,vitpose_base,2.0,17.863946922615302,2.0,0.0,0.11195734115555678,629,841,0.13664319258225274
direct_minus_static,visible_nle,vitpose_base,2.0,17.863946922615302,5.0,0.0,0.27989335288889194,103,137,0.5685802412037342
