people,target_power,alpha,detectable_dz
8,0.8,0.05,1.1560346779947717
8,0.9,0.05,1.3418023751944843
20,0.8,0.05,0.6604416546229733
20,0.9,0.05,0.7644579021777318
30,0.8,0.05,0.529235615112956
30,0.9,0.05,0.6124454953270755
40,0.8,0.05,0.4542569396835664
40,0.9,0.05,0.5256379242307082
60,0.8,0.05,0.3677043160873463
60,0.9,0.05,0.4254621791963937
80,0.8,0.05,0.31709876835587214
80,0.9,0.05,0.36690109377508534
100,0.8,0.05,0.2829126327813865
100,0.9,0.05,0.327343140383217
120,0.8,0.05,0.257835392445013
120,0.9,0.05,0.29832629009246703
