metric,extractor,candidate,comparator,people,seed,mean_difference,sd_difference,comparator_mean,ratio_of_means_improvement_percent,sd_as_percent_of_comparator_mean,observed_dz
displacement_nle,hrnet_w32,direct,filter1,8,17,-0.000681615296684575,0.00042698029425202133,0.00829895885314205,-8.213262756767497,5.144986278493998,-1.596362422014393
displacement_nle,hrnet_w32,direct,filter2,8,17,-0.001094659171286176,0.0006472891000863645,0.007885914978540461,-13.88119418311022,8.208167369896827,-1.691144144309121
displacement_nle,hrnet_w32,direct,joint_affine,8,17,0.0005909844927681125,0.00030323972285509025,0.009571558642594825,6.1743809429129515,3.1681331555095893,1.9489019683958997
displacement_nle,hrnet_w32,direct,paired_jepa,8,17,0.000690844483413675,0.0003458456416538387,0.009671418633240413,7.143155617721485,3.575955656238231,1.9975515091358302
displacement_nle,hrnet_w32,direct,static,8,17,0.00046337683847845067,0.00036736221948381956,0.0094439509883052,4.906599357115128,3.889920859804737,1.2613622574731316
displacement_nle,hrnet_w32,direct,unchanged,8,17,0.0006782639345810251,0.0003657784745825297,0.009658838084407751,7.0222104217270775,3.786982154437452,1.8543024855553387
displacement_nle,hrnet_w32,paired_jepa,coordinate,8,17,1.8343215390547585e-05,0.00011014948341103487,0.009689761848630938,0.18930512098333244,1.136761513149034,0.16653019898511795
displacement_nle,hrnet_w32,paired_jepa,initialized,8,17,1.0444141532499015e-05,3.416914699856777e-05,0.009681862774772914,0.10787326545995155,0.3529191416304617,0.30566000178280106
displacement_nle,hrnet_w32,paired_jepa,ordinary_jepa,8,17,-1.05695680081494e-06,3.888403472613229e-05,0.009670361676439575,-0.010929858015445906,0.4020949373679329,-0.027182282092362307
displacement_nle,hrnet_w32,paired_jepa,shuffled_jepa,8,17,2.2119593645301017e-06,3.78779466100279e-06,0.009673630592604936,0.022865865544018676,0.039155874567904134,0.5839702419202688
displacement_nle,rtmpose_m,direct,filter1,8,17,0.0003287361375351625,0.0005177769421412327,0.007233810791914737,4.544439258801079,7.157734104961031,0.6348991443606887
displacement_nle,rtmpose_m,direct,filter2,8,17,0.0003934651469238164,0.0007126689534757488,0.007298539801303375,5.391011868614476,9.764541577871237,0.5521008667556688
displacement_nle,rtmpose_m,direct,joint_affine,8,17,0.0006255753573531186,0.000453664068538461,0.0075306500117327,8.30705658048743,6.024235196585361,1.3789396179611328
displacement_nle,rtmpose_m,direct,paired_jepa,8,17,0.0005691633610171335,0.0004301643956733126,0.007474238015396725,7.615001821519098,5.755294316118724,1.323129870212186
displacement_nle,rtmpose_m,direct,static,8,17,0.00034819774254679756,0.0004039533933675467,0.007253272396926388,4.800560677885862,5.569257174716395,0.8619750403482351
displacement_nle,rtmpose_m,direct,unchanged,8,17,0.0006292306886964702,0.0004900153757424183,0.007534305343076063,8.351542179993086,6.50378971158551,1.284103968662469
displacement_nle,rtmpose_m,paired_jepa,coordinate,8,17,5.2517899863280494e-05,0.0001277865633419659,0.007526755915260012,0.6977494747345777,1.6977641467406543,0.41098139342505735
displacement_nle,rtmpose_m,paired_jepa,initialized,8,17,-6.841239487468428e-06,3.923023691156509e-05,0.0074673967759092625,-0.09161478481415512,0.5253535882561731,-0.17438690219715774
displacement_nle,rtmpose_m,paired_jepa,ordinary_jepa,8,17,-3.1505508829427625e-05,3.170242105937026e-05,0.007442732506567275,-0.4233056716955497,0.4259513697609966,-0.9937887321105896
displacement_nle,rtmpose_m,paired_jepa,shuffled_jepa,8,17,4.032596378800136e-06,6.478532556175825e-06,0.007478270611775526,0.0539241836535078,0.0866314271373721,0.62245521556513
displacement_nle,vitpose_base,direct,filter1,8,17,0.00043646757201144755,0.00036770444896705294,0.007758269908595112,5.625836393342033,4.739516068649355,1.1870065027430656
displacement_nle,vitpose_base,direct,filter2,8,17,0.00047476270792630004,0.000657666052152155,0.00779656504450995,6.089383019521017,8.435330795005154,0.7218902456234138
displacement_nle,vitpose_base,direct,joint_affine,8,17,0.000662397351469375,0.00023775116641620728,0.00798419968805305,8.29635251308326,2.9777707936333315,2.7860950650806986
displacement_nle,vitpose_base,direct,paired_jepa,8,17,0.0007958485821634126,0.00030273593635367845,0.008117650918747088,9.80392714751335,3.729353964390526,2.628854016305628
displacement_nle,vitpose_base,direct,static,8,17,0.0004661496100565398,0.0005308957853460962,0.007787951946640188,5.985522422973374,6.816885735602551,0.8780435311850372
displacement_nle,vitpose_base,direct,unchanged,8,17,0.000744743311675175,0.0003405393811644714,0.008066545648258837,9.232493611883642,4.221625910441316,2.186952090910989
