condition,video_id,url,required_last_frame,path,ok,reason
cerebralpalsy,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,2974,/Users/theodoremui/dev/alexpose/data/youtube/cerebralpalsy/DlPDuHBAP7A.mp4,False,missing or empty
cerebralpalsy,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,3891,/Users/theodoremui/dev/alexpose/data/youtube/cerebralpalsy/wRntYsztIEY.mp4,False,missing or empty
myopathic,05oyBOE_0UE,https://www.youtube.com/watch?v=05oyBOE_0UE,4213,/Users/theodoremui/dev/alexpose/data/youtube/myopathic/05oyBOE_0UE.mp4,False,missing or empty
myopathic,4Yiqk-ud8rI,https://www.youtube.com/watch?v=4Yiqk-ud8rI,649,/Users/theodoremui/dev/alexpose/data/youtube/myopathic/4Yiqk-ud8rI.mp4,False,missing or empty
myopathic,5qM6wxZ_dNs,https://www.youtube.com/watch?v=5qM6wxZ_dNs,1709,/Users/theodoremui/dev/alexpose/data/youtube/myopathic/5qM6wxZ_dNs.mp4,False,missing or empty
myopathic,7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM,828,/Users/theodoremui/dev/alexpose/data/youtube/myopathic/7Ft1bUTzxkM.mp4,False,missing or empty
myopathic,8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0,1022,/Users/theodoremui/dev/alexpose/data/youtube/myopathic/8NlJgIySMG0.mp4,False,missing or empty
myopathic,8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY,493,/Users/theodoremui/dev/alexpose/data/youtube/myopathic/8PPLTf0fZsY.mp4,False,missing or empty
myopathic,9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs,2321,/Users/theodoremui/dev/alexpose/data/youtube/myopathic/9qg-3smwLcs.mp4,False,missing or empty
myopathic,HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg,677,/Users/theodoremui/dev/alexpose/data/youtube/myopathic/HDkWDe6FZDg.mp4,False,missing or empty
myopathic,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,2648,/Users/theodoremui/dev/alexpose/data/youtube/myopathic/R8LRCiTvUz8.mp4,False,missing or empty
myopathic,jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo,1108,/Users/theodoremui/dev/alexpose/data/youtube/myopathic/jzJIpY6vRLo.mp4,False,missing or empty
normal,3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE,16302,/Users/theodoremui/dev/alexpose/data/youtube/normal/3KnFt8bH3tE.mp4,False,missing or empty
parkinsons,B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8,2746,/Users/theodoremui/dev/alexpose/data/youtube/parkinsons/B5hrxKe2nP8.mp4,False,missing or empty
parkinsons,_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM,1886,/Users/theodoremui/dev/alexpose/data/youtube/parkinsons/_Wn9oYGpRdM.mp4,False,missing or empty
stroke,5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs,4332,/Users/theodoremui/dev/alexpose/data/youtube/stroke/5gpoegYv1hs.mp4,False,missing or empty
stroke,8mTHlAIdea0,https://www.youtube.com/watch?v=8mTHlAIdea0,1979,/Users/theodoremui/dev/alexpose/data/youtube/stroke/8mTHlAIdea0.mp4,False,missing or empty
stroke,9VzOTO0nV8U,https://www.youtube.com/watch?v=9VzOTO0nV8U,166,/Users/theodoremui/dev/alexpose/data/youtube/stroke/9VzOTO0nV8U.mp4,False,missing or empty
