condition,sequence_id,video_id,neurologic_observed_fraction
normal,smoke_normal_000,smoke_video_normal_00,1.0
normal,smoke_normal_001,smoke_video_normal_00,1.0
normal,smoke_normal_002,smoke_video_normal_01,1.0
normal,smoke_normal_003,smoke_video_normal_01,1.0
normal,smoke_normal_004,smoke_video_normal_02,1.0
normal,smoke_normal_005,smoke_video_normal_02,1.0
normal,smoke_normal_006,smoke_video_normal_03,1.0
normal,smoke_normal_007,smoke_video_normal_03,1.0
normal,smoke_normal_008,smoke_video_normal_04,1.0
normal,smoke_normal_009,smoke_video_normal_04,1.0
parkinsons,smoke_parkinsons_000,smoke_video_parkinsons_00,1.0
parkinsons,smoke_parkinsons_001,smoke_video_parkinsons_00,1.0
parkinsons,smoke_parkinsons_002,smoke_video_parkinsons_01,1.0
parkinsons,smoke_parkinsons_003,smoke_video_parkinsons_01,1.0
parkinsons,smoke_parkinsons_004,smoke_video_parkinsons_02,1.0
parkinsons,smoke_parkinsons_005,smoke_video_parkinsons_02,1.0
parkinsons,smoke_parkinsons_006,smoke_video_parkinsons_03,1.0
parkinsons,smoke_parkinsons_007,smoke_video_parkinsons_03,1.0
parkinsons,smoke_parkinsons_008,smoke_video_parkinsons_04,1.0
parkinsons,smoke_parkinsons_009,smoke_video_parkinsons_04,1.0
stroke,smoke_stroke_000,smoke_video_stroke_00,1.0
stroke,smoke_stroke_001,smoke_video_stroke_00,1.0
stroke,smoke_stroke_002,smoke_video_stroke_01,1.0
stroke,smoke_stroke_003,smoke_video_stroke_01,1.0
stroke,smoke_stroke_004,smoke_video_stroke_02,1.0
stroke,smoke_stroke_005,smoke_video_stroke_02,1.0
stroke,smoke_stroke_006,smoke_video_stroke_03,1.0
stroke,smoke_stroke_007,smoke_video_stroke_03,1.0
stroke,smoke_stroke_008,smoke_video_stroke_04,1.0
stroke,smoke_stroke_009,smoke_video_stroke_04,1.0
myopathic,smoke_myopathic_000,smoke_video_myopathic_00,1.0
myopathic,smoke_myopathic_001,smoke_video_myopathic_00,1.0
myopathic,smoke_myopathic_002,smoke_video_myopathic_01,1.0
myopathic,smoke_myopathic_003,smoke_video_myopathic_01,1.0
myopathic,smoke_myopathic_004,smoke_video_myopathic_02,1.0
myopathic,smoke_myopathic_005,smoke_video_myopathic_02,1.0
myopathic,smoke_myopathic_006,smoke_video_myopathic_03,1.0
myopathic,smoke_myopathic_007,smoke_video_myopathic_03,1.0
myopathic,smoke_myopathic_008,smoke_video_myopathic_04,1.0
myopathic,smoke_myopathic_009,smoke_video_myopathic_04,1.0
cerebralpalsy,smoke_cerebralpalsy_000,smoke_video_cerebralpalsy_00,1.0
cerebralpalsy,smoke_cerebralpalsy_001,smoke_video_cerebralpalsy_00,1.0
cerebralpalsy,smoke_cerebralpalsy_002,smoke_video_cerebralpalsy_01,1.0
cerebralpalsy,smoke_cerebralpalsy_003,smoke_video_cerebralpalsy_01,1.0
cerebralpalsy,smoke_cerebralpalsy_004,smoke_video_cerebralpalsy_02,1.0
cerebralpalsy,smoke_cerebralpalsy_005,smoke_video_cerebralpalsy_02,1.0
cerebralpalsy,smoke_cerebralpalsy_006,smoke_video_cerebralpalsy_03,1.0
cerebralpalsy,smoke_cerebralpalsy_007,smoke_video_cerebralpalsy_03,1.0
cerebralpalsy,smoke_cerebralpalsy_008,smoke_video_cerebralpalsy_04,1.0
cerebralpalsy,smoke_cerebralpalsy_009,smoke_video_cerebralpalsy_04,1.0
