,prior_id,prior_backend,flow_backend,flow_reference_epe,flow_reference_coverage_all_pixels,flow_reference_coverage_foreground
0,momask,momask,sea_raft,0.668386,0.021097,0.398427
2,momask,momask,sea_raft,0.647037,0.020916,0.396237
6,momask,momask,sea_raft,NaN,0.000000,NaN
8,momask,momask,sea_raft,0.474261,0.024709,0.487805
10,momask,momask,sea_raft,0.467392,0.024972,0.492879
16,momask,momask,sea_raft,0.402063,0.034670,0.570314
18,momask,momask,sea_raft,0.404990,0.034802,0.571891
24,momask,momask,sea_raft,0.189250,0.006184,0.612818
26,momask,momask,sea_raft,0.188988,0.006210,0.612308
32,momask,momask,sea_raft,0.405447,0.019397,0.435073
34,momask,momask,sea_raft,0.390347,0.019428,0.436190
40,momask,momask,sea_raft,0.326441,0.004049,0.424371
42,momask,momask,sea_raft,0.326282,0.004050,0.424605
48,momask,momask,sea_raft,0.446800,0.019352,0.350635
50,momask,momask,sea_raft,0.437443,0.019058,0.345894
56,momask,momask,sea_raft,0.536135,0.017330,0.403022
58,momask,momask,sea_raft,0.546272,0.017322,0.403411
64,momask,momask,sea_raft,0.439551,0.022891,0.520644
66,momask,momask,sea_raft,0.457438,0.023057,0.511700
72,momask,momask,sea_raft,0.128988,0.004842,0.928113
74,momask,momask,sea_raft,0.154458,0.004533,0.904005
80,momask,momask,sea_raft,0.155928,0.034299,0.771689
82,momask,momask,sea_raft,0.175529,0.033413,0.758221
88,momask,momask,sea_raft,0.764591,0.020466,0.454894
90,momask,momask,sea_raft,0.812911,0.021206,0.456280
96,momask,momask,sea_raft,0.470250,0.022124,0.457691
98,momask,momask,sea_raft,0.491457,0.021708,0.448994
104,momask,momask,sea_raft,0.310820,0.002656,0.398464
106,momask,momask,sea_raft,0.311590,0.002657,0.398494
112,momask,momask,sea_raft,0.315308,0.023655,0.438142
