,method,strength,calibration_noise_removal,calibration_retention,feasible
0,raw,1.00,0.000000,0.906262,False
1,projected_raw,0.75,-0.800020,0.859340,False
2,prior,0.00,-0.800021,0.859340,False
3,conversion_only,0.00,-0.800021,0.859340,False
4,prior_unprojected,1.00,-532.647414,0.282328,False
5,conversion_only_unprojected,1.00,-1.383451,0.845728,False
6,gaussian,0.00,-0.800021,0.859340,False
7,median,0.00,-0.800021,0.859340,False
8,kalman,0.00,-0.800021,0.859340,False
9,confidence_gate,0.00,-0.800021,0.859340,False
10,flow_gate,0.00,-0.800021,0.859340,False
11,clip_flow_gate,0.00,-0.800021,0.859340,False
12,flow_propagation,0.00,-0.800021,0.859340,False
13,derivative_objective,0.00,-0.800021,0.859340,False
14,calibrated_flow_gate,0.25,-0.796781,0.863718,False
15,gate_full_seed17,0.00,-0.800021,0.859340,False
16,gate_coordinates_seed17,0.00,-0.800021,0.859340,False
17,gate_shuffled_flow_seed17,0.00,-0.800021,0.859340,False
18,gate_random_features_seed17,0.00,-0.800021,0.859340,False
19,oracle_mixture,1.00,-0.531605,0.919016,False
