,method,retention,noise_removal,descriptor_abs_error,mse_m2,observed_mse_m2,completion_mse_m2,missing_fraction,n_people,event_and_noise_removal,unedited_motion_descriptor_error,coverage,brier,selective_accuracy,ambiguous_brier,ambiguous_coverage
0,raw,0.855359,0.000000,0.011682,0.000027,0.000027,0.000159,0.000541,8,0.000000,0.005267,NaN,NaN,NaN,NaN,NaN
1,projected_raw,0.786111,-0.546982,0.019597,0.000040,0.000040,0.000195,0.000541,8,-0.538876,0.012269,NaN,NaN,NaN,NaN,NaN
2,prior,0.786111,-0.546982,0.019597,0.000041,0.000040,0.002438,0.000541,8,-0.538877,0.012477,NaN,NaN,NaN,NaN,NaN
3,conversion_only,0.786111,-0.546982,0.019597,0.000040,0.000040,0.000281,0.000541,8,-0.538877,0.012269,NaN,NaN,NaN,NaN,NaN
4,prior_unprojected,0.332565,-86.365216,0.041677,0.002423,0.002420,0.006055,0.000541,8,-87.472473,0.011953,NaN,NaN,NaN,NaN,NaN
5,conversion_only_unprojected,0.768113,-1.056627,0.022345,0.000055,0.000055,0.000280,0.000541,8,-1.055767,0.013827,NaN,NaN,NaN,NaN,NaN
6,gaussian,0.786111,-0.546982,0.019597,0.000040,0.000040,0.000253,0.000541,8,-0.538877,0.012269,NaN,NaN,NaN,NaN,NaN
7,median,0.786111,-0.546982,0.019597,0.000040,0.000040,0.000249,0.000541,8,-0.538877,0.012269,NaN,NaN,NaN,NaN,NaN
8,kalman,0.786111,-0.546982,0.019597,0.000040,0.000040,0.000272,0.000541,8,-0.538877,0.012269,NaN,NaN,NaN,NaN,NaN
9,confidence_gate,0.786111,-0.546982,0.019597,0.000041,0.000040,0.002615,0.000541,8,-0.538877,0.012624,NaN,NaN,NaN,NaN,NaN
10,flow_gate,0.786111,-0.546982,0.019597,0.000041,0.000040,0.002448,0.000541,8,-0.538877,0.012607,NaN,NaN,NaN,NaN,NaN
11,clip_flow_gate,0.786111,-0.546982,0.019597,0.000041,0.000040,0.002499,0.000541,8,-0.538877,0.012562,NaN,NaN,NaN,NaN,NaN
12,flow_propagation,0.628385,-0.546982,0.032669,0.000045,0.000040,0.010109,0.000541,8,-0.538877,0.025634,NaN,NaN,NaN,NaN,NaN
13,derivative_objective,0.786111,-0.546982,0.019597,0.000041,0.000040,0.002197,0.000541,8,-0.538877,0.012390,NaN,NaN,NaN,NaN,NaN
14,calibrated_flow_gate,0.790688,-0.536902,0.019369,0.000041,0.000040,0.002659,0.000541,8,-0.526683,0.012577,0.0,0.249999,NaN,0.250000,0.0
15,gate_full_seed17,0.786111,-0.546982,0.019597,0.000041,0.000040,0.002722,0.000541,8,-0.538877,0.012671,0.0,0.249971,NaN,0.250001,0.0
16,gate_coordinates_seed17,0.786111,-0.546982,0.019597,0.000041,0.000040,0.002721,0.000541,8,-0.538877,0.012670,0.0,0.249990,NaN,0.250000,0.0
17,gate_shuffled_flow_seed17,0.786111,-0.546982,0.019597,0.000041,0.000040,0.002721,0.000541,8,-0.538877,0.012670,0.0,0.251341,NaN,0.242725,0.0
18,gate_random_features_seed17,0.786111,-0.546982,0.019597,0.000041,0.000040,0.002460,0.000541,8,-0.538877,0.012514,0.0,0.249957,NaN,0.250000,0.0
19,oracle_mixture,0.882281,-0.138524,0.008536,0.000029,0.000028,0.002507,0.000541,8,-0.127103,0.006091,NaN,NaN,NaN,NaN,NaN
