,method,retention,noise_removal,descriptor_abs_error,mse_m2,observed_mse_m2,completion_mse_m2,missing_fraction,n_people,event_and_noise_removal,unedited_motion_descriptor_error,coverage,brier,selective_accuracy,ambiguous_brier,ambiguous_coverage
0,raw,0.855359,0.000000,0.011682,0.000027,0.000027,0.000159,0.000541,8,0.000000,0.005267,NaN,NaN,NaN,NaN,NaN
1,projected_raw,0.786111,-0.546982,0.019597,0.000040,0.000040,0.000174,0.000541,8,-0.538877,0.012269,NaN,NaN,NaN,NaN,NaN
2,prior,0.320104,-86.811653,0.043422,0.002447,0.002444,0.006331,0.000541,8,-87.969064,0.012509,NaN,NaN,NaN,NaN,NaN
3,conversion_only,0.786111,-0.546983,0.019597,0.000040,0.000040,0.000174,0.000541,8,-0.538878,0.012269,NaN,NaN,NaN,NaN,NaN
4,prior_unprojected,0.332565,-86.365216,0.041677,0.002423,0.002420,0.006055,0.000541,8,-87.472473,0.011953,NaN,NaN,NaN,NaN,NaN
5,conversion_only_unprojected,0.768113,-1.056627,0.022345,0.000055,0.000055,0.000280,0.000541,8,-1.055767,0.013827,NaN,NaN,NaN,NaN,NaN
6,gaussian,0.857881,-2.938857,0.012913,0.000122,0.000122,0.000111,0.000541,8,-2.937232,0.009591,NaN,NaN,NaN,NaN,NaN
7,median,0.871356,-3.546826,0.012184,0.000146,0.000146,0.000121,0.000541,8,-3.557863,0.009467,NaN,NaN,NaN,NaN,NaN
8,kalman,0.740801,-5.334908,0.023015,0.000199,0.000199,0.000184,0.000541,8,-4.998046,0.014148,NaN,NaN,NaN,NaN,NaN
9,confidence_gate,0.880105,-3.683168,0.014069,0.000129,0.000127,0.002756,0.000541,8,-3.684733,0.010286,NaN,NaN,NaN,NaN,NaN
10,flow_gate,0.743560,-17.528787,0.016898,0.000480,0.000478,0.003822,0.000541,8,-20.153563,0.007827,NaN,NaN,NaN,NaN,NaN
11,clip_flow_gate,0.714521,-18.672151,0.020745,0.000531,0.000529,0.003719,0.000541,8,-19.720656,0.008736,NaN,NaN,NaN,NaN,NaN
12,flow_propagation,0.655221,-81.535368,0.033586,0.002156,0.002154,0.008891,0.000541,8,-79.803817,0.032198,NaN,NaN,NaN,NaN,NaN
13,derivative_objective,0.356296,-83.017187,0.043855,0.002336,0.002334,0.005359,0.000541,8,-84.196715,0.013887,NaN,NaN,NaN,NaN,NaN
