extractor,variant,coordinate,direct,initialized,joint_affine,joint_offset,paired_jepa,unchanged,best_reported_method,paired_improvement_vs_coordinate_percent
hrnet_w32,blur,0.0108228692849312,0.0106634820394134,0.0108009205790216,0.0102417918283838,0.0107523190243869,0.0107137798421134,0.0203989152257522,joint_affine,1.0079530662879543
hrnet_w32,blur_obstruction,0.0099221068227951,0.0103974481853148,0.0099111877739212,0.0097794816770572,0.0097937201377624,0.0104247191539779,0.0171355293862259,joint_affine,-5.06558072956942
hrnet_w32,clean,0.0095158807226286,0.0086496265349114,0.0094620189878804,0.0089698853076106,0.0094405521771318,0.0087312704061096,0.0165176915385695,direct,8.245272711891085
hrnet_w32,obstruction,0.0090699348511984,0.0094835095338445,0.0090246611594302,0.0087713984758874,0.0089498510471114,0.0092736440708326,0.0152976424462206,joint_affine,-2.2459832730472558
rtmpose_m,blur,0.0088197204422428,0.0089775547531066,0.0088424888483666,0.0082355752479356,0.0087415106952321,0.0098002887173717,0.0177424771045319,joint_affine,-11.117906531735235
rtmpose_m,blur_obstruction,0.0084675223915995,0.0100743451938267,0.0085317433360576,0.0082231087488659,0.00838242650176,0.0107089640284423,0.0159206937124235,joint_affine,-26.471044695039733
rtmpose_m,clean,0.0088663688216196,0.0087167124317164,0.0088596010064844,0.0084336756743751,0.0088105646113647,0.0089900373491774,0.0157367889762634,joint_affine,-1.3948046832458483
rtmpose_m,obstruction,0.0093178092814608,0.0108418612638056,0.0093516200644915,0.008945219804272,0.0092683045014339,0.010951114469096,0.0134448096057019,joint_affine,-17.528854028863933
vitpose_base,blur,0.0114629179592243,0.0119436069431537,0.0115171470357157,0.0111466653457263,0.0114493312285931,0.0117057788977338,0.0222616938740825,joint_affine,-2.1186659398017254
vitpose_base,blur_obstruction,0.010528390800657,0.010402745036225,0.0105654251845496,0.0102570613675819,0.0104441453159811,0.0105651605529885,0.0193992056605827,joint_affine,-0.34924380209371964
vitpose_base,clean,0.0090897409528861,0.0090008254606198,0.0091126554003036,0.0084815932199037,0.0090428757817711,0.008632540444795,0.0166224346732728,joint_affine,5.02985190074018
vitpose_base,obstruction,0.0093977680047563,0.0093515877233705,0.0094244714188482,0.0090038147771138,0.0092919164585998,0.0092849963003973,0.0151145416678168,joint_affine,1.1999839142860964
