person_id,motion_id,window_id,variant,reference_visible_frames,reference_valid_frames,reference_finite_frames,reference_event_count,reference_raw_event_count,reference_amplitude_raw_px,reference_amplitude_normalized,bbox_scale_cv,reference_eligible,reference_reasons
BioMotionLab_NTroje::rub023,BioMotionLab_NTroje/rub023/0000_treadmill_norm_poses.npz,671d1920a114605b90fc,clean,53,64,64,3,3,7.4885956620695,0.0209881674455399,0.012720362912366,False,reference_visibility_gap
BioMotionLab_NTroje::rub023,BioMotionLab_NTroje/rub023/0000_treadmill_norm_poses.npz,671d1920a114605b90fc,blur,53,64,64,3,3,7.4885956620695,0.0209881674455399,0.012720362912366,False,reference_visibility_gap
BioMotionLab_NTroje::rub023,BioMotionLab_NTroje/rub023/0000_treadmill_norm_poses.npz,671d1920a114605b90fc,obstruction,0,64,64,3,3,7.4885956620695,0.0209881674455399,0.012720362912366,False,reference_visibility_gap
BioMotionLab_NTroje::rub023,BioMotionLab_NTroje/rub023/0000_treadmill_norm_poses.npz,671d1920a114605b90fc,blur_obstruction,0,64,64,3,3,7.4885956620695,0.0209881674455399,0.012720362912366,False,reference_visibility_gap
BioMotionLab_NTroje::rub023,BioMotionLab_NTroje/rub023/0000_treadmill_norm_poses.npz,0594a645c75c04204204,clean,64,64,64,3,3,3.1111239103728625,0.0088428113507197,0.0126043384149165,True,
BioMotionLab_NTroje::rub023,BioMotionLab_NTroje/rub023/0000_treadmill_norm_poses.npz,0594a645c75c04204204,blur,64,64,64,3,3,3.1111239103728625,0.0088428113507197,0.0126043384149165,True,
BioMotionLab_NTroje::rub023,BioMotionLab_NTroje/rub023/0000_treadmill_norm_poses.npz,0594a645c75c04204204,obstruction,0,64,64,3,3,3.1111239103728625,0.0088428113507197,0.0126043384149165,False,reference_visibility_gap
BioMotionLab_NTroje::rub023,BioMotionLab_NTroje/rub023/0000_treadmill_norm_poses.npz,0594a645c75c04204204,blur_obstruction,0,64,64,3,3,3.1111239103728625,0.0088428113507197,0.0126043384149165,False,reference_visibility_gap
BioMotionLab_NTroje::rub044,BioMotionLab_NTroje/rub044/0000_treadmill_norm_poses.npz,4dc73693d7db7cde8aab,clean,64,64,64,3,2,5.763999567751011,0.0157542814807605,0.0090546243030203,True,
BioMotionLab_NTroje::rub044,BioMotionLab_NTroje/rub044/0000_treadmill_norm_poses.npz,4dc73693d7db7cde8aab,blur,64,64,64,3,2,5.763999567751011,0.0157542814807605,0.0090546243030203,True,
BioMotionLab_NTroje::rub044,BioMotionLab_NTroje/rub044/0000_treadmill_norm_poses.npz,4dc73693d7db7cde8aab,obstruction,0,64,64,3,2,5.763999567751011,0.0157542814807605,0.0090546243030203,False,reference_visibility_gap
BioMotionLab_NTroje::rub044,BioMotionLab_NTroje/rub044/0000_treadmill_norm_poses.npz,4dc73693d7db7cde8aab,blur_obstruction,0,64,64,3,2,5.763999567751011,0.0157542814807605,0.0090546243030203,False,reference_visibility_gap
BioMotionLab_NTroje::rub044,BioMotionLab_NTroje/rub044/0000_treadmill_norm_poses.npz,c2fddf0be3b4ce934515,clean,61,64,64,1,2,6.735860880790339,0.0183488356971045,0.0092260384114665,False,reference_visibility_gap;fewer_than_two_reference_peaks
BioMotionLab_NTroje::rub044,BioMotionLab_NTroje/rub044/0000_treadmill_norm_poses.npz,c2fddf0be3b4ce934515,blur,61,64,64,1,2,6.735860880790339,0.0183488356971045,0.0092260384114665,False,reference_visibility_gap;fewer_than_two_reference_peaks
BioMotionLab_NTroje::rub044,BioMotionLab_NTroje/rub044/0000_treadmill_norm_poses.npz,c2fddf0be3b4ce934515,obstruction,0,64,64,1,2,6.735860880790339,0.0183488356971045,0.0092260384114665,False,reference_visibility_gap;fewer_than_two_reference_peaks
BioMotionLab_NTroje::rub044,BioMotionLab_NTroje/rub044/0000_treadmill_norm_poses.npz,c2fddf0be3b4ce934515,blur_obstruction,0,64,64,1,2,6.735860880790339,0.0183488356971045,0.0092260384114665,False,reference_visibility_gap;fewer_than_two_reference_peaks
