arm,phase,updates,first_loss,last_loss,previous25_mean,last25_mean,last25_reduction_percent,final_learning_rate,max_preclip_gradient_norm,supported_examples_min,targets_min
coordinate,pretrain,200,0.0515147745609283,0.0007489550625905,0.00073985092807556,0.0007348907738923639,0.6704261622132492,2.0504251129649378e-08,0.2980103492736816,64.0,6144.0
coordinate,readout,200,0.0007154291961342,0.0002524665906094,0.000261243307031636,0.00026099460199469196,0.09520053920995279,2.0504251129649378e-08,0.0521597042679786,64.0,49152.0
direct,end_to_end,400,0.0007242248393595,0.0002131150395143,0.00021589585987381198,0.000215481590130308,0.191884061021888,5.126150373813142e-09,0.0271924193948507,64.0,49152.0
initialized,readout,200,0.0007242248393595,0.0002554130041971,0.00025652354874176805,0.000249256009701588,2.833088453604695,2.0504251129649378e-08,0.027192372828722,64.0,49152.0
ordinary_jepa,pretrain,200,12.645644187927246,1.3871158361434937,1.3998589658737182,1.3936913108825684,0.44059116964688444,2.0504251129649378e-08,62.93331527709961,64.0,6144.0
ordinary_jepa,readout,200,0.0007154291961342,0.0002388894208706,0.000244597567361736,0.000244605696061572,-0.0033232954537094316,2.0504251129649378e-08,0.0233916062861681,64.0,49152.0
paired_jepa,pretrain,200,12.605266571044922,1.4095726013183594,1.4194823932647704,1.4141211652755736,0.3776889389142846,2.0504251129649378e-08,63.48268127441406,64.0,6144.0
paired_jepa,readout,200,0.0007154291961342,0.0002383916871622,0.00024390557140572402,0.000243984994012812,-0.032562850709076566,2.0504251129649378e-08,0.0232339277863502,64.0,49152.0
shuffled_jepa,pretrain,200,12.599778175354004,1.4051724672317505,1.4136102962493897,1.4088955163955688,0.33352755468252315,2.0504251129649378e-08,63.52272415161133,64.0,6144.0
shuffled_jepa,readout,200,0.0007154291961342,0.0002382270613452,0.000243689904455048,0.000243795005371744,-0.04312895806292783,2.0504251129649378e-08,0.0231559053063392,64.0,49152.0
smoothnet,end_to_end,400,0.3970252871513366,0.3458946943283081,0.3505129075050354,0.3490430438518524,0.4193465124139122,5.126150373813142e-09,4.727045059204102,64.0,49152.0
static,end_to_end,400,0.0007242248393595,0.0002051837218459,0.0002032307174522,0.00020402216934594403,-0.38943517184117904,5.126150373813142e-09,0.0218722969293594,64.0,49152.0
