method,joint,bias_x_px,bias_y_px,mae_x_px,mae_y_px
coordinate,left_ankle,-0.7341871770719687,-1.958940530816714,1.317854476471742,5.045180430014928
coordinate,left_elbow,-1.368576963742574,2.4867653946081796,1.6692156593004863,2.9488871097564697
coordinate,left_hip,-1.2395460605621338,-0.5210245947043101,1.6167054573694866,1.9725081821282704
coordinate,left_knee,1.1373730165263016,-4.106878273189068,2.018271858493487,5.210990866025289
coordinate,left_shoulder,1.4363455772399902,0.6494272102912267,1.7740827401479085,1.4485691040754318
coordinate,left_wrist,-1.1774746974309285,-0.2488528142372767,1.5129462877909343,2.713550572594007
coordinate,right_ankle,3.9044456756156354,-5.399642321798536,4.045471404161718,7.718880812327067
coordinate,right_elbow,-0.25860369205474854,3.3630930135647454,0.9557063182195028,3.9135333647330603
coordinate,right_hip,1.4320094386736553,0.46358975768089294,2.347237288951874,2.0571464399496713
coordinate,right_knee,2.013571012587774,-1.3894792073184536,2.9631236621311734,3.1366344406491233
coordinate,right_shoulder,-0.9535376528898875,0.4910585681597392,1.5077252288659413,1.976930965979894
coordinate,right_wrist,0.28773972392082214,0.1908490558465322,0.9666724105676016,1.850198745727539
direct,left_ankle,-0.5377738422248513,-1.7631959117328126,1.1647900169094403,5.490175773700078
direct,left_elbow,-1.3480274577935536,2.4734068711598716,1.6436475614706676,3.0423557360967
direct,left_hip,-1.0758233865102131,-0.8871372838815054,1.5288464625676472,1.997198094924291
direct,left_knee,1.0372589143613975,-4.135627333074808,1.9617584384977818,5.055955216288567
direct,left_shoulder,1.41068497300148,0.720229814449946,1.8559739490350087,1.4965384503205617
direct,left_wrist,-1.144308626651764,-0.3037339448928833,1.4619287451108296,2.721274569630623
direct,right_ankle,3.174149221430222,-5.72423165374332,4.792162356277307,7.999490102132161
direct,right_elbow,-0.347798357407252,3.398565928141276,0.9751240710417429,4.005103747049968
direct,right_hip,1.2387412985165913,-0.024900893370310446,2.355585038661957,2.0247829953829446
direct,right_knee,1.9886632433959417,-1.0625655643996739,4.222907355853489,3.7154389846892584
direct,right_shoulder,-1.0519675612449646,0.361075500647227,1.5437026023864746,1.9935826361179352
direct,right_wrist,0.26757598916689557,0.18101716538270315,0.9635906517505646,1.983576978246371
initialized,left_ankle,-0.8418315139909586,-1.826328920821349,1.3248200714588165,5.019384150703748
initialized,left_elbow,-1.3883451124032338,2.3762804021437964,1.6738076110680897,2.8977015167474747
initialized,left_hip,-1.335635483264923,-0.5354814529418945,1.6604496041933696,1.9502165913581848
initialized,left_knee,1.0464620254933834,-4.323235203007546,2.0204756930470467,5.333771901826064
initialized,left_shoulder,1.3257214228312175,0.6331997017065684,1.722150941689809,1.4599816898504894
initialized,left_wrist,-1.1882149279117584,-0.3865341891845067,1.5112697581450145,2.7279482930898666
initialized,right_ankle,3.9707966776461237,-5.697709149784512,4.099909177256955,7.960709571838379
initialized,right_elbow,-0.36682645479838055,3.3676016430060067,0.9894999663035074,3.9004260996977487
initialized,right_hip,1.3290244738260906,0.48828426003456116,2.3849811951319375,2.0554374158382416
initialized,right_knee,1.943751417455219,-1.3093937261118775,2.9597937691779364,3.116801080249605
initialized,right_shoulder,-1.003600815931956,0.4119391093651454,1.5388416051864624,1.967339629928271
initialized,right_wrist,0.19376312692960104,0.17793141305446625,0.9506031374136606,1.8802670389413834
joint_affine,left_ankle,-0.5112654568763002,-1.905352713793657,1.1994079363495296,4.387150023521925
joint_affine,left_elbow,-1.3588609963030038,2.2309562548967965,1.6301973288546259,2.6914092754027634
joint_affine,left_hip,-1.3066471918705378,-0.4526931284173297,1.6478808107270657,2.0550019593382665
joint_affine,left_knee,1.1347226677288125,-4.0862997551415,1.9849887895321034,5.033147147385608
joint_affine,left_shoulder,1.3703990850310286,0.5750790371423534,1.7171592874884558,1.4560348348726635
joint_affine,left_wrist,-1.0069357122575964,-0.4141651289659083,1.4068637621255837,2.6687897393654025
joint_affine,right_ankle,4.355505741052294,-5.594074887533992,4.449524175949289,6.992267681969795
joint_affine,right_elbow,-0.40302026783948536,3.3544154405750493,0.9291456720687375,3.758821693659907
joint_affine,right_hip,1.468441593204572,0.5731521615889098,2.356016404696599,2.1327462292579367
joint_affine,right_knee,2.0563022837007963,-1.1674271037027077,2.8352350071555152,3.016495661436364
joint_affine,right_shoulder,-1.0193774991486537,0.4239186000227905,1.5316091935772143,1.9691794837167853
joint_affine,right_wrist,-0.010526342546105155,-0.03766039228023648,1.01106729541684,1.8013273156238034
joint_offset,left_ankle,-0.8159661348375499,-1.7807092649222975,1.3081165273897308,5.068588225959226
joint_offset,left_elbow,-1.3317114799226688,2.3895831239749774,1.6338797943198218,2.876236681043616
joint_offset,left_hip,-1.3209343316392717,-0.4504263212828783,1.6544112576897378,1.9528727299179565
joint_offset,left_knee,1.0214014457534664,-4.182114724374782,1.971443622297297,5.2148568617966715
joint_offset,left_shoulder,1.3798532977434697,0.6088003484097705,1.7253656524889018,1.4508336021599553
joint_offset,left_wrist,-1.1122856010366047,-0.32688992653725196,1.4395624428404832,2.6886121961983185
joint_offset,right_ankle,3.9630050125540026,-5.597956742085921,4.072054927040435,7.78863575668997
joint_offset,right_elbow,-0.32665983319572117,3.356250945621111,0.9596020069298148,3.905477474678919
joint_offset,right_hip,1.4507168156944632,0.5768474667223987,2.3725897753657996,2.0701322241030122
joint_offset,right_knee,1.9519293621498426,-1.3333618661574747,2.90137490363506,3.124489701660939
joint_offset,right_shoulder,-1.0326041708868428,0.4287749573795409,1.5275930657144998,1.9639634928147174
