method,split,seed,extractor,evidence_status,person_id,value,metric
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.010076157581880386,visible_nle
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.009589238258896212,visible_nle
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.00982645774865865,visible_nle
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.007909252719802674,visible_nle
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.010176405216644136,visible_nle
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub044,0.010063003642117662,visible_nle
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.009875372765993711,visible_nle
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.009721660380748313,visible_nle
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.010752400766278987,visible_nle
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.008552836054948687,visible_nle
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.009995743973219662,visible_nle
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub044,0.010353638608464801,visible_nle
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.010057009594018538,visible_nle
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.009542384656108151,visible_nle
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.009888277011662613,visible_nle
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.0079044496160375,visible_nle
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.010192282533541526,visible_nle
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub044,0.010117566986167,visible_nle
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.009517848093264638,visible_nle
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.009363430551204838,visible_nle
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.009302435508777074,visible_nle
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.0076163542289472246,visible_nle
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.009728666975806625,visible_nle
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub044,0.009715900379356174,visible_nle
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.009980806876253037,visible_nle
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.009487414316943187,visible_nle
joint_offset,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.009791370434563275,visible_nle
joint_offset,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.007810032720332113,visible_nle
joint_offset,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.010129377933441224,visible_nle
joint_offset,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub044,0.009984756459031373,visible_nle
paired_jepa,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.009886010224665488,visible_nle
paired_jepa,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.009685696511851211,visible_nle
paired_jepa,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.011364471519316226,visible_nle
paired_jepa,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.008860730762727437,visible_nle
paired_jepa,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.009660725387683776,visible_nle
paired_jepa,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub044,0.010433512710273488,visible_nle
unchanged,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.015986523713316374,visible_nle
unchanged,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.01868836558506775,visible_nle
unchanged,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.01368616452677665,visible_nle
unchanged,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.017736220172683687,visible_nle
unchanged,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.01652994419977,visible_nle
unchanged,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub044,0.02016899373810741,visible_nle
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.018873121497407674,lower_limb_nle
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.017365090068528186,lower_limb_nle
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.011567971205192063,lower_limb_nle
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.014258850492655538,lower_limb_nle
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.018286991933219622,lower_limb_nle
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub044,0.019252700262439977,lower_limb_nle
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.01827187728928275,lower_limb_nle
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.019159111933959413,lower_limb_nle
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.011906765758967288,lower_limb_nle
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.018201298015931303,lower_limb_nle
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.019040935302948786,lower_limb_nle
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub044,0.019699044979487025,lower_limb_nle
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.019131384312892488,lower_limb_nle
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.017379394777393753,lower_limb_nle
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.011969107949955362,lower_limb_nle
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.014188414143653301,lower_limb_nle
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.01851562879679731,lower_limb_nle
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub044,0.01948680448891215,lower_limb_nle
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.018024818690208725,lower_limb_nle
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.0172846115038007,lower_limb_nle
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.011118554338525712,lower_limb_nle
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.013726301432717724,lower_limb_nle
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.016982220854950363,lower_limb_nle
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub044,0.018425482628234412,lower_limb_nle
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub023,0.01903614142270585,lower_limb_nle
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub044,0.017240856188592724,lower_limb_nle
joint_offset,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub023,0.011812140746905175,lower_limb_nle
joint_offset,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub044,0.01402171788477155,lower_limb_nle
joint_offset,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub023,0.018586560646330325,lower_limb_nle
