method,split,seed,extractor,evidence_status,recomputed,value,absolute_difference,metric,variant
coordinate,development,17,hrnet_w32,automated-source-screen,0.009832697920388298,0.0098326979203883,1.734723475976807e-18,visible_nle,all
coordinate,development,17,rtmpose_m,automated-source-screen,0.008867855234230662,0.0088678552342307,3.8163916471489756e-17,visible_nle,all
coordinate,development,17,vitpose_base,automated-source-screen,0.010119704429380899,0.0101197044293809,1.734723475976807e-18,visible_nle,all
direct,development,17,hrnet_w32,automated-source-screen,0.009798516573371012,0.009798516573371,1.214306433183765e-17,visible_nle,all
direct,development,17,rtmpose_m,automated-source-screen,0.009652618410613836,0.0096526184106138,3.642919299551295e-17,visible_nle,all
direct,development,17,vitpose_base,automated-source-screen,0.010174691290842232,0.0101746912908422,3.122502256758253e-17,visible_nle,all
initialized,development,17,hrnet_w32,automated-source-screen,0.009799697125063345,0.0097996971250633,4.5102810375396984e-17,visible_nle,all
initialized,development,17,rtmpose_m,automated-source-screen,0.008896363313850056,0.0088963633138501,4.336808689942018e-17,visible_nle,all
initialized,development,17,vitpose_base,automated-source-screen,0.010154924759854262,0.0101549247598543,3.8163916471489756e-17,visible_nle,all
joint_affine,development,17,hrnet_w32,automated-source-screen,0.009440639322234738,0.0094406393222347,3.8163916471489756e-17,visible_nle,all
joint_affine,development,17,rtmpose_m,automated-source-screen,0.00845939486886215,0.0084593948688622,5.0306980803327406e-17,visible_nle,all
joint_affine,development,17,vitpose_base,automated-source-screen,0.009722283677581399,0.0097222836775814,1.734723475976807e-18,visible_nle,all
joint_offset,development,17,hrnet_w32,automated-source-screen,0.009734110596598112,0.0097341105965981,1.214306433183765e-17,visible_nle,all
joint_offset,development,17,rtmpose_m,automated-source-screen,0.008800701577447695,0.0088007015774477,5.204170427930421e-18,visible_nle,all
joint_offset,development,17,vitpose_base,automated-source-screen,0.010057067196236297,0.0100570671962363,1.734723475976807e-18,visible_nle,all
paired_jepa,development,17,hrnet_w32,automated-source-screen,0.00978585336825835,0.0097858533682584,5.0306980803327406e-17,visible_nle,all
paired_jepa,development,17,rtmpose_m,automated-source-screen,0.010112601141021832,0.0101126011410218,3.122502256758253e-17,visible_nle,all
paired_jepa,development,17,vitpose_base,automated-source-screen,0.010047119048978632,0.0100471190489786,3.2959746043559335e-17,visible_nle,all
unchanged,development,17,hrnet_w32,automated-source-screen,0.01733744464919206,0.0173374446491921,3.8163916471489756e-17,visible_nle,all
unchanged,development,17,rtmpose_m,automated-source-screen,0.015711192349730167,0.0157111923497302,3.122502256758253e-17,visible_nle,all
unchanged,development,17,vitpose_base,automated-source-screen,0.018349468968938708,0.0183494689689387,6.938893903907228e-18,visible_nle,all
coordinate,development,17,hrnet_w32,automated-source-screen,0.01811910578296793,0.0181191057829679,3.122502256758253e-17,lower_limb_nle,all
coordinate,development,17,rtmpose_m,automated-source-screen,0.0129134108489238,0.0129134108489238,0.0,lower_limb_nle,all
coordinate,development,17,vitpose_base,automated-source-screen,0.0187698460978298,0.0187698460978298,0.0,lower_limb_nle,all
direct,development,17,hrnet_w32,automated-source-screen,0.01871549461162108,0.0187154946116211,2.0816681711721685e-17,lower_limb_nle,all
direct,development,17,rtmpose_m,automated-source-screen,0.015054031887449295,0.0150540318874493,5.204170427930421e-18,lower_limb_nle,all
direct,development,17,vitpose_base,automated-source-screen,0.019369990141217906,0.0193699901412179,6.938893903907228e-18,lower_limb_nle,all
initialized,development,17,hrnet_w32,automated-source-screen,0.018255389545143122,0.0182553895451431,2.0816681711721685e-17,lower_limb_nle,all
initialized,development,17,rtmpose_m,automated-source-screen,0.013078761046804332,0.0130787610468043,3.2959746043559335e-17,lower_limb_nle,all
initialized,development,17,vitpose_base,automated-source-screen,0.01900121664285473,0.0190012166428547,2.7755575615628914e-17,lower_limb_nle,all
joint_affine,development,17,hrnet_w32,automated-source-screen,0.01765471509700471,0.0176547150970047,1.0408340855860843e-17,lower_limb_nle,all
joint_affine,development,17,rtmpose_m,automated-source-screen,0.012422427885621718,0.0124224278856217,1.734723475976807e-17,lower_limb_nle,all
joint_affine,development,17,vitpose_base,automated-source-screen,0.017703851741592388,0.0177038517415924,1.3877787807814457e-17,lower_limb_nle,all
joint_offset,development,17,hrnet_w32,automated-source-screen,0.018138498805649286,0.0181384988056493,1.3877787807814457e-17,lower_limb_nle,all
joint_offset,development,17,rtmpose_m,automated-source-screen,0.012916929315838363,0.0129169293158384,3.642919299551295e-17,lower_limb_nle,all
joint_offset,development,17,vitpose_base,automated-source-screen,0.018908285086523258,0.0189082850865233,4.163336342344337e-17,lower_limb_nle,all
paired_jepa,development,17,hrnet_w32,automated-source-screen,0.018394750700246643,0.0183947507002466,4.163336342344337e-17,lower_limb_nle,all
paired_jepa,development,17,rtmpose_m,automated-source-screen,0.01568329472159319,0.0156832947215932,1.0408340855860843e-17,lower_limb_nle,all
paired_jepa,development,17,vitpose_base,automated-source-screen,0.019526390493824795,0.0195263904938248,6.938893903907228e-18,lower_limb_nle,all
unchanged,development,17,hrnet_w32,automated-source-screen,0.0251254518549589,0.0251254518549589,0.0,lower_limb_nle,all
unchanged,development,17,rtmpose_m,automated-source-screen,0.019345223209961987,0.019345223209962,1.3877787807814457e-17,lower_limb_nle,all
unchanged,development,17,vitpose_base,automated-source-screen,0.02722550994846936,0.0272255099484694,3.8163916471489756e-17,lower_limb_nle,all
coordinate,development,17,hrnet_w32,automated-source-screen,0.0,0.0,0.0,missing_rate,all
coordinate,development,17,rtmpose_m,automated-source-screen,0.0,0.0,0.0,missing_rate,all
coordinate,development,17,vitpose_base,automated-source-screen,0.0,0.0,0.0,missing_rate,all
direct,development,17,hrnet_w32,automated-source-screen,0.0,0.0,0.0,missing_rate,all
