audio_streams,avg_frame_rate,bytes,codec_name,condition_label,container_duration,duration,height,lfs_pointer,nb_frames,path,pix_fmt,r_frame_rate,rotation,sha256,source_id,start_time,time_base,width
1,30/1,7456641,h264,MS,20.433333,20.433333,1080,False,613,video-data-full/MS/0ecDhEQFrx4.mp4,yuv420p,30/1,[],f3eccce895e5ae5573aba3d66d6fe182a4b7dcf860992e75297e3b0c518b0ea1,0ecDhEQFrx4,0.000000,1/15360,1920
1,30/1,2502664,h264,MS,4.166667,4.166667,1080,False,125,video-data-full/MS/3T0BfK9HOzU.mp4,yuv420p,30/1,[],02c2579b5cdfbe39af08c19d744a4b4d7e03df32fd3b47531730c7404ba6fbc3,3T0BfK9HOzU,0.000000,1/15360,1920
1,30/1,2294492,h264,MS,7.500000,7.500000,1080,False,225,video-data-full/MS/6iCUKf9xgJg.mp4,yuv420p,30/1,[],95d4ec4e9cb6d2add1931c24c549a43d42015377cc19fa2cddc47bcba5ccf744,6iCUKf9xgJg,0.000000,1/15360,1920
1,30/1,3824705,h264,MS,7.333333,7.333333,1080,False,220,video-data-full/MS/Ivxdl6r2z_o.mp4,yuv420p,30/1,[],47cc2444eeb25c61edb67f01b25841d71b80370e3fea66f6f9c30905b651edb3,Ivxdl6r2z_o,0.000000,1/15360,1920
1,30/1,6241419,h264,MS,11.600000,11.600000,1080,False,348,video-data-full/MS/JUsbspdRRJA.mp4,yuv420p,30/1,[],453dfa09f1305fe39d4ff376f83e4ff4878ef2ae945fecdb43e1798d258f1c44,JUsbspdRRJA,0.000000,1/15360,1920
1,30/1,16060264,h264,MS,7.466667,7.466667,1080,False,224,video-data-full/MS/L-41u-0tsFo_P1_01.mp4,yuv420p,30/1,[],7d1bf7e15dd95c2292702a8a14dde1c02d66fb098a331f2252c4e2ebed804fcb,L-41u-0tsFo,0.000000,1/15360,1920
1,30/1,10951257,h264,MS,7.633333,7.633333,1080,False,229,video-data-full/MS/L-41u-0tsFo_P1_02.mp4,yuv420p,30/1,[],6fddb66b5ef1530c1b1ee1ed2b4f6ddb4de3674d5f918a9862cd690da58410bc,L-41u-0tsFo,0.000000,1/15360,1920
1,30/1,14313469,h264,MS,8.066667,8.066667,1080,False,242,video-data-full/MS/W35NeWDslAE_P1_01.mp4,yuv420p,30/1,[],173c7a21109da31250801d589aea95628f737a34fc3985d79a4c064d0d87450d,W35NeWDslAE,0.000000,1/15360,1920
1,30/1,12443335,h264,MS,7.433333,7.433333,1080,False,223,video-data-full/MS/W35NeWDslAE_P1_02.mp4,yuv420p,30/1,[],0dae3265e0908e58ac9c5751763ab48cbe5f33aafd75a57b520a030af8ef8414,W35NeWDslAE,0.000000,1/15360,1920
1,30/1,11964940,h264,MS,9.700000,9.700000,1080,False,291,video-data-full/MS/W7IZV0m45xA_P1_01.mp4,yuv420p,30/1,[],7671d494d1acc361d0adce454d2c13a8f4d561f6f70ed86391b9c1976189d912,W7IZV0m45xA,0.000000,1/15360,1920
1,30/1,9544913,h264,MS,8.166667,8.166667,1080,False,245,video-data-full/MS/W7IZV0m45xA_P1_02.mp4,yuv420p,30/1,[],f3d90651da3e5197a8b2a221b2c67b60c1038a4a5d42f06d15fdf20ad5b46fc3,W7IZV0m45xA,0.000000,1/15360,1920
1,30/1,20212798,h264,MS,30.000000,30.000000,1080,False,900,video-data-full/MS/WvoNYV6nZtM.mp4,yuv420p,30/1,[],6919d67ec8d98d103e5a79f55c1887c68443d8bcd1250cf1aca541f08e9ba5ec,WvoNYV6nZtM,0.000000,1/15360,1920
1,30/1,2108892,h264,MS,4.566667,4.566667,1080,False,137,video-data-full/MS/XIPXYpWuIX4_P1_01.mp4,yuv420p,30/1,[],8e49ed97fd5d0dfbae262e861edd46895f7110de83b072571c9af2d6933b163a,XIPXYpWuIX4,0.000000,1/15360,1920
1,30/1,1289936,h264,MS,3.100000,3.100000,1080,False,93,video-data-full/MS/XIPXYpWuIX4_P1_02.mp4,yuv420p,30/1,[],4d6ca72a41db8da22672abaced5c035b2fae3bbe7e3356975ae447148d773868,XIPXYpWuIX4,0.000000,1/15360,1920
1,30/1,7396183,h264,MS,13.633333,13.633333,1080,False,409,video-data-full/MS/tqEmrPDPIsU.mp4,yuv420p,30/1,[],652b176170b403b2140b6f35c6acb0ec886dbae688dbfbcbb43e54c58be02c63,tqEmrPDPIsU,0.000000,1/15360,1920
1,30/1,836871,h264,MS,10.587000,10.566667,360,False,317,video-data-full/MS/tsOMPBS277Q_P1.mp4,yuv420p,30/1,[],50f3538966841e3e5d4c1b7b18ff7ec3715ef5a237fdf96a9b2a88f960f2e4aa,tsOMPBS277Q,0.000000,1/15360,640
1,30/1,752057,h264,MS,10.667000,10.666667,360,False,320,video-data-full/MS/tsOMPBS277Q_P2_01.mp4,yuv420p,30/1,[],bdf6ce54d03ad59c56de336322486baf5465a2a353eaa40b3fa5d6007a3945e4,tsOMPBS277Q,0.000000,1/15360,640
1,30/1,665380,h264,MS,9.834000,9.833333,360,False,295,video-data-full/MS/tsOMPBS277Q_P2_02.mp4,yuv420p,30/1,[],117b25d94610e8a1343f7e6d3f72eaad230ac70daf2dadf85050a91b554dbb5f,tsOMPBS277Q,0.000000,1/15360,640
1,30/1,295965,h264,MS,3.708000,3.700000,360,False,111,video-data-full/MS/tsOMPBS277Q_P3.mp4,yuv420p,30/1,[],340220e59ed044c2130062490f51c58288b28fcf86a2c02345ceed4a9ea88462,tsOMPBS277Q,0.000000,1/15360,640
1,30/1,381863,h264,MS,4.584000,4.566667,360,False,137,video-data-full/MS/tsOMPBS277Q_P4_01.mp4,yuv420p,30/1,[],99a0af911ef14f9c094e76d3770673445ede527202b9ce8ead5d19b2b67463c4,tsOMPBS277Q,0.000000,1/15360,640
1,30/1,293740,h264,MS,3.459000,3.433333,360,False,103,video-data-full/MS/tsOMPBS277Q_P4_02.mp4,yuv420p,30/1,[],c60aa2ada71fd6bb45c1937a116d23ba7bbd0a6bd4a1448240b39492f6259bae,tsOMPBS277Q,0.000000,1/15360,640
1,30/1,394159,h264,MS,4.667000,4.666667,360,False,140,video-data-full/MS/tsOMPBS277Q_P4_03.mp4,yuv420p,30/1,[],16b490041938efd2d5b6f9128ede50a5551fe64d0c9c9551d0eeac0b6ba9af91,tsOMPBS277Q,0.000000,1/15360,640
1,30/1,628640,h264,MS,7.165000,7.133333,360,False,214,video-data-full/MS/tsOMPBS277Q_P5_01.mp4,yuv420p,30/1,[],c902f849d3df64468466faa71f0b57c0813c555a91d45337be76f0f9566dbb5f,tsOMPBS277Q,0.000000,1/15360,640
1,30/1,435612,h264,MS,5.125000,5.100000,360,False,153,video-data-full/MS/tsOMPBS277Q_P5_02.mp4,yuv420p,30/1,[],c0a0af3539422206fb3e012ee6c21e0383e985c4cce30214fcddc956c2700740,tsOMPBS277Q,0.000000,1/15360,640
1,30/1,405649,h264,MS,4.875000,4.866667,360,False,146,video-data-full/MS/tsOMPBS277Q_P6_01.mp4,yuv420p,30/1,[],faa3f73437ac1cc23f9500ec9598578924a88a8ba8612951993c23384319ff83,tsOMPBS277Q,0.000000,1/15360,640
1,30/1,326164,h264,MS,3.875000,3.866667,360,False,116,video-data-full/MS/tsOMPBS277Q_P6_02.mp4,yuv420p,30/1,[],41bce4277bc42dfe156e1cfd3da25db7f36854018ca618cec40014d4d8ec865a,tsOMPBS277Q,0.000000,1/15360,640
