comparison,version,status,model_changed,evaluation_changed,accuracy,balanced_accuracy,macro_f1,checkpoint_fingerprint,scope_note
all_96,current_five_stage,current,yes,no,0.7586206896551724,0.8485714285714285,0.8030909090909091,ea59fea055f0230bcf236deb1d1e8bbf08033766e7cd95a98f28210b3042c4e4,Current five-stage model; all 29 classifier-test rows trained the encoder
all_96,legacy_normal_only,superseded,yes,no,0.6206896551724138,0.6242857142857143,0.5936507936507935,,Recovered from commit cc6e6de; sequence split is video-confounded
all_96,current_five_stage_d0acc262,superseded,yes,no,0.7931034482758621,0.8885714285714286,0.8212836438923394,d0acc2628d134959d8b91e96d5112fc3bed560fe8feb9569e5b13b11a8b614d1,"Superseded d0acc262 lineage, before the augmented-normal re-run; all 29 classifier-test rows trained the encoder"
exact_exp5,current_five_stage,current,yes,no,0.8571428571428571,0.8914285714285715,0.8814285714285713,ea59fea055f0230bcf236deb1d1e8bbf08033766e7cd95a98f28210b3042c4e4,Current five-stage model; exact 47/21 split remains video-confounded and encoder-exposed
exact_exp5,legacy_normal_only,superseded,yes,no,0.6190476190476191,0.5961904761904762,0.6133333333333334,,Recovered from commit cc6e6de; legacy 10-landmark-identity model; exact 47/21 split remains video-confounded
exact_exp5,current_five_stage_d0acc262,superseded,yes,no,0.7142857142857143,0.7295238095238095,0.7416666666666667,d0acc2628d134959d8b91e96d5112fc3bed560fe8feb9569e5b13b11a8b614d1,"Superseded d0acc262 lineage, before the augmented-normal re-run; exact 47/21 split remains video-confounded and encoder-exposed"
lane_c_five_class,corrected_two_fold_mean,current,no,yes,0.6137947418435223,0.6145037461456226,0.6146685094366466,ea59fea055f0230bcf236deb1d1e8bbf08033766e7cd95a98f28210b3042c4e4,Same checkpoint; every train and test fold contains all five labels
lane_c_five_class,corrected_pooled_oof,current_summary,no,yes,0.6163522012578616,0.6125815602836879,0.61,ea59fea055f0230bcf236deb1d1e8bbf08033766e7cd95a98f28210b3042c4e4,Pooled out-of-fold summary from the corrected two folds; encoder exposure remains complete
lane_c_five_class,superseded_five_fold_mean,superseded,no,yes,0.604435,0.594747,0.407364,d0acc2628d134959d8b91e96d5112fc3bed560fe8feb9569e5b13b11a8b614d1,Superseded d0acc262-lineage audit; one training fold lacked cerebral palsy and macro-F1 label sets varied
lane_c_five_class,corrected_two_fold_mean_d0acc262,superseded,no,yes,0.6527557808045612,0.6026262483470721,0.6253902441556256,d0acc2628d134959d8b91e96d5112fc3bed560fe8feb9569e5b13b11a8b614d1,"Superseded d0acc262 lineage, before the augmented-normal re-run; every train and test fold contains all five labels"
lane_c_five_class,corrected_pooled_oof_d0acc262,superseded,no,yes,0.6540880503144654,0.5995921985815602,0.6194870154108675,d0acc2628d134959d8b91e96d5112fc3bed560fe8feb9569e5b13b11a8b614d1,"Superseded d0acc262 lineage, before the augmented-normal re-run; Pooled out-of-fold summary from the corrected two folds; encoder exposure remains complete"
one_vs_normal_cerebralpalsy,current_five_stage,current,yes,no,1.0,1.0,1.0,ea59fea055f0230bcf236deb1d1e8bbf08033766e7cd95a98f28210b3042c4e4,Current model; nine-row classifier test remains video-confounded and encoder-exposed
one_vs_normal_cerebralpalsy,legacy_normal_only,superseded,yes,no,0.8888888888888888,0.875,0.8831168831168831,,Recovered from commit cc6e6de; nine-row classifier test and encoder exposure
one_vs_normal_cerebralpalsy,current_five_stage_d0acc262,superseded,yes,no,0.8888888888888888,0.9,0.8888888888888888,d0acc2628d134959d8b91e96d5112fc3bed560fe8feb9569e5b13b11a8b614d1,"Superseded d0acc262 lineage, before the augmented-normal re-run; nine-row classifier test remains video-confounded and encoder-exposed"
one_vs_normal_myopathic,current_five_stage,current,yes,no,1.0,1.0,1.0,ea59fea055f0230bcf236deb1d1e8bbf08033766e7cd95a98f28210b3042c4e4,Current model; eighteen-row classifier test remains video-confounded and encoder-exposed
one_vs_normal_myopathic,legacy_normal_only,superseded,yes,no,0.7777777777777778,0.6785714285714286,0.6785714285714286,,Recovered from commit cc6e6de; eighteen-row classifier test and encoder exposure
one_vs_normal_myopathic,current_five_stage_d0acc262,superseded,yes,no,0.9444444444444444,0.9642857142857144,0.9259259259259258,d0acc2628d134959d8b91e96d5112fc3bed560fe8feb9569e5b13b11a8b614d1,"Superseded d0acc262 lineage, before the augmented-normal re-run; eighteen-row classifier test remains video-confounded and encoder-exposed"
one_vs_normal_parkinsons,current_five_stage,current,yes,no,1.0,1.0,1.0,ea59fea055f0230bcf236deb1d1e8bbf08033766e7cd95a98f28210b3042c4e4,Current model; seven-row classifier test remains video-confounded and encoder-exposed
one_vs_normal_parkinsons,legacy_normal_only,superseded,yes,no,0.7142857142857143,0.7083333333333333,0.7083333333333333,,Recovered from commit cc6e6de; seven-row classifier test and encoder exposure
one_vs_normal_parkinsons,current_five_stage_d0acc262,superseded,yes,no,1.0,1.0,1.0,d0acc2628d134959d8b91e96d5112fc3bed560fe8feb9569e5b13b11a8b614d1,"Superseded d0acc262 lineage, before the augmented-normal re-run; seven-row classifier test remains video-confounded and encoder-exposed"
one_vs_normal_stroke,current_five_stage,current,yes,no,1.0,1.0,1.0,ea59fea055f0230bcf236deb1d1e8bbf08033766e7cd95a98f28210b3042c4e4,Current model; seven-row classifier test remains video-confounded and encoder-exposed
one_vs_normal_stroke,legacy_normal_only,superseded,yes,no,0.8571428571428571,0.875,0.8571428571428571,,Recovered from commit cc6e6de; seven-row classifier test and encoder exposure
one_vs_normal_stroke,current_five_stage_d0acc262,superseded,yes,no,1.0,1.0,1.0,d0acc2628d134959d8b91e96d5112fc3bed560fe8feb9569e5b13b11a8b614d1,"Superseded d0acc262 lineage, before the augmented-normal re-run; seven-row classifier test remains video-confounded and encoder-exposed"
