method,A_error,waveform_error,visible_nle,synthetic_all_nle,displacement_nle,assignment_failure_rate,response_error,nuisance_error,interaction_error
I-initialized-none-base,11.473813453,16.9685206098,0.0677040351881,0.0687063017767,0.0324705016364,0.508329106905,9.43306816659,13.9303975251,13.8513578259
I-initialized-none-paired_change,13.8780135661,21.956631838,0.0697477823771,0.0717868031947,0.0362717274537,0.49695394775,10.1590649117,14.3238741792,14.4007261625
I-shuffled_jepa-graph_time-base,11.4534530595,16.7352395343,0.0666848024441,0.0676376958669,0.0329002614513,0.502874186159,9.34501887394,13.405619501,13.2739292833
I-shuffled_jepa-graph_time-paired_change,12.400878806,21.3673423954,0.0697688185799,0.0717897531152,0.0383458078003,0.494931835053,11.7461206313,14.8241978774,18.8147577547
M-coordinate-graph_time-base,11.1338474016,15.8800027137,0.0482384055014,0.0487084119277,0.0332222215273,0.390829864365,10.2472710348,11.1250172631,13.1347190172
M-coordinate-graph_time-paired_change,14.2060286859,21.4048347868,0.0554099437239,0.0561140851471,0.0387024822492,0.444775693457,11.1743375695,12.4443924208,15.1293928532
M-paired_jepa-graph_time-base,11.9527053207,17.4532025482,0.0625819306508,0.0625661319159,0.0338839931163,0.486439496686,10.6914085615,14.1673767357,15.5140853124
M-paired_jepa-graph_time-paired_change,16.1979495165,22.5533128156,0.0683789682271,0.0699804342603,0.0380335578492,0.496970734423,10.0662337722,12.7600661139,13.7262530554
P-direct-none-base,9.12795278217,12.073284439,0.0248375474649,0.0297905853154,0.0190509576072,0.209548024056,7.54415487454,10.492902444,10.5307390318
P-direct-none-paired_change,15.2383175616,19.2808393072,0.0475268907494,0.0517887201042,0.0315704391532,0.393852155182,10.7543174398,16.626248422,17.2801269717
filter0,12.9708759779,18.5708326679,0.0677128665607,0.0717720668364,0.0316874683119,0.499055171686,12.6880832907,17.6017619514,21.9677438371
filter1,13.1341827643,18.3225943748,0.0674006777557,0.071053922415,0.0303375971853,0.494002420147,13.8169815619,18.5047793579,24.7950123838
filter2,11.7445721068,17.6560955985,0.0673499003757,0.0706884684987,0.0297046467638,0.492127898696,10.7363293713,15.3004738764,17.2853934994
joint_affine,12.0383606859,16.7468902764,0.069612163695,0.0691429071415,0.0308445639674,0.497711882277,11.3908497123,15.8706805413,17.7187057392
joint_offset,11.7650848458,17.3673341184,0.0687298175147,0.070903813889,0.0316874683174,0.489514643017,9.94796048573,14.7938873469,15.2079723726
unchanged,12.9708759779,18.5708326679,0.0677128665607,0.0717720668364,0.0316874683119,0.499055171686,12.6880832907,17.6017619514,21.9677438371
