method,seed,A_error,waveform_error,visible_nle,synthetic_all_nle,displacement_nle,assignment_failure_rate,response_error,nuisance_error,interaction_error
I-initialized-none-base,17,11.0725934452,16.8861384041,0.0679273671953,0.0689936517307,0.0325498501958,0.505962436365,9.14737245241,13.6840418537,13.226455682
I-initialized-none-base,29,11.6505351097,17.1796122123,0.0678351227342,0.0687324418612,0.032159223058,0.510795202398,9.55630520999,14.1487159545,14.1613614244
I-initialized-none-base,43,11.6983118041,16.8398112129,0.0673496156349,0.0683928117381,0.0327024316555,0.50822968195,9.59552683737,13.9584347672,14.1662563714
I-initialized-none-paired_change,17,11.5643879037,22.1542072766,0.0699298680501,0.0717366056958,0.0354825097143,0.495757026569,9.90375093329,13.2128736166,13.9374502468
I-initialized-none-paired_change,29,14.4169962744,21.9445433723,0.0699481438692,0.072024114718,0.0372737565478,0.500083409923,10.747628144,13.8587343483,15.5341511932
I-initialized-none-paired_change,43,15.6526565203,21.7711448652,0.0693653352121,0.0715996891703,0.036058916099,0.495021406756,9.82581565789,15.9000145728,13.7305770475
I-shuffled_jepa-graph_time-base,17,10.9890309328,17.0717277479,0.0677152601506,0.0684634766604,0.032720464303,0.504767232305,9.53167794966,13.5278143335,13.7628476252
I-shuffled_jepa-graph_time-base,29,11.7103133919,16.671350558,0.0656630431131,0.0670758708739,0.0328441173235,0.500637439035,9.47571686105,13.46861787,13.6263619458
I-shuffled_jepa-graph_time-base,43,11.6610148539,16.4626402971,0.0666761040684,0.0673737400665,0.0331362027274,0.503217887137,9.02766181111,13.2204262994,12.4325782788
I-shuffled_jepa-graph_time-paired_change,17,11.1284954947,20.9553714535,0.0698674322962,0.0718469513954,0.0386433952367,0.496494900711,10.1424771366,12.8359324771,14.7665884776
I-shuffled_jepa-graph_time-paired_change,29,13.134804157,22.2954477707,0.0700180510258,0.0719257853671,0.0393286512727,0.49511278995,14.0787922982,17.202436165,24.7829981087
I-shuffled_jepa-graph_time-paired_change,43,12.9393367662,20.8512079619,0.0694209724176,0.0715965225831,0.0370653768914,0.493187814497,11.017092459,14.4342249902,16.8946866777
