method,source_collection,A_error,waveform_error,visible_nle,synthetic_all_nle,displacement_nle,assignment_failure_rate,response_error,nuisance_error,interaction_error
I-initialized-none-base,BioMotionLab_NTroje,11.123528768,17.3486452522,0.0641317678554,0.0657883752227,0.0328689217195,0.505640922758,9.427865383,13.9586475811,13.9407096075
I-initialized-none-base,KIT,13.5755215626,14.6877727549,0.0891376391847,0.0862138611001,0.0300799811379,0.524458211783,9.46428486815,13.7608971896,13.3152471363
I-initialized-none-paired_change,BioMotionLab_NTroje,12.9240018633,21.6914919067,0.0680343442685,0.07074167925,0.0359235482599,0.502046451221,10.5036874099,15.255301668,15.3664764518
I-initialized-none-paired_change,KIT,19.602083783,23.5474714261,0.0800284110287,0.0780575468627,0.0383608026169,0.466398926919,8.09132992257,8.7353092468,8.60622442675
I-shuffled_jepa-graph_time-base,BioMotionLab_NTroje,11.066548356,17.1797034681,0.0631904598458,0.064762397444,0.0331599203364,0.502088238779,9.64743941776,13.5357880009,14.1498677026
I-shuffled_jepa-graph_time-base,KIT,13.774881281,14.0684559318,0.0876508580337,0.0848894864043,0.0313423081405,0.507589870439,7.53049561104,12.6246085014,8.01829876753
I-shuffled_jepa-graph_time-paired_change,BioMotionLab_NTroje,12.0442900429,21.3339426462,0.0680835138149,0.0707546777901,0.0377609090894,0.499359835095,11.9402943576,15.379146348,19.5326024525
I-shuffled_jepa-graph_time-paired_change,KIT,14.5404113844,21.5677408905,0.0798806471699,0.0780002050661,0.0418552000653,0.468363834803,10.5810782734,11.494507054,14.5076895678
M-coordinate-graph_time-base,BioMotionLab_NTroje,10.8743668814,16.3193693881,0.0464312008496,0.0474422885327,0.0336190168553,0.38794948737,10.570363143,11.5387250799,13.8916530279
M-coordinate-graph_time-base,KIT,12.6907305227,13.2438026669,0.059081633412,0.056305152298,0.0308414495593,0.408112126337,8.30871838545,8.64277036291,8.59311495273
M-coordinate-graph_time-paired_change,BioMotionLab_NTroje,13.3073206973,21.3364631205,0.0532017896984,0.0545169884945,0.0382844049882,0.438948847902,11.8420220426,13.3976924073,16.777782365
M-coordinate-graph_time-paired_change,KIT,19.5982766171,21.8150647846,0.0686588678764,0.0656966650627,0.0412109458153,0.479736766783,7.16823073065,6.72459250128,5.23905578263
M-paired_jepa-graph_time-base,BioMotionLab_NTroje,11.5139905794,17.763809378,0.0600121169282,0.0602336647702,0.0338628419634,0.487489211424,10.9378053426,14.4915128312,16.1890574836
M-paired_jepa-graph_time-base,KIT,14.5849937683,15.5895615695,0.0780008129861,0.0765609347898,0.034010900034,0.48014120826,9.21302787497,12.2225601632,11.4642522848
M-paired_jepa-graph_time-paired_change,BioMotionLab_NTroje,15.1843353716,22.2038543334,0.0656414064423,0.067878889617,0.03734385369,0.497751743478,10.151230334,13.1277357515,14.1362898192
M-paired_jepa-graph_time-paired_change,KIT,22.2796343865,24.6500637085,0.0848043389353,0.08258970212,0.0421717828042,0.492284680089,9.55625440148,10.5540482882,11.2660324726
P-direct-none-base,BioMotionLab_NTroje,9.00129413253,12.4591795995,0.0243668169931,0.0298229027991,0.0186712543044,0.218042762881,7.94122071335,10.6019297788,11.3579985024
P-direct-none-base,KIT,9.88790468001,9.75791347545,0.0276619302959,0.0295966804129,0.0213291774235,0.158579591106,5.16175984168,9.83873843543,5.56718220826
P-direct-none-paired_change,BioMotionLab_NTroje,15.1802836504,19.8353202257,0.0449105502092,0.0500924733346,0.0314898933944,0.385577550835,10.8641508138,17.048376229,17.6669126047
P-direct-none-paired_change,KIT,15.5865210289,15.9539537962,0.0632249339903,0.0619662007216,0.0320537137065,0.44349978126,10.0953171954,14.0934815798,14.9594131739
filter0,BioMotionLab_NTroje,12.7209900141,19.3915490097,0.0679379756836,0.0725536524802,0.032449672348,0.50451744045,12.7105729401,17.3628073117,22.0688392828
filter0,KIT,14.4701917608,13.6465346168,0.0663622118235,0.0670825529735,0.027114244095,0.466281559106,12.5531453942,19.0354897898,21.3611711631
filter1,BioMotionLab_NTroje,12.9543812304,19.1381773689,0.0676141210878,0.071776381144,0.0310395614059,0.498938390774,14.2025679373,18.4966546322,25.7811657172
filter1,KIT,14.2129919678,13.4290964103,0.0661200177637,0.066719170041,0.0261258118617,0.464386596383,11.5034633099,18.553527712,18.8780923839
filter2,BioMotionLab_NTroje,11.4719227808,18.4333215078,0.0675708156322,0.0713842296721,0.0303900088871,0.496849554166,10.8626079137,15.0836493106,17.6379890052
filter2,KIT,13.3804680628,12.9927401426,0.0660244088364,0.0665139014586,0.0255924740245,0.463797965872,9.9786581171,16.6014212713,15.1698204644
joint_affine,BioMotionLab_NTroje,12.0231982132,17.4331009882,0.0654910831243,0.0658196174403,0.031527392177,0.496617607528,12.0508173913,16.3626853556,19.4573330848
joint_affine,KIT,12.1293355219,12.6296260054,0.0943386471196,0.0890826453485,0.0267475947096,0.504277530771,7.4310436386,12.9186516553,7.28694166546
joint_offset,BioMotionLab_NTroje,11.6702427713,17.9842697321,0.0674372467672,0.0701241092854,0.0324496723515,0.494953064296,10.0861406484,14.8373205082,15.6285691465
joint_offset,KIT,12.3341372928,13.6657204365,0.0764852419993,0.0755820415108,0.0271142441127,0.456884115344,9.11887950995,14.5332883787,12.6843917293
unchanged,BioMotionLab_NTroje,12.7209900141,19.3915490097,0.0679379756836,0.0725536524802,0.032449672348,0.50451744045,12.7105729401,17.3628073117,22.0688392828
unchanged,KIT,14.4701917608,13.6465346168,0.0663622118235,0.0670825529735,0.027114244095,0.466281559106,12.5531453942,19.0354897898,21.3611711631
