clip,clip_id,youtube_video_id,sequence_id,status,frames,first_frame,last_frame,stride_period,seg_method,cam_view,subject_detect_frac,bbox_source,pad
-0wbleNgAwg.mp4,-0wbleNgAwg,-0wbleNgAwg,aug--0wbleNgAwg-w00,written,310,1,310,,no_peak,right side,0.8806451612903226,mediapipe_pose_auto,0.15
3FXUw98rrUY.mp4,3FXUw98rrUY,3FXUw98rrUY,aug-3FXUw98rrUY-w00,written,30,1,30,22.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
DfRhvdCiUJk.mp4,DfRhvdCiUJk,DfRhvdCiUJk,aug-DfRhvdCiUJk-w00,written,100,1,100,68.0,autocorr_ankle_sep,left side,0.95,mediapipe_pose_auto,0.15
EHymg4AGMJs_clip-01.mp4,EHymg4AGMJs_clip-01,EHymg4AGMJs,aug-EHymg4AGMJs_clip-01-w00,written,140,1,140,70.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
EHymg4AGMJs_clip-01.mp4,EHymg4AGMJs_clip-01,EHymg4AGMJs,aug-EHymg4AGMJs_clip-01-w01,written,140,71,210,70.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
EHymg4AGMJs_clip-01.mp4,EHymg4AGMJs_clip-01,EHymg4AGMJs,aug-EHymg4AGMJs_clip-01-w02,written,140,141,280,70.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
EHymg4AGMJs_clip-01.mp4,EHymg4AGMJs_clip-01,EHymg4AGMJs,aug-EHymg4AGMJs_clip-01-w03,written,140,211,350,70.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
EHymg4AGMJs_clip-01.mp4,EHymg4AGMJs_clip-01,EHymg4AGMJs,aug-EHymg4AGMJs_clip-01-w04,written,140,281,420,70.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
EHymg4AGMJs_clip-01.mp4,EHymg4AGMJs_clip-01,EHymg4AGMJs,aug-EHymg4AGMJs_clip-01-w05,written,115,351,465,70.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
EHymg4AGMJs_clip-02.mp4,EHymg4AGMJs_clip-02,EHymg4AGMJs,aug-EHymg4AGMJs_clip-02-w00,written,44,1,44,22.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
EHymg4AGMJs_clip-02.mp4,EHymg4AGMJs_clip-02,EHymg4AGMJs,aug-EHymg4AGMJs_clip-02-w01,written,44,23,66,22.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
EHymg4AGMJs_clip-02.mp4,EHymg4AGMJs_clip-02,EHymg4AGMJs,aug-EHymg4AGMJs_clip-02-w02,written,44,45,88,22.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
EHymg4AGMJs_clip-02.mp4,EHymg4AGMJs_clip-02,EHymg4AGMJs,aug-EHymg4AGMJs_clip-02-w03,written,44,67,110,22.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
EHymg4AGMJs_clip-02.mp4,EHymg4AGMJs_clip-02,EHymg4AGMJs,aug-EHymg4AGMJs_clip-02-w04,written,41,89,129,22.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
FTHc-TJOQ34.mp4,FTHc-TJOQ34,FTHc-TJOQ34,aug-FTHc-TJOQ34-w00,written,100,1,100,50.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
FTHc-TJOQ34.mp4,FTHc-TJOQ34,FTHc-TJOQ34,aug-FTHc-TJOQ34-w01,written,100,51,150,50.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
